standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_bias_abscissa,standEta_bias_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,All
-2.67823,0.00142857,-2.84242,0.00142857,-3.01707,0.00142857,-2.7031,0.00142857,-3.44056,0.00142857,All
-2.65997,0.00285714,-2.46023,0.00285714,-2.73622,0.00285714,-2.52673,0.00285714,-2.69014,0.00285714,All
-2.62439,0.00428571,-2.37649,0.00428571,-2.72829,0.00428571,-2.44678,0.00428571,-2.6564,0.00428571,All
-2.6237,0.00571429,-2.35191,0.00571429,-2.67338,0.00571429,-2.40776,0.00571429,-2.62746,0.00571429,All
-2.61867,0.00714286,-2.25276,0.00714286,-2.50629,0.00714286,-2.36941,0.00714286,-2.57581,0.00714286,All
-2.55169,0.00857143,-2.25183,0.00857143,-2.42457,0.00857143,-2.2842,0.00857143,-2.54696,0.00857143,All
-2.53431,0.01,-2.18355,0.01,-2.38032,0.01,-2.24491,0.01,-2.4973,0.01,All
-2.53203,0.0114286,-2.16969,0.0114286,-2.28446,0.0114286,-2.22142,0.0114286,-2.48228,0.0114286,All
-2.52769,0.0128571,-2.16772,0.0128571,-2.27157,0.0128571,-2.15126,0.0128571,-2.47624,0.0128571,All
-2.52504,0.0142857,-2.11972,0.0142857,-2.2592,0.0142857,-2.14065,0.0142857,-2.38614,0.0142857,All
-2.50281,0.0157143,-2.10817,0.0157143,-2.24433,0.0157143,-2.13711,0.0157143,-2.38556,0.0157143,All
-2.48736,0.0171429,-2.0934,0.0171429,-2.23548,0.0171429,-2.12882,0.0171429,-2.3443,0.0171429,All
-2.46458,0.0185714,-2.02627,0.0185714,-2.21506,0.0185714,-2.12253,0.0185714,-2.32982,0.0185714,All
-2.45857,0.02,-2.02245,0.02,-2.19722,0.02,-2.11534,0.02,-2.31724,0.02,All
-2.45329,0.0214286,-1.98349,0.0214286,-2.17928,0.0214286,-2.08095,0.0214286,-2.30969,0.0214286,All
-2.44271,0.0228571,-1.97312,0.0228571,-2.16472,0.0228571,-2.07767,0.0228571,-2.28879,0.0228571,All
-2.43428,0.0242857,-1.96669,0.0242857,-2.15962,0.0242857,-2.07693,0.0242857,-2.27103,0.0242857,All
-2.4023,0.0257143,-1.95619,0.0257143,-2.15323,0.0257143,-2.05062,0.0257143,-2.2513,0.0257143,All
-2.39614,0.0271429,-1.92006,0.0271429,-2.14837,0.0271429,-2.03667,0.0271429,-2.2512,0.0271429,All
-2.39535,0.0285714,-1.88115,0.0285714,-2.13699,0.0285714,-2.01318,0.0285714,-2.22582,0.0285714,All
-2.38896,0.03,-1.83593,0.03,-2.12246,0.03,-1.99026,0.03,-2.17317,0.03,All
-2.3806,0.0314286,-1.82736,0.0314286,-2.10728,0.0314286,-1.96957,0.0314286,-2.15873,0.0314286,All
-2.36705,0.0328571,-1.80594,0.0328571,-2.09295,0.0328571,-1.96656,0.0328571,-2.12754,0.0328571,All
-2.35957,0.0342857,-1.80394,0.0342857,-2.09068,0.0342857,-1.94684,0.0342857,-2.11648,0.0342857,All
-2.33797,0.0357143,-1.80295,0.0357143,-2.04856,0.0357143,-1.94234,0.0357143,-2.08804,0.0357143,All
-2.33674,0.0371429,-1.78999,0.0371429,-2.02264,0.0371429,-1.93904,0.0371429,-2.041,0.0371429,All
-2.33671,0.0385714,-1.7872,0.0385714,-1.96288,0.0385714,-1.91897,0.0385714,-1.99877,0.0385714,All
-2.31939,0.04,-1.77375,0.04,-1.94717,0.04,-1.85523,0.04,-1.91727,0.04,All
-2.31268,0.0414286,-1.76696,0.0414286,-1.94145,0.0414286,-1.85483,0.0414286,-1.90898,0.0414286,All
-2.29798,0.0428571,-1.75138,0.0428571,-1.92859,0.0428571,-1.83409,0.0428571,-1.90483,0.0428571,All
-2.29116,0.0442857,-1.74763,0.0442857,-1.92112,0.0442857,-1.83216,0.0442857,-1.8278,0.0442857,All
-2.28752,0.0457143,-1.73978,0.0457143,-1.88079,0.0457143,-1.8307,0.0457143,-1.77747,0.0457143,All
-2.28276,0.0471429,-1.72799,0.0471429,-1.86795,0.0471429,-1.81541,0.0471429,-1.77642,0.0471429,All
-2.25484,0.0485714,-1.71599,0.0485714,-1.86406,0.0485714,-1.81375,0.0485714,-1.76425,0.0485714,All
-2.24395,0.05,-1.69746,0.05,-1.85735,0.05,-1.8073,0.05,-1.72471,0.05,All
-2.22137,0.0514286,-1.6957,0.0514286,-1.84821,0.0514286,-1.80373,0.0514286,-1.69365,0.0514286,All
-2.19931,0.0528571,-1.68563,0.0528571,-1.8288,0.0528571,-1.7918,0.0528571,-1.62035,0.0528571,All
-2.16484,0.0542857,-1.65735,0.0542857,-1.82171,0.0542857,-1.78129,0.0542857,-1.61966,0.0542857,All
-2.14864,0.0557143,-1.6546,0.0557143,-1.80943,0.0557143,-1.76807,0.0557143,-1.61798,0.0557143,All
-2.14821,0.0571429,-1.65056,0.0571429,-1.76256,0.0571429,-1.76646,0.0571429,-1.60819,0.0571429,All
-2.1437,0.0585714,-1.65007,0.0585714,-1.73352,0.0585714,-1.76112,0.0585714,-1.60237,0.0585714,All
-2.11344,0.06,-1.64023,0.06,-1.7217,0.06,-1.75695,0.06,-1.59492,0.06,All
-2.10768,0.0614286,-1.63185,0.0614286,-1.69752,0.0614286,-1.75606,0.0614286,-1.59218,0.0614286,All
-2.08602,0.0628571,-1.62914,0.0628571,-1.6809,0.0628571,-1.71007,0.0628571,-1.58363,0.0628571,All
-2.03711,0.0642857,-1.61145,0.0642857,-1.67942,0.0642857,-1.70085,0.0642857,-1.57523,0.0642857,All
-2.02469,0.0657143,-1.61114,0.0657143,-1.67449,0.0657143,-1.69364,0.0657143,-1.57516,0.0657143,All
-1.97442,0.0671429,-1.60761,0.0671429,-1.67343,0.0671429,-1.67861,0.0671429,-1.57214,0.0671429,All
-1.89013,0.0685714,-1.58581,0.0685714,-1.66757,0.0685714,-1.67094,0.0685714,-1.54516,0.0685714,All
-1.83406,0.07,-1.57553,0.07,-1.66587,0.07,-1.66502,0.07,-1.53551,0.07,All
-1.74215,0.0714286,-1.5711,0.0714286,-1.62088,0.0714286,-1.66434,0.0714286,-1.52258,0.0714286,All
-1.72202,0.0728571,-1.5576,0.0728571,-1.61705,0.0728571,-1.65895,0.0728571,-1.5208,0.0728571,All
-1.39669,0.0742857,-1.55436,0.0742857,-1.61239,0.0742857,-1.63959,0.0742857,-1.51311,0.0742857,All
-1.34769,0.0757143,-1.5429,0.0757143,-1.59751,0.0757143,-1.62252,0.0757143,-1.50633,0.0757143,All
-1.33344,0.0771429,-1.54265,0.0771429,-1.59207,0.0771429,-1.61629,0.0771429,-1.48126,0.0771429,All
-1.3317,0.0785714,-1.5162,0.0785714,-1.57955,0.0785714,-1.61544,0.0785714,-1.47546,0.0785714,All
-1.32139,0.08,-1.5053,0.08,-1.57791,0.08,-1.61434,0.08,-1.45806,0.08,All
-1.31518,0.0814286,-1.50101,0.0814286,-1.56768,0.0814286,-1.60559,0.0814286,-1.45399,0.0814286,All
-1.29759,0.0828571,-1.48422,0.0828571,-1.5382,0.0828571,-1.57602,0.0828571,-1.43826,0.0828571,All
-1.28836,0.0842857,-1.47171,0.0842857,-1.51938,0.0842857,-1.5721,0.0842857,-1.43526,0.0842857,All
-1.28188,0.0857143,-1.43841,0.0857143,-1.48972,0.0857143,-1.5717,0.0857143,-1.43456,0.0857143,All
-1.27838,0.0871429,-1.43182,0.0871429,-1.47377,0.0871429,-1.5324,0.0871429,-1.43294,0.0871429,All
-1.27816,0.0885714,-1.43085,0.0885714,-1.47044,0.0885714,-1.52091,0.0885714,-1.42803,0.0885714,All
-1.27322,0.09,-1.4199,0.09,-1.44991,0.09,-1.51279,0.09,-1.42558,0.09,All
-1.25595,0.0914286,-1.41922,0.0914286,-1.44873,0.0914286,-1.51253,0.0914286,-1.40945,0.0914286,All
-1.25014,0.0928571,-1.41405,0.0928571,-1.43365,0.0928571,-1.50521,0.0928571,-1.40789,0.0928571,All
-1.24174,0.0942857,-1.40731,0.0942857,-1.40611,0.0942857,-1.50011,0.0942857,-1.39967,0.0942857,All
-1.23669,0.0957143,-1.40539,0.0957143,-1.38842,0.0957143,-1.48977,0.0957143,-1.39717,0.0957143,All
-1.23534,0.0971429,-1.40229,0.0971429,-1.38439,0.0971429,-1.48827,0.0971429,-1.38777,0.0971429,All
-1.23272,0.0985714,-1.39669,0.0985714,-1.37179,0.0985714,-1.48461,0.0985714,-1.38041,0.0985714,All
-1.2316,0.1,-1.36376,0.1,-1.33327,0.1,-1.4731,0.1,-1.37693,0.1,All
-1.23126,0.101429,-1.36264,0.101429,-1.32902,0.101429,-1.46695,0.101429,-1.37553,0.101429,All
-1.22487,0.102857,-1.35569,0.102857,-1.32546,0.102857,-1.46529,0.102857,-1.37137,0.102857,All
-1.22065,0.104286,-1.34532,0.104286,-1.32041,0.104286,-1.45233,0.104286,-1.34989,0.104286,All
-1.21794,0.105714,-1.33977,0.105714,-1.31158,0.105714,-1.45114,0.105714,-1.32028,0.105714,All
-1.21316,0.107143,-1.30778,0.107143,-1.30794,0.107143,-1.44441,0.107143,-1.3174,0.107143,All
-1.20899,0.108571,-1.27759,0.108571,-1.28878,0.108571,-1.42605,0.108571,-1.3151,0.108571,All
-1.20842,0.11,-1.27322,0.11,-1.27601,0.11,-1.41469,0.11,-1.30505,0.11,All
-1.20623,0.111429,-1.26695,0.111429,-1.26704,0.111429,-1.39174,0.111429,-1.29567,0.111429,All
-1.20333,0.112857,-1.26531,0.112857,-1.26321,0.112857,-1.38992,0.112857,-1.29441,0.112857,All
-1.19896,0.114286,-1.24589,0.114286,-1.24783,0.114286,-1.37761,0.114286,-1.28659,0.114286,All
-1.19208,0.115714,-1.23927,0.115714,-1.2418,0.115714,-1.36517,0.115714,-1.27205,0.115714,All
-1.18344,0.117143,-1.23508,0.117143,-1.23122,0.117143,-1.35514,0.117143,-1.26554,0.117143,All
-1.18212,0.118571,-1.2332,0.118571,-1.21856,0.118571,-1.33939,0.118571,-1.26536,0.118571,All
-1.17466,0.12,-1.23199,0.12,-1.2117,0.12,-1.3391,0.12,-1.26249,0.12,All
-1.17408,0.121429,-1.21811,0.121429,-1.17959,0.121429,-1.30374,0.121429,-1.2523,0.121429,All
-1.16492,0.122857,-1.21011,0.122857,-1.17743,0.122857,-1.29928,0.122857,-1.24618,0.122857,All
-1.16189,0.124286,-1.20965,0.124286,-1.17274,0.124286,-1.29466,0.124286,-1.24532,0.124286,All
-1.15871,0.125714,-1.19748,0.125714,-1.17105,0.125714,-1.28772,0.125714,-1.20737,0.125714,All
-1.15564,0.127143,-1.18825,0.127143,-1.1563,0.127143,-1.27236,0.127143,-1.20706,0.127143,All
-1.15502,0.128571,-1.18818,0.128571,-1.15319,0.128571,-1.2478,0.128571,-1.20613,0.128571,All
-1.1519,0.13,-1.18581,0.13,-1.15296,0.13,-1.19292,0.13,-1.18984,0.13,All
-1.15062,0.131429,-1.18409,0.131429,-1.14011,0.131429,-1.19113,0.131429,-1.1833,0.131429,All
-1.1504,0.132857,-1.16642,0.132857,-1.11965,0.132857,-1.18007,0.132857,-1.18059,0.132857,All
-1.14814,0.134286,-1.15253,0.134286,-1.1173,0.134286,-1.17996,0.134286,-1.1427,0.134286,All
-1.14716,0.135714,-1.13752,0.135714,-1.09858,0.135714,-1.17594,0.135714,-1.13249,0.135714,All
-1.14638,0.137143,-1.13583,0.137143,-1.08638,0.137143,-1.17426,0.137143,-1.12553,0.137143,All
