standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,standEta_bias_abscissa,standEta_bias_pdf,split
-2.59411,0.0880587,-2.73364,0.00680965,-2.90657,0.00670355,-2.59586,0.0138149,-3.34308,0.00759848,All
-2.42587,0.123282,-2.51609,0.00680965,-2.68557,0.0201107,-2.38139,0.0276297,-3.14811,0,All
-2.25764,0.114476,-2.29853,0.0272386,-2.46457,0.0201107,-2.16691,0.0759817,-2.95314,0,All
-2.0894,0.0792528,-2.08098,0.0680965,-2.24357,0.0871462,-1.95244,0.0828892,-2.75817,0.00759848,All
-1.92116,0.0176117,-1.86342,0.0885254,-2.02257,0.0737391,-1.73796,0.158871,-2.5632,0.0531894,All
-1.75292,0.0264176,-1.64586,0.170241,-1.80157,0.0804426,-1.52348,0.165778,-2.36823,0.0607879,All
-1.58468,0,-1.42831,0.136193,-1.58057,0.127367,-1.30901,0.096704,-2.17326,0.0607879,All
-1.41645,0.0264176,-1.21075,0.170241,-1.35957,0.11396,-1.09453,0.221038,-1.97828,0.0379924,All
-1.24821,0.281788,-0.993194,0.224718,-1.13857,0.180996,-0.880053,0.21413,-1.78331,0.0455909,All
-1.07997,0.422682,-0.775638,0.231528,-0.917572,0.20781,-0.665576,0.248667,-1.58834,0.129174,All
-0.911732,0.132088,-0.558082,0.258767,-0.696573,0.274846,-0.4511,0.331557,-1.39337,0.182364,All
-0.743494,0.0352235,-0.340526,0.292815,-0.475573,0.315067,-0.236623,0.276297,-1.1984,0.159568,All
-0.575256,0.184923,-0.122969,0.374531,-0.254574,0.449138,-0.0221466,0.476613,-1.00343,0.235553,All
-0.407018,0.352235,0.0945868,0.374531,-0.0335743,0.442434,0.19233,0.497335,-0.808461,0.34953,All
-0.23878,0.325817,0.312143,0.510724,0.187425,0.39551,0.406806,0.379909,-0.61349,0.395121,All
-0.0705419,0.51074,0.529699,0.497104,0.408425,0.435731,0.621283,0.407538,-0.418519,0.34953,All
0.097696,0.378652,0.747255,0.415389,0.629424,0.361992,0.835759,0.303927,-0.223549,0.364727,All
0.265934,0.413876,0.964812,0.306434,0.850424,0.268142,1.05024,0.227945,-0.0285781,0.34953,All
0.434172,0.369846,1.18237,0.156622,1.07142,0.281549,1.26471,0.186501,0.166393,0.379924,All
0.60241,0.475517,1.39992,0.143003,1.29242,0.261439,1.47919,0.158871,0.361363,0.34953,All
0.770648,0.422682,1.61748,0.0749061,1.51342,0.0938497,1.69367,0.096704,0.556334,0.281144,All
0.938886,0.369846,1.83504,0.0680965,1.73442,0.107257,1.90814,0.0414446,0.751304,0.235553,All
1.10712,0.343429,2.05259,0.0476675,1.95542,0.0201107,2.12262,0.0552594,0.946275,0.212758,All
1.27536,0.246564,2.27015,0.0544772,2.17642,0.0201107,2.33709,0.0414446,1.14125,0.235553,All
1.4436,0.184923,2.48771,0.0136193,2.39742,0.0402213,2.55157,0.0207223,1.33622,0.296341,All
1.61184,0.114476,2.70526,0.0204289,2.61842,0,2.76605,0,1.53119,0.212758,All
1.78008,0.123282,2.92282,0.0272386,2.83942,0.00670355,2.98052,0.0276297,1.72616,0.326735,All
