Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
5.13951,0.093094,44.1718,15643.6,9.82083,0.0462408,51.2921,25026.6,All
5.97073,0,44.1718,46930.7,28.7307,0.00613816,51.2921,50053.1,All
6.80194,0.0837846,44.1718,78217.9,47.6405,0.00204605,51.2921,125133,All
7.63315,0.0093094,44.1718,125149,66.5503,0.00122763,51.2921,137646,All
8.46437,0.0372376,44.1718,328515,85.4601,0.00040921,51.2921,262779,All
9.29558,0.102403,44.1718,265941,104.37,0.000818421,51.2921,325345,All
10.1268,0.269973,44.1718,500595,123.28,0,51.2921,237752,All
10.958,0.186188,44.1718,359802,142.19,0,51.2921,237752,All
11.7892,0.186188,44.1718,234654,161.099,0,51.2921,137646,All
12.6204,0.167569,44.1718,125149,180.009,0,51.2921,125133,All
13.4516,0.130332,44.1718,62574.3,198.919,0,51.2921,75079.7,All
14.2829,0.0372376,44.1718,46930.7,217.829,0.00040921,51.2921,12513.3,All
