Parameters,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11
Cl_pop,5.27519,5.27094,5.27882,5.22874,5.25311,5.23307,5.26191,5.26294,5.17816,5.26415,5.25507
beta_Cl_logtCLCRMLMIN,0.621882,0.619175,0.60918,0.627593,0.619793,0.633138,0.603224,0.612333,0.638578,0.607314,0.601676
V1_pop,20.5334,19.5722,18.8597,21.0126,18.5158,18.5843,21.3483,21.0124,22.0225,21.0978,21.6013
Q_pop,6.12827,7.10451,8.11755,5.37427,7.53783,7.3877,5.75937,5.78026,4.75605,5.8285,5.50361
V2_pop,22.575,23.3289,21.2882,30.309,28.6198,34.0505,17.1484,19.9206,36.9531,19.4161,16.2564
omega_Cl,0.207198,0.211394,0.208294,0.210917,0.208229,0.21222,0.203939,0.206091,0.213919,0.206572,0.203715
omega_V1,0.285532,0.252053,0.317547,0.251399,0.348336,0.350995,0.275436,0.274183,0.259148,0.301983,0.285822
omega_Q,0.592322,0.781217,0.648908,0.690047,0.839722,0.91487,0.469593,0.564422,0.630743,0.49184,0.425267
omega_V2,0.252253,0.204206,0.279247,0.243731,0.288619,0.279436,0.215677,0.249699,0.214242,0.263271,0.224972
corr_V2_V1,0.998972,0.998149,0.998938,0.998478,0.998674,0.999,0.998374,0.998681,0.998782,0.998877,0.999
a1,0.302821,0.303782,0.30393,0.30612,0.307328,0.305931,0.297956,0.300618,0.305321,0.300197,0.295814
a2,0.0648471,0.0637762,0.0642939,0.0624253,0.0597866,0.0642497,0.0729618,0.0673405,0.0648879,0.0675485,0.0777239
-2LL,935.967,938.673,939.606,942.717,949.413,953.674,940.702,935.207,944.94,936.176,944.189
