parameter,value
Cl_pop,10.5513315198434
beta_Cl_logtCLCRMLMIN,0.648228296442502
beta_Cl_logtWTKG,0.776514765620013
V1_pop,43.5002707814979
Q_pop,19.8200584791264
beta_Q_ANTU_2,-0.717692917586193
beta_Q_logtAGEA,1.42314426113363
beta_Q_logtCLCRMLMIN,0.956529947094094
V2_pop,51.6030853010584
beta_V2_logtPROGDL,0.100535121685741
omega_Cl,0.17842203577301
omega_V1,0.275009619695604
omega_Q,0.0118152768805728
omega_V2,0.172552577318983
corr_V2_V1,0.998960343709918
a1,0.307323198751188
a2,0.0601918674703753
