standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.76977,0.117142,-1.85078,0.135411,-2.4962,0.11799,-2.33511,0.167481,All
-2.61801,0.117142,-1.70855,0.30207,-2.33297,0.335818,-2.17589,0.074436,All
-2.46625,0.185475,-1.56632,0.468729,-2.16974,0,-2.01666,0.111654,All
-2.31449,0.0683327,-1.4241,0.145827,-2.00651,0,-1.85744,0.111654,All
-2.16272,0,-1.28187,0.156243,-1.84328,0,-1.69822,0.0465225,All
-2.01096,0,-1.13964,0.30207,-1.68006,0,-1.539,0.074436,All
-1.8592,0,-0.99741,0.187492,-1.51683,0,-1.37978,0.120958,All
-1.70743,0.185475,-0.855182,0.0833297,-1.3536,0,-1.22055,0.297744,All
-1.55567,0.185475,-0.712953,0.0416648,-1.19037,0.0181523,-1.06133,0.074436,All
-1.40391,0.117142,-0.570725,0.21874,-1.02714,0.0998377,-0.90211,0.18609,All
-1.25215,0,-0.428496,0.177076,-0.863917,0.344894,-0.742888,0.474529,All
-1.10038,0,-0.286268,0.124995,-0.700689,0.580874,-0.583666,0.223308,All
-0.94862,0,-0.144039,0.239573,-0.537461,0.272285,-0.424443,0.344266,All
-0.796857,0,-0.0018109,0.30207,-0.374233,0.308589,-0.265221,0.493138,All
-0.645094,0.0488091,0.140418,0.677054,-0.211005,0.272285,-0.105999,0.45592,All
-0.493331,0.175713,0.282646,0.499978,-0.047777,0.599026,0.0532229,0.45592,All
-0.341568,0.654042,0.424874,1.10412,0.115451,0.580874,0.212445,0.483834,All
-0.189806,0.64428,0.567103,0.499978,0.278679,0.635331,0.371667,0.26983,All
-0.0380427,0.614995,0.709331,0.697886,0.441907,0.390275,0.530889,0.400093,All
0.11372,0.21476,0.85156,0.114578,0.605135,0.372122,0.690111,0.381484,All
0.265483,0.126904,0.993788,0.229157,0.768363,0.408427,0.849334,0.400093,All
0.417246,0.21476,1.13602,0.0104162,0.931591,0.408427,1.00856,0.18609,All
0.569009,0.624756,1.27825,0.0520811,1.09482,0.0635331,1.16778,0.0930449,All
0.720771,1.10309,1.42047,0,1.25805,0.0726092,1.327,0.102349,All
0.872534,1.01523,1.5627,0,1.42127,0.11799,1.48622,0.148872,All
1.0243,0.400235,1.70493,0.135411,1.5845,0.127066,1.64544,0.223308,All
1.17606,0.0195236,1.84716,0.3854,1.74773,0.226904,1.80467,0.111654,All
