simulations, -2LL
1000,624.653
2000,623.821
3000,623.986
4000,624.108
5000,624.165
6000,624.119
7000,624.242
8000,624.287
9000,624.021
10000,623.994
11000,623.98
12000,624.009
13000,624.115
14000,624.172
15000,624.176
16000,624.239
17000,624.27
18000,624.292
19000,624.334
20000,624.318
21000,624.316
22000,624.349
23000,624.352
24000,624.326
25000,624.336
26000,624.372
27000,624.388
28000,624.382
29000,624.397
30000,624.383
