Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression
-1.01187,0.496578,0.470786,-0.594403,0.0811354,-0.151458,-1.61167,0.0372863,0.157453,-0.594403,-0.314025,-0.507142,-1.61167,-0.110036,-0.0498783,-1.01187,-0.145269,-0.352789
-0.993779,0.407949,0.46251,-0.582912,0.0822567,-0.1483,-1.58052,0.0709683,0.154417,-0.582912,-0.323646,-0.497122,-1.58052,-0.0946662,-0.0491761,-0.993779,-0.151541,-0.346716
-0.975684,0.319321,0.454235,-0.571421,0.083378,-0.145143,-1.54937,0.10465,0.151381,-0.571421,-0.333267,-0.487102,-1.54937,-0.0792969,-0.048474,-0.975684,-0.157813,-0.340643
-0.957589,0.230692,0.445959,-0.559931,0.0832514,-0.141985,-1.51823,0.13072,0.148344,-0.559931,-0.342524,-0.477082,-1.51823,-0.066583,-0.0477718,-0.957589,-0.164085,-0.334571
-0.939494,0.142064,0.437683,-0.54844,0.074159,-0.138827,-1.48708,0.143838,0.145308,-0.54844,-0.349159,-0.467062,-1.48708,-0.0583954,-0.0470696,-0.939494,-0.170357,-0.328498
-0.921399,0.0534349,0.429408,-0.536949,0.0599951,-0.135669,-1.45593,0.156956,0.142271,-0.536949,-0.354187,-0.457041,-1.45593,-0.0502079,-0.0463674,-0.921399,-0.176629,-0.322425
-0.903305,-0.0351937,0.421132,-0.525458,0.0411486,-0.132511,-1.42479,0.170074,0.139235,-0.525458,-0.357653,-0.447021,-1.42479,-0.0420204,-0.0456653,-0.903305,-0.182902,-0.316353
-0.88521,-0.123822,0.412856,-0.513967,0.0223022,-0.129353,-1.39364,0.183192,0.136199,-0.513967,-0.361119,-0.437001,-1.39364,-0.0338328,-0.0449631,-0.88521,-0.189174,-0.31028
-0.867115,-0.182883,0.404581,-0.502476,-0.00126747,-0.126196,-1.36249,0.19631,0.133162,-0.502476,-0.362831,-0.426981,-1.36249,-0.0256453,-0.0442609,-0.867115,-0.193507,-0.304207
-0.84902,-0.203742,0.396305,-0.490986,-0.026655,-0.123038,-1.33135,0.205231,0.130126,-0.490986,-0.363843,-0.416961,-1.33135,-0.0189377,-0.0435587,-0.84902,-0.195337,-0.298135
-0.830925,-0.2246,0.388029,-0.479495,-0.0548874,-0.11988,-1.3002,0.203629,0.127089,-0.479495,-0.363584,-0.406941,-1.3002,-0.0159427,-0.0428565,-0.830925,-0.197166,-0.292062
-0.81283,-0.245459,0.379754,-0.468004,-0.086258,-0.116722,-1.26905,0.202027,0.124053,-0.468004,-0.361296,-0.396921,-1.26905,-0.0129478,-0.0421544,-0.81283,-0.198995,-0.285989
-0.794735,-0.261498,0.371478,-0.456513,-0.117629,-0.113564,-1.23791,0.197423,0.121017,-0.456513,-0.359008,-0.3869,-1.23791,-0.0110272,-0.0414522,-0.794735,-0.200522,-0.279917
-0.776641,-0.259314,0.363202,-0.445022,-0.148999,-0.110407,-1.20676,0.189541,0.11798,-0.445022,-0.35672,-0.37688,-1.20676,-0.0102885,-0.04075,-0.776641,-0.200903,-0.273844
-0.758546,-0.24936,0.354927,-0.433531,-0.18037,-0.107249,-1.17561,0.180073,0.114944,-0.433531,-0.354433,-0.36686,-1.17561,-0.010128,-0.0400478,-0.758546,-0.200814,-0.267771
-0.740451,-0.227581,0.346651,-0.422041,-0.212622,-0.104091,-1.14447,0.16898,0.111907,-0.422041,-0.350464,-0.35684,-1.14447,-0.0105693,-0.0393456,-0.740451,-0.200041,-0.261699
-0.722356,-0.205411,0.338375,-0.41055,-0.240564,-0.100933,-1.11332,0.156804,0.108871,-0.41055,-0.34542,-0.34682,-1.11332,-0.0114158,-0.0386435,-0.722356,-0.199245,-0.255626
-0.704261,-0.183241,0.3301,-0.399059,-0.266262,-0.0977754,-1.08217,0.143412,0.105835,-0.399059,-0.339864,-0.3368,-1.08217,-0.0127293,-0.0379413,-0.704261,-0.198449,-0.249554
-0.686166,-0.154325,0.321824,-0.387568,-0.29196,-0.0946176,-1.05103,0.12898,0.102798,-0.387568,-0.334308,-0.32678,-1.05103,-0.0144708,-0.0372391,-0.686166,-0.197293,-0.243481
-0.668071,-0.120618,0.313548,-0.376077,-0.317658,-0.0914597,-1.01988,0.114527,0.0997617,-0.376077,-0.328752,-0.316759,-1.01988,-0.0162232,-0.0365369,-0.668071,-0.195893,-0.237408
-0.649976,-0.0838675,0.305273,-0.364586,-0.343356,-0.0883019,-0.988734,0.0996727,0.0967253,-0.364586,-0.323196,-0.306739,-0.988734,-0.018194,-0.0358347,-0.649976,-0.194366,-0.231336
-0.631882,-0.0444811,0.296997,-0.353096,-0.369054,-0.0851441,-0.957587,0.0856633,0.0936889,-0.353096,-0.31764,-0.296719,-0.957587,-0.019951,-0.0351326,-0.631882,-0.192982,-0.225263
-0.613787,-0.00503521,0.288721,-0.341605,-0.394752,-0.0819863,-0.92644,0.0732991,0.0906525,-0.341605,-0.312084,-0.286699,-0.92644,-0.0212701,-0.0344304,-0.613787,-0.191602,-0.21919
-0.595692,0.0344106,0.280446,-0.330114,-0.417355,-0.0788285,-0.895294,0.0609349,0.0876161,-0.330114,-0.306538,-0.276679,-0.895294,-0.0225892,-0.0337282,-0.595692,-0.190223,-0.213118
