Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression
-0.601633,-0.0335685,-0.203156,-0.718965,-0.242919,-0.211544
-0.588454,-0.0142441,-0.198862,-0.7074,-0.244605,-0.208042
-0.575275,0.00508031,-0.194567,-0.695835,-0.246177,-0.20454
-0.562095,0.0152838,-0.190273,-0.68427,-0.247546,-0.201039
-0.548916,0.0159587,-0.185979,-0.672705,-0.248689,-0.197537
-0.535737,0.0166336,-0.181685,-0.661141,-0.249627,-0.194035
-0.522557,0.0112375,-0.17739,-0.649576,-0.250339,-0.190534
-0.509378,-0.00353264,-0.173096,-0.638011,-0.249774,-0.187032
-0.496199,-0.0183028,-0.168802,-0.626446,-0.248705,-0.18353
-0.483019,-0.0330729,-0.164508,-0.614881,-0.247636,-0.180029
-0.46984,-0.0556832,-0.160213,-0.603317,-0.246568,-0.176527
-0.45666,-0.0794155,-0.155919,-0.591752,-0.245499,-0.173026
-0.443481,-0.103148,-0.151625,-0.580187,-0.244431,-0.169524
-0.430302,-0.12688,-0.147331,-0.568622,-0.243362,-0.166022
-0.417122,-0.1511,-0.143036,-0.557058,-0.242293,-0.162521
-0.403943,-0.175259,-0.138742,-0.545493,-0.241225,-0.159019
-0.390764,-0.198778,-0.134448,-0.533928,-0.240156,-0.155517
-0.377584,-0.218929,-0.130154,-0.522363,-0.239088,-0.152016
-0.364405,-0.238012,-0.12586,-0.510798,-0.238019,-0.148514
-0.351226,-0.252012,-0.121565,-0.499234,-0.235877,-0.145012
-0.338046,-0.264251,-0.117271,-0.487669,-0.232701,-0.141511
-0.324867,-0.270442,-0.112977,-0.476104,-0.228937,-0.138009
-0.311688,-0.268832,-0.108683,-0.464539,-0.225007,-0.134507
-0.298508,-0.26622,-0.104388,-0.452974,-0.220916,-0.131006
-0.285329,-0.255488,-0.100094,-0.44141,-0.216109,-0.127504
-0.272149,-0.239009,-0.0957999,-0.429845,-0.211303,-0.124003
-0.25897,-0.218242,-0.0915057,-0.41828,-0.205667,-0.120501
-0.245791,-0.194097,-0.0872114,-0.406715,-0.199868,-0.116999
-0.232611,-0.168399,-0.0829172,-0.39515,-0.19372,-0.113498
-0.219432,-0.142112,-0.078623,-0.383586,-0.186991,-0.109996
-0.206253,-0.116668,-0.0743287,-0.372021,-0.180118,-0.106494
-0.193073,-0.0935265,-0.0700345,-0.360456,-0.172235,-0.102993
-0.179894,-0.0732846,-0.0657403,-0.348891,-0.164351,-0.0994911
-0.166715,-0.0577687,-0.061446,-0.337326,-0.156468,-0.0959895
-0.153535,-0.0438675,-0.0571518,-0.325762,-0.147475,-0.0924879
-0.140356,-0.0318965,-0.0528576,-0.314197,-0.137195,-0.0889862
-0.127176,-0.021817,-0.0485633,-0.302632,-0.126915,-0.0854846
-0.113997,-0.0129084,-0.0442691,-0.291067,-0.116635,-0.0819829
-0.100818,-0.00418774,-0.0399749,-0.279502,-0.106355,-0.0784813
-0.0876384,0.0049717,-0.0356806,-0.267938,-0.0960746,-0.0749797
-0.074459,0.0151542,-0.0313864,-0.256373,-0.0857946,-0.071478
-0.0612797,0.027123,-0.0270921,-0.244808,-0.0755146,-0.0679764
-0.0481003,0.0413048,-0.0227979,-0.233243,-0.0648545,-0.0644748
-0.034921,0.0563106,-0.0185037,-0.221678,-0.0533928,-0.0609731
-0.0217416,0.0703096,-0.0142094,-0.210114,-0.0417715,-0.0574715
-0.00856223,0.081409,-0.00991521,-0.198549,-0.0301502,-0.0539698
0.00461713,0.0872967,-0.00562097,-0.186984,-0.0185289,-0.0504682
0.0177965,0.0867599,-0.00132674,-0.175419,-0.00679504,-0.0469666
0.0309759,0.0779341,0.0029675,-0.163854,0.00495244,-0.0434649
0.0441552,0.064264,0.00726173,-0.15229,0.0166664,-0.0399633
0.0573346,0.0499902,0.011556,-0.140725,0.0283044,-0.0364617
0.0705139,0.0391023,0.0158502,-0.12916,0.0398759,-0.03296
0.0836933,0.0353547,0.0201444,-0.117595,0.0513059,-0.0294584
0.0968727,0.0363951,0.0244387,-0.10603,0.0625729,-0.0259568
0.110052,0.0421995,0.0287329,-0.0944656,0.0736101,-0.0224551
0.123231,0.0501359,0.0330271,-0.0829008,0.0840317,-0.0189535
0.136411,0.058904,0.0373214,-0.071336,0.0930917,-0.0154518
0.14959,0.0666931,0.0416156,-0.0597712,0.0997371,-0.0119502
0.162769,0.0714002,0.0459098,-0.0482064,0.103946,-0.00844857
0.175949,0.0739625,0.0502041,-0.0366416,0.103909,-0.00494693
0.189128,0.0735353,0.0544983,-0.0250768,0.100036,-0.00144529
0.202308,0.0708484,0.0587925,-0.013512,0.090636,0.00205634
0.215487,0.0665822,0.0630868,-0.00194718,0.0766723,0.00555798
0.228666,0.0606933,0.067381,0.00961762,0.0594479,0.00905962
0.241846,0.0547911,0.0716753,0.0211824,0.040598,0.0125613
0.255025,0.0488925,0.0759695,0.0327472,0.0214847,0.0160629
0.268204,0.043138,0.0802637,0.044312,0.00358679,0.0195645
0.281384,0.0381833,0.084558,0.0558768,-0.0113893,0.0230662
0.294563,0.0346267,0.0888522,0.0674416,-0.0224665,0.0265678
0.307742,0.0330307,0.0931464,0.0790064,-0.0296979,0.0300694
0.320922,0.033659,0.0974407,0.0905712,-0.0308478,0.0335711
0.334101,0.0360037,0.101735,0.102136,-0.0260015,0.0370727
0.347281,0.0396996,0.106029,0.113701,-0.0136223,0.0405743
0.36046,0.0462175,0.110323,0.125266,0.00493598,0.044076
0.373639,0.0527354,0.114618,0.13683,0.0270795,0.0475776
0.386819,0.0592533,0.118912,0.148395,0.0492549,0.0510793
0.399998,0.0675464,0.123206,0.15996,0.067689,0.0545809
0.413177,0.0769555,0.1275,0.171525,0.0797586,0.0580825
0.426357,0.0871556,0.131795,0.18309,0.0821671,0.0615842
0.439536,0.0974098,0.136089,0.194654,0.0766526,0.0650858
0.452715,0.10772,0.140383,0.206219,0.066067,0.0685874
0.465895,0.117248,0.144677,0.217784,0.0519165,0.0720891
0.479074,0.126588,0.148971,0.229349,0.0372672,0.0755907
