iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a
104,335.77,1,10.307,36.8896,15.9682,48.0413,0.261804,0.349226,0.796522,0.3624,1.03274
105,335.38,1,10.3894,35.8797,17.9438,48.0586,0.264784,0.345735,0.749472,0.334075,1.05205
106,333.568,1,10.3487,34.8649,18.2913,50.3352,0.267431,0.340464,0.734331,0.371003,1.03022
107,336.349,1,10.3475,35.4511,18.2121,46.4917,0.265942,0.317381,0.77216,0.385703,1.04323
108,326.588,1,10.3296,35.4581,17.2779,48.0505,0.263524,0.322855,0.801955,0.365199,0.992797
109,330.465,1,10.2977,36.3995,16.6414,43.035,0.262379,0.329259,0.771994,0.350216,1.02264
110,331.901,1,10.2937,36.5298,15.8628,44.9911,0.261922,0.32472,0.763983,0.356352,1.03163
111,337.947,1,10.3581,36.9624,15.6023,43.3155,0.264402,0.329519,0.745305,0.346211,1.06923
112,329.578,1,10.3649,36.9305,15.9041,44.0771,0.26127,0.295187,0.830663,0.336865,1.02974
113,322.798,1,10.2796,37.032,15.9423,44.7622,0.262058,0.296924,0.870298,0.33864,0.985248
114,328.553,1,10.2959,36.6965,16.5384,50.0688,0.265164,0.301711,0.838409,0.323268,1.02355
115,332.849,1,10.3777,36.5878,16.5563,52.0277,0.2635,0.306967,0.878151,0.311555,1.04361
116,332.754,1,10.3433,36.6898,16.5079,50.3069,0.264811,0.29691,0.813035,0.326417,1.05207
117,334.2,1,10.2743,36.9897,16.6252,50.4987,0.263201,0.313207,0.832343,0.326783,1.04897
118,336.591,1,10.2792,36.9726,16.615,50.5922,0.264966,0.307773,0.804164,0.389214,1.04223
119,332.427,1,10.3239,37.3178,16.0964,50.5499,0.270965,0.298752,0.854869,0.390236,1.01151
120,333.05,1,10.2947,36.5292,16.8173,48.8231,0.261842,0.300562,0.873306,0.349038,1.03463
121,328.596,1,10.3748,35.4757,17.5491,51.0521,0.266544,0.268831,0.906533,0.312189,1.05584
122,333.541,1,10.329,35.5177,17.5805,48.9733,0.267078,0.279823,0.940629,0.27923,1.06906
123,340.925,1,10.4165,35.337,18.4169,50.0902,0.265351,0.257566,0.93774,0.315216,1.103
124,337.131,1,10.4119,35.0914,18.3762,46.9702,0.262206,0.247749,0.957469,0.291567,1.09858
125,327.84,1,10.3405,35.1069,18.6311,47.7087,0.259817,0.243698,0.94796,0.284223,1.05606
126,327.908,1,10.2938,34.9852,18.4518,48.8474,0.265775,0.244807,0.922873,0.275653,1.0611
127,331.462,1,10.3688,34.993,17.7108,50.0628,0.271047,0.257362,0.901283,0.288296,1.0667
128,322.315,1,10.3316,35.1105,17.9717,52.1731,0.265225,0.231534,0.960302,0.291088,1.02517
129,321.707,1,10.3615,35.6712,17.6378,51.5138,0.261513,0.253989,0.913551,0.305954,1.01032
130,321.703,1,10.255,36.0484,17.4929,54.7743,0.265478,0.240318,0.911442,0.302888,1.01808
131,329.18,1,10.296,35.5515,17.4779,55.6529,0.26349,0.246647,0.894157,0.316142,1.05202
132,324.232,1,10.3047,35.5488,16.894,52.5521,0.265288,0.255098,0.945632,0.287539,1.02502
133,327.651,1,10.3366,36.3242,17.0007,51.154,0.268031,0.270455,0.917745,0.305425,1.02846
134,327.632,1,10.3586,36.4512,16.912,52.9584,0.264996,0.252689,0.94466,0.295961,1.04071
135,325.973,1,10.3491,35.7528,17.9374,53.2018,0.263333,0.268556,0.952059,0.323585,1.00919
136,332.459,1,10.1964,34.9119,18.3257,51.9595,0.262634,0.288515,0.986999,0.3236,1.02798
137,336.112,1,10.3115,35.01,18.0369,50.9394,0.263876,0.274612,1.02017,0.329571,1.04671
138,330.065,1,10.2681,34.6629,17.8984,50.3077,0.263258,0.273713,0.953846,0.304968,1.03676
139,319.781,1,10.3071,35.4998,17.3607,49.8491,0.264372,0.267567,0.888279,0.290607,1.00265
140,326.636,1,10.3377,35.0739,17.0472,49.5324,0.264093,0.268459,0.929062,0.314894,1.01997
141,325.857,1,10.3337,35.1392,18.1172,47.6227,0.259668,0.260454,0.940294,0.33748,1.0108
142,322.583,1,10.2823,34.7643,17.5497,47.1529,0.260368,0.285448,0.991684,0.311655,0.98391
143,326.158,1,10.3054,35.5835,17.5276,51.1195,0.264737,0.298638,0.95324,0.311873,0.999049
144,324.275,1,10.3186,34.6893,18.7913,49.7399,0.262216,0.275665,0.971625,0.320787,0.995423
145,318.802,1,10.327,34.0725,19.1492,50.4662,0.265941,0.272145,0.941267,0.338057,0.96436
146,323.914,1,10.3193,33.7383,18.9895,49.1975,0.262733,0.277573,0.902167,0.351068,0.989952
147,328.823,1,10.3209,34.7923,18.1371,48.3892,0.262489,0.27676,0.946461,0.398497,0.990606
148,328.167,1,10.3445,34.4251,18.7786,48.4127,0.265597,0.302076,0.896251,0.377416,0.988606
149,329.691,1,10.3342,35.2187,17.9957,47.8337,0.261246,0.279607,0.883138,0.363272,1.01804
