simulations,OFV
500,952.042
1000,952.632
1500,951.482
2000,951.301
2500,952.127
3000,951.454
3500,950.527
4000,950.488
4500,951.179
5000,950.93
5500,950.957
6000,951.049
6500,950.927
7000,950.888
7500,950.829
8000,950.872
8500,951.094
9000,950.728
9500,950.552
10000,950.44
10500,950.427
11000,950.427
11500,950.479
12000,950.392
12500,950.247
13000,950.275
13500,950.334
14000,950.326
14500,950.268
15000,950.293
15500,950.313
16000,950.373
16500,950.144
17000,950.137
17500,950.222
18000,950.186
18500,950.313
19000,950.303
19500,950.256
20000,950.175
20500,950.118
21000,950.006
21500,950.009
22000,950.114
22500,950.148
23000,949.817
23500,949.724
24000,949.734
24500,949.738
25000,949.807
25500,949.742
26000,949.653
26500,949.65
27000,949.618
27500,949.632
28000,949.676
28500,949.673
29000,949.711
29500,949.744
30000,949.802
