Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,V2_abscissa,V2_cdf,bias_abscissa,bias_cdf,split
1.70379,0,7.07336,0,0.987513,0.00142857,6.56849,0,0.26738,0,All
2.48964,0.00142857,9.5162,0.00142857,1.02075,0.00285714,8.17813,0.00142857,0.268,0.00142857,All
2.49456,0.00285714,9.593,0.00285714,1.13344,0.00428571,9.14239,0.00285714,0.268,0.00285714,All
2.52498,0.00428571,9.84034,0.00428571,1.21256,0.00571429,9.73165,0.00428571,0.268,0.00428571,All
2.54642,0.00571429,9.90216,0.00571429,1.2875,0.00714286,9.88045,0.00571429,0.268,0.00571429,All
2.55702,0.00714286,10.0704,0.00714286,1.31697,0.00857143,9.89991,0.00714286,0.268,0.00714286,All
2.57255,0.00857143,10.5316,0.00857143,1.33901,0.01,9.90882,0.00857143,0.268,0.00857143,All
2.58541,0.01,10.6688,0.01,1.36,0.0114286,10.028,0.01,0.268,0.01,All
2.5868,0.0114286,10.7937,0.0114286,1.37356,0.0128571,10.0742,0.0114286,0.268,0.0114286,All
2.58894,0.0128571,10.8659,0.0128571,1.37994,0.0142857,10.2319,0.0128571,0.268,0.0128571,All
2.59607,0.0142857,10.884,0.0142857,1.38543,0.0157143,10.3265,0.0142857,0.268,0.0142857,All
2.59824,0.0157143,10.9168,0.0157143,1.44717,0.0171429,10.334,0.0157143,0.268,0.0157143,All
2.60505,0.0171429,10.9381,0.0171429,1.45612,0.0185714,10.4478,0.0171429,0.268,0.0171429,All
2.60782,0.0185714,11.014,0.0185714,1.48021,0.02,10.5502,0.0185714,0.268,0.0185714,All
2.60898,0.02,11.1646,0.02,1.48841,0.0214286,10.5788,0.02,0.268,0.02,All
2.61268,0.0214286,11.2211,0.0214286,1.56979,0.0228571,10.5799,0.0214286,0.268,0.0214286,All
2.62195,0.0228571,11.2601,0.0228571,1.59356,0.0242857,10.6152,0.0228571,0.268,0.0228571,All
2.6248,0.0242857,11.3104,0.0242857,1.59675,0.0257143,10.6208,0.0242857,0.268,0.0242857,All
2.62766,0.0257143,11.3327,0.0257143,1.60167,0.0271429,10.6999,0.0257143,0.268,0.0257143,All
2.6306,0.0271429,11.3396,0.0271429,1.61324,0.0285714,10.747,0.0271429,0.268,0.0271429,All
2.63932,0.0285714,11.3612,0.0285714,1.6145,0.03,10.7973,0.0285714,0.268,0.0285714,All
2.64287,0.03,11.3847,0.03,1.61966,0.0314286,10.8484,0.03,0.268,0.03,All
2.64553,0.0314286,11.4013,0.0314286,1.62267,0.0328571,10.8575,0.0314286,0.268,0.0314286,All
2.64913,0.0328571,11.4713,0.0328571,1.64123,0.0342857,10.8591,0.0328571,0.268,0.0328571,All
2.65041,0.0342857,11.5439,0.0342857,1.69781,0.0357143,10.9789,0.0342857,0.268,0.0342857,All
2.66857,0.0357143,11.5809,0.0357143,1.70131,0.0371429,10.9931,0.0357143,0.268,0.0357143,All
2.67351,0.0371429,11.6773,0.0371429,1.70881,0.0385714,11.0735,0.0371429,0.268,0.0371429,All
2.67854,0.0385714,11.6799,0.0385714,1.71268,0.04,11.1372,0.0385714,0.268,0.0385714,All
2.67953,0.04,11.7292,0.04,1.72829,0.0414286,11.235,0.04,0.268,0.04,All
2.68012,0.0414286,11.7956,0.0414286,1.73283,0.0428571,11.2564,0.0414286,0.268,0.0414286,All
2.68584,0.0428571,11.8658,0.0428571,1.7358,0.0442857,11.2964,0.0428571,0.268,0.0428571,All
2.68771,0.0442857,11.8831,0.0442857,1.74705,0.0457143,11.3354,0.0442857,0.268,0.0442857,All
2.69127,0.0457143,11.8854,0.0457143,1.74774,0.0471429,11.3538,0.0457143,0.268,0.0457143,All
2.69512,0.0471429,11.8998,0.0471429,1.8,0.0485714,11.4038,0.0471429,0.268,0.0471429,All
2.70523,0.0485714,11.9745,0.0485714,1.80877,0.05,11.4536,0.0485714,0.268,0.0485714,All
2.70941,0.05,12.1705,0.05,1.82347,0.0514286,11.4734,0.05,0.268,0.05,All
2.71023,0.0514286,12.173,0.0514286,1.82553,0.0528571,11.4991,0.0514286,0.268,0.0514286,All
2.7176,0.0528571,12.234,0.0528571,1.82849,0.0542857,11.5053,0.0528571,0.268,0.0528571,All
2.72902,0.0542857,12.235,0.0542857,1.85482,0.0557143,11.5079,0.0542857,0.268,0.0542857,All
2.73604,0.0557143,12.2367,0.0557143,1.86059,0.0571429,11.5476,0.0557143,0.268,0.0557143,All
2.74022,0.0571429,12.2735,0.0571429,1.90297,0.0585714,11.6587,0.0571429,0.268,0.0571429,All
2.74565,0.0585714,12.2807,0.0585714,1.93795,0.06,11.6613,0.0585714,0.268,0.0585714,All
2.75531,0.06,12.285,0.06,1.9435,0.0614286,11.8706,0.06,0.268,0.06,All
2.7554,0.0614286,12.3208,0.0614286,1.9439,0.0628571,11.8953,0.0614286,0.268,0.0614286,All
2.75837,0.0628571,12.3942,0.0628571,1.95639,0.0642857,11.9954,0.0628571,0.268,0.0628571,All
2.76721,0.0642857,12.4164,0.0642857,1.9903,0.0657143,12.0335,0.0642857,0.268,0.0642857,All
2.7735,0.0657143,12.4215,0.0657143,2.01232,0.0671429,12.0413,0.0657143,0.268,0.0657143,All
2.78496,0.0671429,12.4449,0.0671429,2.01391,0.0685714,12.0414,0.0671429,0.268,0.0671429,All
