Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,bias_abscissa,bias_pdf,split
2.57677,0.204037,10.223,0.0115287,1.51919,0.0696612,9.46439,0.0109419,0.268,122804,All
2.75103,0.22104,11.6365,0.0335379,2.58253,0.0780205,12.0369,0.0391605,0.268,0,All
2.92529,0,13.0501,0.0440185,3.64588,0.0863799,14.6094,0.0287945,0.268,184205,All
3.09955,0.00850153,14.4636,0.0419224,4.70923,0.100312,17.1819,0.0276427,0.268,122804,All
3.27381,0.0170031,15.8772,0.0356341,5.77258,0.107278,19.7544,0.0472229,0.268,614018,All
3.44807,0.306055,17.2907,0.0241054,6.83593,0.111458,22.3269,0.0472229,0.268,552616,All
3.62234,0.0935168,18.7042,0.0628836,7.89927,0.0738409,24.8995,0.0564372,0.268,1.35084e+06,All
3.7966,0,20.1178,0.0838448,8.96262,0.0780205,27.472,0.0397364,0.268,859625,All
3.97086,0,21.5313,0.0723162,10.026,0.0822002,30.0445,0.0334016,0.268,1.84205e+06,All
4.14512,0,22.9449,0.0775565,11.0893,0.0417967,32.617,0.0241874,0.268,1.47364e+06,All
4.31938,0.00850153,24.3584,0.0838448,12.1527,0.0362238,35.1895,0.0109419,0.268,2.88589e+06,All
4.49364,0.161529,25.772,0.0744123,13.216,0.0278645,37.762,0.010366,0.268,3.56131e+06,All
4.6679,0.238043,27.1855,0.0282976,14.2794,0.0236848,40.3345,0.00979012,0.268,4.85074e+06,All
4.84216,0.204037,28.5991,0.0104806,15.3427,0.0222916,42.907,0.00287945,0.268,4.23673e+06,All
5.01642,0.569603,30.0126,0.00838448,16.4061,0.0055729,45.4795,0.00345534,0.268,3.74551e+06,All
5.19068,0.450581,31.4262,0.00628836,17.4694,0.0111458,48.052,0.00172767,0.268,3.80691e+06,All
5.36494,0.314557,32.8397,0.00419224,18.5327,0.0055729,50.6246,0.00230356,0.268,3.4999e+06,All
5.5392,0.187034,34.2532,0.00628836,19.5961,0.00278645,53.1971,0.00172767,0.268,3.07009e+06,All
5.71346,0.195535,35.6668,0.00838448,20.6594,0.00417967,55.7696,0.00172767,0.268,2.08766e+06,All
5.88772,0.297554,37.0803,0.00628836,21.7228,0.00278645,58.3421,0.000575889,0.268,1.35084e+06,All
6.06198,0.416575,38.4939,0.00104806,22.7861,0.00278645,60.9146,0,0.268,859625,All
6.23624,0.476086,39.9074,0.00419224,23.8495,0,63.4871,0.000575889,0.268,1.04383e+06,All
6.4105,0.518593,41.321,0,24.9128,0,66.0596,0,0.268,491215,All
6.58477,0.484587,42.7345,0.00209612,25.9762,0,68.6321,0,0.268,61401.8,All
6.75903,0.365566,44.1481,0.00104806,27.0395,0,71.2046,0,0.268,61401.8,All
6.93329,0.178532,45.5616,0,28.1029,0,73.7772,0,0.268,122804,All
7.10755,0.0340061,46.9752,0.00104806,29.1662,0.00139322,76.3497,0.00230356,0.268,122804,All
