Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,bias_abscissa,bias_pdf,bias_cdf,split
1.70379,1.80585e-05,1.41255e-06,7.07336,0.000250108,0.000131006,0.987513,0.00813224,0.00155663,6.56849,0.00116255,0.000881617,0.26738,2.22045e-16,2.22045e-16,All
1.84884,8.48826e-05,7.81225e-06,7.58816,0.00055083,0.000328951,1.28002,0.0195215,0.00548663,7.28635,0.0023116,0.00209575,0.267393,2.22045e-16,2.22045e-16,All
1.99389,0.000312498,3.3599e-05,8.10297,0.00109166,0.000739249,1.57252,0.034639,0.0133423,8.0042,0.00405688,0.00434354,0.267405,2.22045e-16,2.22045e-16,All
2.13894,0.000941692,0.000117569,8.61777,0.0019787,0.00151231,1.86502,0.0513699,0.0259069,8.72205,0.00645255,0.00807644,0.267418,2.22045e-16,2.22045e-16,All
2.28399,0.00240373,0.000346697,9.13258,0.00332314,0.00285508,2.15753,0.0678481,0.0433674,9.43991,0.00948313,0.01376,0.26743,2.22045e-16,2.22045e-16,All
2.42904,0.00533992,0.000885891,9.64738,0.00522635,0.00502988,2.45003,0.0827778,0.0654456,10.1578,0.0130674,0.0218243,0.267443,2.22045e-16,2.22045e-16,All
2.57409,0.0105505,0.0020057,10.1622,0.00776451,0.00834535,2.74253,0.0954251,0.0915689,10.8756,0.0170727,0.0326219,0.267455,2.22045e-16,2.22045e-16,All
2.71914,0.0188688,0.00409706,10.677,0.0109759,0.0131401,3.03504,0.105492,0.121017,11.5935,0.0213352,0.0463974,0.267468,2.22045e-16,2.22045e-16,All
2.86419,0.0309893,0.00766386,11.1918,0.0148531,0.0197608,3.32754,0.112976,0.15303,12.3113,0.0256796,0.0632726,0.26748,2.22045e-16,2.22045e-16,All
3.00924,0.0472999,0.0132903,11.7066,0.0193405,0.0285379,3.62004,0.118054,0.186874,13.0292,0.0299365,0.0832446,0.267493,2.22045e-16,2.22045e-16,All
