iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
1,1511.6,1,5.25947,9.16311,10.2532,32.5461,1,1,0.624405,0.998761,1.5,1.5,1.5,1.2
2,1499.4,1,4.55316,15.2283,21.5007,58.9575,0.974679,0.974679,0.565058,0.998761,1.46202,1.50059,1.46202,1.16962
3,1486.29,1,4.9166,12.3144,21.6681,59.8968,0.95,0.95,0.704193,0.998761,1.425,1.46259,1.425,1.14
4,1470.16,1,4.2513,13.5124,21.3348,59.5793,0.925945,0.925945,0.615832,0.998761,1.38892,1.42556,1.38892,1.11113
5,1463.25,1,3.73206,10.6491,25.5165,68.4184,0.9025,0.9025,0.847462,0.998761,1.35375,1.47839,1.35375,1.083
6,1462.49,1,3.70279,11.4034,32.3954,82.725,0.879648,0.879648,0.946665,0.998761,1.31947,1.53336,1.31947,1.05558
7,1451.2,1,3.64922,14.8234,34.089,86.0753,0.857375,0.857375,1.26164,0.998761,1.28606,1.49453,1.28606,1.02885
8,1431.61,1,4.34861,14.8054,32.6369,82.494,0.835666,0.835666,0.65705,0.998761,1.2535,1.45669,1.2535,1.0028
9,1417.61,1,4.47464,10.3692,39.5818,96.1289,0.814506,0.814506,0.399144,0.998761,1.22176,1.41981,1.22176,0.977407
10,1405.51,1,4.55568,9.42533,36.5124,89.9891,0.793882,0.793882,0.524441,0.998761,1.19082,1.38386,1.19082,0.952659
11,1393.76,1,4.73133,6.79595,40.7972,98.3514,0.773781,0.773781,0.798785,0.998761,1.16067,1.34882,1.16067,0.928537
12,1384.94,1,4.24853,6.46381,38.8543,94.3967,0.754188,0.754188,0.685926,0.998761,1.13128,1.31466,1.13128,0.905026
13,1376.61,1,4.80959,9.52102,35.66,87.8018,0.735092,0.735092,0.891338,0.998761,1.10264,1.34818,1.10264,0.88211
14,1367.88,1,4.36471,7.47227,30.7815,77.7575,0.716479,0.716479,0.664383,0.998761,1.07472,1.42588,1.07472,0.859775
15,1345.74,1,4.33266,8.55358,29.9446,76.3292,0.698337,0.698337,0.55537,0.998761,1.04751,1.38978,1.04751,0.838005
16,1349.89,1,4.63765,10.163,23.5942,62.9808,0.680655,0.680655,0.508626,0.998761,1.02098,1.45926,1.02098,0.816786
17,1323.56,1,4.65259,9.19126,25.9502,68.7367,0.66342,0.66342,0.563297,0.998761,0.995131,1.42231,0.995131,0.796105
18,1320.69,1,4.90519,7.99415,27.4282,71.742,0.646622,0.646622,0.376957,0.998761,0.969933,1.5101,0.969933,0.775947
19,1304.85,1,4.67129,7.83569,28.2184,72.7816,0.630249,0.630249,0.606218,0.998761,0.945374,1.47186,0.945374,0.756299
20,1289.84,1,4.80502,7.39503,25.3588,66.8331,0.614291,0.614291,0.768068,0.998761,0.921437,1.43459,0.921437,0.737149
21,1280.1,1,4.82684,8.07459,25.1722,67.048,0.598737,0.598737,0.715066,0.998761,0.898105,1.39827,0.898105,0.718484
22,1262.96,1,5.17875,5.95814,26.7375,70.3423,0.583577,0.583577,0.472542,0.998761,0.875365,1.36286,0.875365,0.700292
23,1254.04,1,4.90477,6.39025,25.9756,68.9716,0.5688,0.5688,0.64671,0.998761,0.8532,1.32835,0.8532,0.68256
24,1237.78,1,5.06045,5.61085,26.3585,69.2865,0.554398,0.554398,0.525727,0.998761,0.831597,1.29472,0.831597,0.665277
25,1238.96,1,5.00391,5.76049,26.9396,70.4316,0.54036,0.54036,0.648018,0.998761,0.81054,1.26194,0.81054,0.648432
26,1227.95,1,4.94639,5.65277,26.2202,69.264,0.526678,0.526678,0.410185,0.998761,0.790017,1.22998,0.790017,0.632013
27,1214.65,1,5.0476,6.91925,24.0156,64.5358,0.513342,0.513342,0.300401,0.998761,0.770013,1.20963,0.770013,0.61601
28,1195.85,1,5.03409,7.83526,25.9054,67.8207,0.500344,0.500344,0.436316,0.998761,0.750516,1.179,0.750516,0.600413
29,1191.23,1,5.02641,7.6628,23.2729,61.8065,0.487675,0.487675,0.522713,0.998761,0.731512,1.15289,0.731512,0.58521
30,1183.22,1,5.21474,7.75049,21.7998,58.5665,0.475327,0.475327,0.512275,0.998761,0.71299,1.12369,0.71299,0.570392
31,1172.09,1,5.17823,6.92708,22.5387,59.8961,0.463291,0.463291,0.583993,0.998761,0.694937,1.09524,0.694937,0.555949
32,1159.44,1,5.17424,6.59719,22.7104,60.2171,0.45156,0.45156,0.672676,0.998761,0.677341,1.06751,0.677341,0.541873
33,1139.12,1,5.11658,6.57214,22.4289,59.4975,0.440127,0.440127,0.698157,0.998761,0.66019,1.04048,0.66019,0.528152
34,1132.79,1,5.00037,6.16144,21.7562,57.9378,0.428982,0.428982,0.877154,0.998761,0.643474,1.07128,0.643474,0.514779
35,1123.24,1,5.13597,6.28702,21.8212,58.1915,0.41812,0.41812,0.619706,0.998761,0.627181,1.21753,0.627181,0.501744
36,1117.87,1,5.12649,6.35235,23.8426,62.5648,0.407533,0.407533,0.593413,0.998761,0.6113,1.18671,0.6113,0.48904
37,1107.9,1,5.16861,6.61418,23.2404,61.1529,0.397214,0.397214,0.49757,0.998761,0.595821,1.15666,0.595821,0.476657
38,1093.97,1,4.96514,5.44084,24.6027,64.0824,0.387157,0.387157,0.488548,0.998761,0.580735,1.12737,0.580735,0.464588
39,1075.01,1,5.2428,6.77168,24.1124,63.1199,0.377354,0.377354,0.525111,0.998761,0.56603,1.09882,0.56603,0.452824
40,1070.56,1,5.20155,6.7314,24.4194,63.749,0.367799,0.367799,0.444172,0.998761,0.551698,1.071,0.551698,0.441359
41,1060.95,1,5.17817,6.62378,24.2078,63.405,0.358486,0.358486,0.362496,0.998761,0.537729,1.04388,0.537729,0.430183
42,1052.61,1,5.29645,6.1286,24.7899,64.7162,0.349409,0.349409,0.531481,0.998761,0.524113,1.01745,0.524113,0.419291
43,1047.03,1,5.09456,6.27301,26.186,67.6132,0.340562,0.340562,0.474073,0.998761,0.510842,0.991689,0.510842,0.408674
44,1038.01,1,5.16688,7.01572,25.1555,65.5664,0.331938,0.331938,0.586922,0.998761,0.497908,0.966579,0.497908,0.398326
45,1030.26,1,5.26346,6.63928,24.6711,64.4841,0.323534,0.323534,0.497404,0.998761,0.4853,0.942105,0.4853,0.38824
46,1014.08,1,5.20815,5.44655,26.5434,68.5598,0.315341,0.315341,0.590016,0.998761,0.473012,0.91825,0.473012,0.37841
47,999.157,1,5.12873,5.0797,26.2701,68.0255,0.307357,0.307357,0.537169,0.998761,0.461035,0.895,0.461035,0.368828
48,990.993,1,5.10819,3.93597,25.7312,66.6722,0.299574,0.299574,0.584843,0.998761,0.449362,0.872338,0.449362,0.359489
49,980.239,1,4.95233,3.78913,25.9953,67.1319,0.291989,0.291989,0.541817,0.998761,0.437984,0.85025,0.437984,0.350387
50,981.024,1,4.95601,3.80424,25.4884,66.1036,0.284596,0.284596,0.573829,0.998761,0.426894,0.828721,0.426894,0.341515
51,977.834,1,5.03613,3.66218,25.4815,65.9103,0.27739,0.27739,0.462581,0.998761,0.416084,0.807737,0.416084,0.332867
52,965.515,1,5.00961,3.96196,26.2652,67.5079,0.270366,0.270366,0.470174,0.998761,0.405549,0.787285,0.405549,0.324439
53,963.533,1,5.0042,4.06643,25.9388,66.8507,0.26352,0.26352,0.515742,0.998761,0.39528,0.775109,0.39528,0.316224
54,943.345,1,5.00939,3.68545,25.8621,66.7755,0.256848,0.256848,0.533801,0.998761,0.385271,0.755483,0.385271,0.308217
55,934.065,1,4.9947,3.65387,26.4502,68.2274,0.250344,0.250344,0.464716,0.998761,0.375516,0.736354,0.375516,0.300413
