Parameters,Run_1,Run_2,Run_3,Run_4,Run_5
Cl_pop,5.27519,5.27094,5.27882,5.22874,5.25311
beta_Cl_logtCLCRMLMIN,0.621882,0.619175,0.60918,0.627593,0.619793
V1_pop,20.5334,19.5722,18.8597,21.0126,18.5158
Q_pop,6.12827,7.10451,8.11755,5.37427,7.53783
V2_pop,22.575,23.3289,21.2882,30.309,28.6198
omega_Cl,0.207198,0.211394,0.208294,0.210917,0.208229
omega_V1,0.285532,0.252053,0.317547,0.251399,0.348336
omega_Q,0.592322,0.781217,0.648908,0.690047,0.839722
omega_V2,0.252253,0.204206,0.279247,0.243731,0.288619
corr_V2_V1,0.998972,0.998149,0.998938,0.998478,0.998674
a1,0.302821,0.303782,0.30393,0.30612,0.307328
a2,0.0648471,0.0637762,0.0642939,0.0624253,0.0597866
-2LL,935.967,938.673,939.606,942.717,949.413
