standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,split
-4,0,-4,0,-4,0,All
-3.4818,0.000142857,-3.92312,0.000142857,-3.64718,0.000142857,All
-3.37526,0.000285714,-3.87509,0.000285714,-3.4866,0.000285714,All
-3.32278,0.000428571,-3.83058,0.000428571,-3.4615,0.000428571,All
-3.28178,0.000571429,-3.54673,0.000571429,-3.41744,0.000571429,All
-3.27018,0.000714286,-3.28775,0.000714286,-3.36447,0.000714286,All
-3.24126,0.000857143,-3.23964,0.000857143,-3.34126,0.000857143,All
-3.1898,0.001,-3.13761,0.001,-3.32883,0.001,All
-3.16488,0.00114286,-3.13761,0.00114286,-3.31393,0.00114286,All
-3.1509,0.00128571,-3.114,0.00128571,-3.21437,0.00128571,All
-3.13265,0.00142857,-3.11376,0.00142857,-3.21232,0.00142857,All
-3.13247,0.00157143,-3.0016,0.00157143,-3.19412,0.00157143,All
-3.12567,0.00171429,-2.99959,0.00171429,-3.19325,0.00171429,All
-3.12322,0.00185714,-2.98604,0.00185714,-3.19104,0.00185714,All
-3.12157,0.002,-2.96586,0.002,-3.17216,0.002,All
-3.11267,0.00214286,-2.95245,0.00214286,-3.10948,0.00214286,All
-3.10835,0.00228571,-2.90395,0.00228571,-3.01518,0.00228571,All
-3.1016,0.00242857,-2.90016,0.00242857,-3.00876,0.00242857,All
-3.09587,0.00257143,-2.88639,0.00257143,-3.00876,0.00257143,All
-3.09511,0.00271429,-2.82839,0.00271429,-3.00552,0.00271429,All
-3.09192,0.00285714,-2.82293,0.00285714,-3.00034,0.00285714,All
-3.08194,0.003,-2.80127,0.003,-2.97365,0.003,All
-3.07642,0.00314286,-2.79666,0.00314286,-2.94014,0.00314286,All
-3.076,0.00328571,-2.73517,0.00328571,-2.93665,0.00328571,All
-3.07395,0.00342857,-2.72921,0.00342857,-2.91406,0.00342857,All
-3.07129,0.00357143,-2.70131,0.00357143,-2.9105,0.00357143,All
-3.06857,0.00371429,-2.69013,0.00371429,-2.90177,0.00371429,All
-3.06534,0.00385714,-2.65426,0.00385714,-2.89471,0.00385714,All
-3.06407,0.004,-2.65303,0.004,-2.86869,0.004,All
-3.06397,0.00414286,-2.64489,0.00414286,-2.8451,0.00414286,All
-3.05628,0.00428571,-2.63061,0.00428571,-2.84485,0.00428571,All
-3.04952,0.00442857,-2.61193,0.00442857,-2.81862,0.00442857,All
-3.04689,0.00457143,-2.61005,0.00457143,-2.81811,0.00457143,All
-3.0462,0.00471429,-2.58376,0.00471429,-2.81811,0.00471429,All
-3.04442,0.00485714,-2.56765,0.00485714,-2.81708,0.00485714,All
-3.04345,0.005,-2.51681,0.005,-2.81345,0.005,All
-3.0419,0.00514286,-2.50971,0.00514286,-2.81117,0.00514286,All
-3.0364,0.00528571,-2.5026,0.00528571,-2.81117,0.00528571,All
-3.02831,0.00542857,-2.49981,0.00542857,-2.81009,0.00542857,All
-3.02479,0.00557143,-2.48815,0.00557143,-2.80618,0.00557143,All
-3.02438,0.00571429,-2.47625,0.00571429,-2.79752,0.00571429,All
-3.01964,0.00585714,-2.45442,0.00585714,-2.79752,0.00585714,All
-3.01902,0.006,-2.45442,0.006,-2.79383,0.006,All
-3.01884,0.00614286,-2.44916,0.00614286,-2.78774,0.00614286,All
-3.01878,0.00628571,-2.42102,0.00628571,-2.7823,0.00628571,All
-3.0173,0.00642857,-2.4172,0.00642857,-2.76908,0.00642857,All
-3.01314,0.00657143,-2.41136,0.00657143,-2.76355,0.00657143,All
-3.01119,0.00671429,-2.39673,0.00671429,-2.76301,0.00671429,All
-3.01002,0.00685714,-2.39547,0.00685714,-2.76231,0.00685714,All
-3.00981,0.007,-2.39503,0.007,-2.7568,0.007,All
-3.00871,0.00714286,-2.39156,0.00714286,-2.75441,0.00714286,All
-3.00143,0.00728571,-2.39026,0.00728571,-2.75373,0.00728571,All
-3.00143,0.00742857,-2.38067,0.00742857,-2.73239,0.00742857,All
-2.99471,0.00757143,-2.36627,0.00757143,-2.7312,0.00757143,All
-2.99148,0.00771429,-2.35514,0.00771429,-2.73031,0.00771429,All
-2.9868,0.00785714,-2.34754,0.00785714,-2.73031,0.00785714,All
-2.98583,0.008,-2.3363,0.008,-2.70625,0.008,All
-2.98402,0.00814286,-2.32881,0.00814286,-2.70173,0.00814286,All
-2.97832,0.00828571,-2.32725,0.00828571,-2.70173,0.00828571,All
-2.97727,0.00842857,-2.3222,0.00842857,-2.69979,0.00842857,All
-2.97676,0.00857143,-2.31911,0.00857143,-2.69803,0.00857143,All
-2.97227,0.00871429,-2.31427,0.00871429,-2.69618,0.00871429,All
-2.97067,0.00885714,-2.30664,0.00885714,-2.69305,0.00885714,All
-2.96974,0.009,-2.30075,0.009,-2.68735,0.009,All
-2.96736,0.00914286,-2.29289,0.00914286,-2.68271,0.00914286,All
-2.96305,0.00928571,-2.28303,0.00928571,-2.68271,0.00928571,All
-2.96298,0.00942857,-2.28274,0.00942857,-2.67781,0.00942857,All
-2.95971,0.00957143,-2.27778,0.00957143,-2.67123,0.00957143,All
-2.95791,0.00971429,-2.26293,0.00971429,-2.65918,0.00971429,All
-2.95659,0.00985714,-2.26217,0.00985714,-2.64917,0.00985714,All
-2.95497,0.01,-2.26217,0.01,-2.64739,0.01,All
-2.95454,0.0101429,-2.25777,0.0101429,-2.64739,0.0101429,All
-2.95315,0.0102857,-2.25777,0.0102857,-2.63641,0.0102857,All
-2.95214,0.0104286,-2.24493,0.0104286,-2.63083,0.0104286,All
-2.9492,0.0105714,-2.24182,0.0105714,-2.63063,0.0105714,All
-2.94696,0.0107143,-2.23716,0.0107143,-2.62665,0.0107143,All
-2.94663,0.0108571,-2.23696,0.0108571,-2.61688,0.0108571,All
-2.9435,0.011,-2.23154,0.011,-2.61666,0.011,All
-2.94089,0.0111429,-2.23136,0.0111429,-2.60151,0.0111429,All
-2.93586,0.0112857,-2.22607,0.0112857,-2.60151,0.0112857,All
-2.93523,0.0114286,-2.2196,0.0114286,-2.60103,0.0114286,All
-2.93366,0.0115714,-2.2196,0.0115714,-2.59081,0.0115714,All
-2.93341,0.0117143,-2.21835,0.0117143,-2.59067,0.0117143,All
-2.93334,0.0118571,-2.21433,0.0118571,-2.58904,0.0118571,All
-2.93172,0.012,-2.21385,0.012,-2.57808,0.012,All
-2.9306,0.0121429,-2.21097,0.0121429,-2.57808,0.0121429,All
