iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,679.765,1,10.2275,11.1604,43.2233,60.344,0.3,1.5,1.5,1.5,1.5
2,653.244,1,8.39732,12.6581,46.2666,65.1496,0.24,1.34164,1.34164,1.34164,1.47259
3,617.966,1,8.3533,12.868,45.6274,66.7532,0.192,1.2,1.2,1.2,1.54575
4,592.401,1,8.52224,12.5007,41.7071,75.9379,0.161361,1.07331,1.07331,1.07331,1.38256
5,560.765,1,8.60737,13.488,39.1005,81.5063,0.139945,0.96,1.07632,0.96,1.27188
6,537.27,1,8.79124,12.8401,39.0578,104.401,0.131133,0.85865,1.10324,0.85865,1.20383
7,529.396,1,8.77206,12.3978,40.5836,104.009,0.126023,0.768,1.13095,0.768,1.25112
8,507.859,1,8.81485,12.7065,40.1877,98.8084,0.113613,0.68692,1.10075,0.68692,1.26359
9,496.419,1,8.7495,11.536,39.583,94.4648,0.111033,0.6144,1.07933,0.6144,1.25137
10,485.691,1,8.7069,11.3236,40.7879,91.5524,0.106519,0.549536,1.07055,0.549536,1.28119
11,470.271,1,8.81858,11.7023,40.8814,90.3822,0.103711,0.49152,0.957531,0.49152,1.24793
12,458.12,1,8.87375,11.7892,42.1325,92.7455,0.103558,0.452503,0.858982,0.439629,1.16796
13,457.045,1,8.76054,12.4421,42.5176,89.3593,0.1008,0.457605,0.929505,0.393216,1.22086
14,451.216,1,8.75962,12.9587,41.6313,90.8746,0.0994771,0.469404,0.889648,0.351703,1.19828
15,442.925,1,8.78154,12.5385,41.5186,93.4055,0.0973856,0.467751,0.819438,0.314573,1.14175
16,438.433,1,8.80236,12.2051,42.7435,98.2417,0.0994325,0.452238,0.781613,0.281362,1.10012
17,430.33,1,8.87871,10.9673,42.9789,90.7512,0.0968605,0.445382,0.724415,0.251658,1.0568
18,418.36,1,8.91568,10.3295,44.3376,101.978,0.097551,0.406561,0.655958,0.22509,1.0291
19,402.754,1,9.11118,10.1742,45.5581,100.603,0.0934306,0.364082,0.620104,0.201327,0.993965
20,403.386,1,9.24333,9.80278,46.4419,98.7957,0.0932996,0.344284,0.614075,0.183864,1.03299
21,397.207,1,9.35626,9.30435,46.101,102.179,0.0912479,0.330082,0.634399,0.187253,0.984855
22,404.816,1,9.35178,9.21752,45.9761,96.0346,0.093085,0.329048,0.640167,0.185376,1.0436
23,401.391,1,9.39755,9.54968,45.8183,99.4165,0.0950179,0.326498,0.630046,0.172014,0.958177
24,388.5,1,9.38602,9.70681,46.2956,98.8104,0.0905171,0.321419,0.621208,0.158888,0.929987
25,392.287,1,9.40442,9.55414,46.4862,102.975,0.0938754,0.321961,0.61468,0.148147,0.948611
26,388.239,1,9.50287,9.3038,45.8188,95.0181,0.0911375,0.305339,0.615411,0.161612,0.901653
27,382.934,1,9.43772,9.2083,45.9237,96.6946,0.0885349,0.310712,0.573166,0.166777,0.88874
28,379.649,1,9.47581,8.99452,46.5822,99.3733,0.0871769,0.3026,0.592515,0.163984,0.899233
