rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_p,bsmm_y1,bsmm_y2
1,1,-0.670913131833645,0.0348667882775649,0.0589930526775543,-0.0208622008711844,0,2,2
2,1,-0.631725000032814,-0.015737945117198,-0.438049143945083,0.0042398752974407,0,2,2
3,1,-0.685844639040597,-0.0109543261677177,-0.00850421957812389,-0.0269367745196259,0,2,2
4,1,-0.662269984990685,0.00574900733907219,0.296589354069006,-0.00697760238513145,0,2,2
5,1,-0.619710480118246,-0.00701018654482396,0.186936544595161,-0.001737337048486,0,2,2
6,1,-0.624883980406239,-0.00785875657880285,0.425068058866426,0.00804471161597781,0,2,2
7,1,-0.643033255219162,-0.0358380918311007,0.682828988267201,0.00908088199224825,0,2,2
8,1,-0.615169061941622,-0.0120112074284595,0.112496222928754,-0.029742850597324,0,2,2
9,1,-0.628820375818777,0.0142171303544551,0.644603415294577,0.0286530370121713,0,2,2
10,1,-0.606709975248144,-0.0140187480279851,0.975434325803239,-0.0137599997919289,0,2,2
1,2,0.311067276275212,-0.0131218919359907,0.402979580670564,0.0600234051812812,0,2,2
2,2,0.288583136570076,-0.0212546374645798,0.173663083567123,0.0377989469537182,0,2,2
3,2,0.210360013295337,-0.0306183940707383,-0.0768214428875509,-0.0355415586523405,0,2,2
4,2,0.287679326419617,-0.0265162149830035,0.20728176031911,0.0255905353772227,0,2,2
5,2,0.227699320149986,0.0245376832571004,0.0853024605513103,-0.0479245892876095,0,2,2
6,2,0.216513651990136,0.0138187598209774,-0.318052403993043,0.00439844769182543,0,2,2
7,2,0.226880631406077,-0.0118610286037631,-0.642582976879202,-0.0127014467869955,0,2,2
8,2,0.245424251849824,-0.0296862332053219,0.123825841791311,-0.0235998683560814,0,2,2
9,2,0.298381934956079,-0.00725062438558006,0.722111233179296,-0.0688692252565652,0,2,2
10,2,0.160554086690441,-0.0212092618301797,-0.407681286456564,0.0304973279106661,0,2,2
1,3,0.23964798988971,-0.00737161987226153,0.69311740758809,0.0140170951060051,0,2,2
2,3,0.229971157968889,-0.0023313675808555,0.780647021750894,0.0106583000130766,0,2,2
3,3,0.250448715752738,0.00434726137660407,0.657417987283812,-0.0105687977434059,0,2,2
4,3,0.178457189033665,0.00634557453055371,0.194446948084892,0.00253802329751852,0,2,2
5,3,0.23446689212552,-0.00422471512092409,0.769372442248208,0.0243496141669399,0,2,2
6,3,0.193153052721276,0.00350411785297605,0.259362259548417,0.0306089193072715,0,2,2
7,3,0.159274548684129,0.0255739001463514,0.45771302494124,-0.0129497205238857,0,2,2
8,3,0.193498028899367,-0.0295458543193463,0.436882157653678,-0.0228547311193933,0,2,2
9,3,0.182243309966522,0.0548706114799242,0.703739538184814,-0.0151020008509412,0,2,2
10,3,0.169439793259925,0.0594618795384027,-0.099018340376346,0.0286180870449041,0,2,2
1,4,0.0449592877702228,-0.00930970405047205,0.214926749805019,-0.0125691166350278,0,2,2
2,4,-0.00119416144328786,0.00188486451792178,0.0400527961666735,0.0678422836487853,0,2,2
3,4,-0.0237879772096274,-0.0104062985638034,-0.495644661497692,0.0339883825426493,0,2,2
4,4,0.00548536305118926,0.0346664351174636,-0.0107960718624605,-0.0479277777805289,0,2,2
5,4,-0.0386547454933395,-0.00861097957177293,-0.988855804285308,0.0362472190631842,0,2,2
6,4,-0.00498620185182323,-0.0220070323161986,-0.21242859998159,-0.0188034133283143,0,2,2
7,4,0.00343765774223919,-0.0447040896915121,-0.272297450714114,0.0207921615967727,0,2,2
8,4,-0.0233238858166902,-0.001027532962258,-0.267279205359574,0.0317410413795234,0,2,2
9,4,-0.00988401082380233,0.000511369616944674,-0.137105805674315,-0.0441108414402192,0,2,2
10,4,-0.0911114747902364,-0.000901081131997845,-1.13924933585124,0.011613004469736,0,2,2
1,5,-0.0984277463350866,-0.00685155544381267,0.391748249619259,0.0174846664235489,0,2,2
2,5,-0.0540530575279659,0.00355901170235122,1.31744481487441,-0.0227472432800406,0,2,2
3,5,-0.114074834159334,-0.00212240176870766,0.775509080550617,0.010867003991198,0,2,2
4,5,-0.0673886256259932,-0.00961225132571998,0.785079551271709,0.0200368644979878,0,2,2
5,5,-0.103436635519744,-0.000140704087271045,0.410001865611248,-0.0224744731243375,0,2,2
6,5,-0.194118985023227,0.00804326665105061,0.0405068800020258,-0.0147225434021231,0,2,2
7,5,-0.0758121345925253,-0.00128751470717358,0.665093904676142,0.00910935679334914,0,2,2
8,5,-0.0891333703542447,-0.0302542448281625,0.696799126759434,-0.0374943284102744,0,2,2
9,5,-0.180709073697763,0.00737930249094379,0.27084708764433,0.0126831951767643,0,2,2
10,5,-0.146370686352821,0.0128187486903335,0.320020371373201,0.0423762939160707,0,2,2
1,6,0.116500009342344,-0.010140889107267,2.13683179056927,-0.0423760030793585,0,2,2
2,6,0.129712933065579,-0.00201489253709933,1.1285034193074,-0.0133976888193462,0,2,2
3,6,0.202506598790461,0.00850167656650978,2.16146021365217,-0.0186132562603117,0,2,2
4,6,0.0720326031120697,0.0144394465498485,1.39883828977092,-0.0102965599667462,0,2,2
5,6,0.129611511135732,0.00511163797690373,2.1264969370179,0.0595600743672482,0,2,2
6,6,0.13865341864166,-0.00175324312002205,1.82615923311557,0.0597854398751255,0,2,2
7,6,0.0534928688921691,0.0076465416382021,1.99385707569562,0.00215283126925359,0,2,2
8,6,0.141399087686797,0.0258576444293563,1.49721221210915,0.00526959811808239,0,2,2
9,6,0.123266805209678,-0.00518389622897701,2.03850239261339,0.0253206075275652,0,2,2
10,6,0.214513103032565,0.0331503826218401,1.66752055709288,-0.0215695675329281,0,2,2
1,7,0.107975609094458,0.00429098619101841,-2.09786052301656,0.0335139489521196,0,1,2
2,7,0.0806931395496715,-0.0054100953191265,-1.88080767680026,0.0173191838129957,0,1,2
3,7,0.1127741555392,0.0393757243218545,-1.71531161589319,0.00252589458906923,0,1,2
4,7,0.133089735422375,0.000460968604372662,-1.65094516531079,-0.0740215166103105,0,1,2
5,7,0.0812292700298749,0.00817779218083574,-2.21805440120888,0.0110889594865394,0,1,2
6,7,0.0913555168935692,0.0125868671425789,-2.10231237931858,0.0436802120330808,0,1,2
7,7,0.0490163167122335,-0.00103345266355851,-2.13763455234161,0.00559776066347326,0,1,2
8,7,0.151339704843567,0.000541880426994417,-1.32409074980923,-0.00502207771252761,0,1,2
9,7,0.0856347771463974,-0.0209584081377943,-2.24684641306575,-0.0510977763845072,0,1,2
10,7,0.0990998584222526,0.00249024314236508,-2.12480041722556,-0.0929965766187387,0,1,2
1,8,0.275683683908688,-0.00113891511259613,-0.411592773760953,0.104575472805646,0,1,2
2,8,0.260883431829929,0.0293797996715214,-0.139884689061248,-0.0349731856360182,0,1,2
3,8,0.263426236919099,-0.0049890326044233,-0.576793362742553,0.0400921762408478,0,1,2
4,8,0.292639601833411,-0.00264016726670941,0.079275437424899,0.0452601976200256,0,1,2
5,8,0.248334643484588,-0.0320582994811104,-0.12456290620585,0.0162049240541573,0,1,2
6,8,0.231734575070359,0.0158036207039173,-0.407118044248957,-0.0371073495545876,0,1,2
7,8,0.24599877103077,-0.0091142516570642,-0.0272667750987483,0.0181697714931722,0,1,2
8,8,0.255635185919981,-0.017956801404401,-0.22673835872153,-0.0325901270616809,0,1,2
9,8,0.237524066184224,-0.0329899653552508,-0.162996669259968,-0.0311230272055441,0,1,2
10,8,0.235643925849363,0.0234059401968537,-0.427418590402547,0.00901219239144361,0,1,2
1,9,0.00156771623721374,-0.00148888033203953,0.940963038732499,-0.0224405536259165,0,2,2
2,9,-0.0672823117339841,-0.00220195851222095,0.677200652870993,0.0538623041477054,0,2,2
3,9,-0.0377023351959204,-0.0140029620666539,0.375472096268834,0.0265743681960096,0,2,2
4,9,-0.0395859046005812,-0.0326631506152601,0.4209303881449,0.0110391721387727,0,2,2
5,9,-0.0636860858117903,-0.0179639926296918,0.442080801572379,0.0145531468811104,0,2,2
6,9,-0.0885147863883497,-0.00239212300118661,0.0249191980851784,0.00107985319033459,0,2,2
7,9,-0.0177248204330271,0.0108817657205043,0.4228378543052,0.00486883367371358,0,2,2
8,9,-0.0237323908653559,-0.00352510155127612,0.507749896936348,0.00371299700036231,0,2,2
9,9,-0.0386643702629015,-0.0257980005482044,0.72992210803992,-0.0162360335954175,0,2,2
10,9,-0.104955467134787,0.00300789368788551,-0.164917041712172,-0.0434834378432121,0,2,2
1,10,-0.37347990810462,-0.0297372800484255,0.0201185390201192,-0.0102585661198084,0,2,2
2,10,-0.483485211076148,-0.023979196576443,-1.98054990690499,0.00384160841413073,0,2,2
3,10,-0.378199930055198,-0.003253876337277,-0.702372873825867,0.0874763700732657,0,2,2
4,10,-0.44730767215147,-0.035877952666738,-0.865412428436806,-0.0353726894835559,0,2,2
5,10,-0.3686572015931,-0.0284753831787832,-0.347983611721472,-0.0613458556281008,0,2,2
6,10,-0.402875485937444,0.00345878861186914,-0.38860687135399,0.0132221682501301,0,2,2
7,10,-0.447670524454688,0.0430869752103928,-1.25486407802485,0.0341262591748498,0,2,2
8,10,-0.448323711557645,-0.0104330024014107,-1.24006549073827,-0.0330017947223408,0,2,2
9,10,-0.374005518687826,0.0154046129781259,-0.336000338007282,0.0427256732597786,0,2,2
10,10,-0.393902091706952,0.00600186715784116,-1.31419812368563,-0.0130160318673009,0,2,2
1,11,0.147700368833156,-0.0089282126688897,-0.00262767797522293,-0.0314453502276713,0,2,2
2,11,0.124952379696334,-0.00447665378338784,-0.0551135671811737,0.000463517066675063,0,2,2
3,11,0.153966011715547,-0.0133082078127271,-0.016499385717147,-0.0196872731922319,0,2,2
4,11,0.193504565268489,0.0232011173213372,0.30712233129409,-0.0220320367992306,0,2,2
5,11,0.136742576813413,-0.00650013296008928,-0.159008473448593,-0.0497642232687438,0,2,2
