f_pop,0.0041442,0.0011076,0.0043788,0.00075301,nan,-1.3873e-5,5.516e-6,2.0229e-5,nan,-0.00021686,-3.7195e-7,-6.5967e-7,-0.00020086,-1.3035e-5
Cl_pop,0.0011076,0.62512,-0.24009,0.35277,nan,4.064e-5,-0.0045968,0.00046366,nan,-0.0034641,4.6478e-5,5.7509e-5,-0.0044265,-0.00068514
V1_pop,0.0043788,-0.24009,6.6167,-2.5796,nan,-0.0038821,-0.0016994,-0.0037026,nan,-0.17013,-0.00034589,0.0053717,0.066617,-0.0032666
Q_pop,0.00075301,0.35277,-2.5796,6.4335,nan,0.00054861,0.0096008,-0.011627,nan,0.45062,0.00069323,0.001912,-0.089003,-0.0066254
V2_pop,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_f,-1.3873e-5,4.064e-5,-0.0038821,0.00054861,nan,0.0025668,4.5786e-5,9.919e-5,nan,0.00037781,-3.9585e-7,-4.0947e-5,-0.0012322,3.8667e-5
omega_Cl,5.516e-6,-0.0045968,-0.0016994,0.0096008,nan,4.5786e-5,0.0033483,-0.00013445,nan,0.0011775,7.7613e-7,-2.0946e-5,-0.0001093,1.116e-5
omega_V1,2.0229e-5,0.00046366,-0.0037026,-0.011627,nan,9.919e-5,-0.00013445,0.0024375,nan,-0.00046737,2.0668e-6,-0.00010584,-0.00087712,-6.1557e-6
omega_Q,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_V2,-0.00021686,-0.0034641,-0.17013,0.45062,nan,0.00037781,0.0011775,-0.00046737,nan,0.13548,0.00010231,0.0002123,-0.013833,-0.00065695
a1,-3.7195e-7,4.6478e-5,-0.00034589,0.00069323,nan,-3.9585e-7,7.7613e-7,2.0668e-6,nan,0.00010231,0.068657,-9.5407e-7,-4.3636e-5,-1.5052e-6
b1,-6.5967e-7,5.7509e-5,0.0053717,0.001912,nan,-4.0947e-5,-2.0946e-5,-0.00010584,nan,0.0002123,-9.5407e-7,0.00012571,2.8439e-5,-4.1246e-5
a2,-0.00020086,-0.0044265,0.066617,-0.089003,nan,-0.0012322,-0.0001093,-0.00087712,nan,-0.013833,-4.3636e-5,2.8439e-5,0.080665,-0.0015566
b2,-1.3035e-5,-0.00068514,-0.0032666,-0.0066254,nan,3.8667e-5,1.116e-5,-6.1557e-6,nan,-0.00065695,-1.5052e-6,-4.1246e-5,-0.0015566,0.00029798
