pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.81099,0.080042,-4.25696,0.00358862,-1.80446,0.100595,All
-1.38153,0.266807,-3.95733,0.00358862,-1.34884,0.251488,All
-0.95207,0.213445,-3.6577,0.00358862,-0.893218,0.251488,All
-0.522608,0.453571,-3.35806,0.00358862,-0.437596,0.502976,All
-0.093146,0.667017,-3.05843,0.00358862,0.0180254,0.528125,All
0.336316,0.186765,-2.7588,0.0179431,0.473647,0.20119,All
0.765778,0.293487,-2.45916,0.0107659,0.929269,0.276637,All
1.19524,0.106723,-2.15953,0.0358862,1.38489,0.100595,All
1.6247,0.133403,-1.8599,0.046652,1.84051,0.100595,All
2.05416,0.160084,-1.56027,0.100481,2.29613,0.100595,All
,,-1.26063,0.157899,,,All
,,-0.960999,0.276324,,,All
,,-0.661366,0.391159,,,All
,,-0.361733,0.376805,,,All
,,-0.0620995,0.505995,,,All
,,0.237534,0.505995,,,All
,,0.537167,0.294267,,,All
,,0.8368,0.276324,,,All
,,1.13643,0.215317,,,All
,,1.43607,0.0861268,,,All
,,1.7357,0.0538293,,,All
,,2.03533,0.0143545,,,All
,,2.33497,0.0107659,,,All
,,2.6346,0.0179431,,,All
,,2.93423,0.00717723,,,All
,,3.23387,0,,,All
,,3.5335,0.00358862,,,All
,,3.83313,0.00358862,,,All
,,4.13276,0.0107659,,,All
,,4.4324,0.00358862,,,All
,,4.73203,0.00358862,,,All
