iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,1453.77,1,5.16,21.01,5.51,25.66,1,1,1,1,0.998761,1,1
2,1437.4,1,5.0634,22.5967,9.61793,27.9501,0.974679,0.974679,1.04771,0.974679,0.998761,0.974679,0.974679
3,1429.44,1,4.93347,22.2871,8.54543,27.9679,0.95,0.95,1.09607,0.95,0.998761,0.95,0.95
4,1422.33,1,4.59911,23.5099,9.79236,29.586,0.925945,0.925945,1.17626,0.925945,0.998761,0.925945,0.925945
5,1405.05,1,4.53,26.3938,7.31475,33.0391,0.9025,0.9025,1.14648,0.9025,0.998761,0.9025,0.9025
6,1393.98,1,4.39872,27.0656,7.4095,33.8566,0.879648,0.879648,1.14193,0.879648,0.998761,0.879648,0.879648
7,1380.94,1,4.96436,27.221,7.31559,34.2332,0.857375,0.857375,1.11302,0.857375,0.998761,0.857375,0.857375
8,1363.1,1,4.8438,25.4687,7.3591,31.8289,0.835666,0.835666,1.08484,0.835666,0.998761,0.835666,0.835666
9,1363.58,1,4.99325,27.6922,7.7901,34.6735,0.814506,0.814506,1.07576,0.814506,0.998761,0.814506,0.814506
10,1340.4,1,4.9684,26.0293,6.98847,32.7549,0.793882,0.793882,1.04853,0.793882,0.998761,0.793882,0.793882
11,1330.3,1,5.07742,25.4703,7.68761,31.8994,0.773781,0.773781,1.02198,0.773781,0.998761,0.773781,0.773781
12,1323.37,1,5.09315,25.7131,8.30578,32.0783,0.754188,0.754188,0.996099,0.754188,0.998761,0.754188,0.754188
13,1333.19,1,5.00891,29.6389,10.1406,36.9815,0.735092,0.735092,1.11052,0.735092,0.998761,0.735092,0.735092
14,1313.92,1,4.95332,26.5591,8.23135,33.1639,0.716479,0.716479,1.16859,0.716479,0.998761,0.716479,0.716479
15,1296.52,1,5.10492,24.6385,9.38798,30.9296,0.698337,0.698337,1.139,0.698337,0.998761,0.698337,0.698337
16,1280.39,1,4.95989,23.4854,10.4947,29.518,0.680655,0.680655,1.11016,0.680655,0.998761,0.680655,0.680655
17,1265.28,1,5.14326,22.388,10.8652,28.1913,0.66342,0.66342,1.14647,0.66342,0.998761,0.66342,0.66342
18,1262.5,1,5.12804,22.9851,11.2665,29.0816,0.646622,0.646622,1.11744,0.646622,0.998761,0.646622,0.646622
19,1255.97,1,5.14731,24.0383,11.5319,30.3212,0.630249,0.630249,1.2244,0.630249,0.998761,0.630249,0.630249
20,1240.5,1,5.11361,25.6999,10.1772,32.5438,0.614291,0.614291,1.19339,0.614291,0.998761,0.614291,0.614291
21,1233.54,1,5.2659,25.6659,9.39951,32.6434,0.598737,0.598737,1.16318,0.598737,0.998761,0.598737,0.598737
22,1221.45,1,5.29788,26.081,9.19151,33.2844,0.583577,0.583577,1.13372,0.583577,0.998761,0.583577,0.583577
23,1208.83,1,5.23542,25.9736,7.51344,33.4837,0.5688,0.5688,1.10502,0.5688,0.998761,0.5688,0.5688
24,1190.1,1,5.3175,27.1659,5.47595,34.8026,0.554398,0.554398,1.07704,0.554398,0.998761,0.554398,0.554398
25,1193.67,1,5.25503,26.098,5.08163,33.3998,0.54036,0.54036,1.04977,0.54036,0.998761,0.54036,0.54036
26,1174.21,1,5.19711,28.4851,5.41667,36.5104,0.526678,0.526678,1.03267,0.526678,0.998761,0.526678,0.526678
27,1168.39,1,5.1771,27.8044,5.99166,35.6341,0.513342,0.513342,1.00652,0.513342,0.998761,0.513342,0.513342
28,1149.16,1,5.06382,27.4787,5.84679,35.0745,0.500344,0.500344,0.981038,0.500344,0.998761,0.500344,0.500344
