iteration,E_V,sd_V,E_Cl,sd_Cl
1,64.2861,0.0759437,10.6714,0.0711272
2,64.0412,0.0704613,10.68,0.0618636
3,64.0094,0.0710537,10.6976,0.0590738
4,63.9266,0.0694802,10.7038,0.0573989
5,64.1352,0.0681146,10.7233,0.056211
6,64.1937,0.0669828,10.7341,0.0548961
7,64.2116,0.0669523,10.7435,0.0546249
8,64.1984,0.06824,10.7524,0.0555773
9,64.2235,0.0678948,10.7647,0.0549295
10,64.1982,0.068273,10.7724,0.0546441
11,64.1168,0.0681362,10.7698,0.0547628
12,64.123,0.0681264,10.771,0.0554417
13,64.1537,0.068458,10.7729,0.0550212
14,64.1187,0.0678249,10.7585,0.0549279
15,64.1203,0.0676889,10.7583,0.0549822
16,64.1376,0.0677782,10.7644,0.0551218
17,64.0942,0.0680459,10.7613,0.0547776
18,64.0614,0.0680777,10.7575,0.0550632
19,64.0115,0.0679424,10.7569,0.0550834
20,64.0247,0.0676811,10.7598,0.0550392
21,64.0214,0.0673723,10.762,0.0549664
22,64.0119,0.0674104,10.7561,0.0552484
23,64.0093,0.0674453,10.756,0.0553164
24,63.9694,0.067362,10.7577,0.05519
25,63.9393,0.0671544,10.7592,0.0550057
26,63.9157,0.0669943,10.757,0.0547491
27,63.9576,0.0670605,10.7608,0.0546307
28,63.9903,0.0671917,10.7638,0.0543288
29,64.0063,0.0671936,10.7597,0.0538562
30,63.9861,0.0672738,10.7574,0.0536028
31,63.9853,0.0668611,10.7583,0.053388
32,63.9711,0.0669491,10.7566,0.0532469
33,63.9512,0.0670681,10.7574,0.0535227
34,63.9565,0.0675227,10.7576,0.0536222
35,63.9654,0.067422,10.7593,0.05347
36,63.9508,0.0675008,10.7612,0.053276
37,63.9665,0.0675009,10.759,0.0531659
38,63.9635,0.0676471,10.7591,0.053033
39,63.9672,0.0677098,10.7569,0.0530179
40,63.9529,0.0676507,10.756,0.0529835
41,63.9434,0.0676496,10.7542,0.0527961
42,63.949,0.0676109,10.7568,0.052733
43,63.9681,0.0677424,10.7583,0.052799
44,63.979,0.0678735,10.7603,0.0528555
45,63.9825,0.067695,10.76,0.0528858
46,63.9745,0.0679587,10.7596,0.0528973
47,63.9706,0.0681617,10.7577,0.0529816
48,63.9711,0.0681282,10.7547,0.0528726
49,63.9748,0.0681191,10.7533,0.0527725
50,63.9793,0.068061,10.7544,0.0526347
51,63.9889,0.0680328,10.7529,0.0525146
52,63.9849,0.0680929,10.7517,0.0523875
53,63.9888,0.0684692,10.7516,0.0523057
54,63.9737,0.0683435,10.752,0.0523308
55,63.9787,0.0683637,10.7528,0.0523952
56,63.9688,0.0682377,10.7496,0.0523989
57,63.9645,0.068123,10.7499,0.0522489
58,63.9594,0.0680016,10.7502,0.0521167
59,63.95,0.0678099,10.7498,0.0520246
60,63.9406,0.0677726,10.7499,0.0518912
61,63.9383,0.0677136,10.7494,0.0518328
62,63.9554,0.067869,10.7517,0.0518276
63,63.9611,0.0679681,10.7526,0.0518806
64,63.9841,0.0680085,10.7555,0.0519137
65,64.0046,0.0680377,10.7563,0.0519809
66,64.0225,0.0680751,10.7565,0.0519615
67,64.034,0.0679789,10.7571,0.0519814
68,64.0198,0.0680044,10.7545,0.05213
69,64.0166,0.0680458,10.753,0.05217
70,64.0142,0.0680045,10.7532,0.0521295
71,64.0132,0.067805,10.7546,0.0521622
72,64.0198,0.0679826,10.7552,0.0522571
73,64.0242,0.0680544,10.7556,0.05223
74,64.0238,0.0680073,10.7544,0.0522216
75,64.0088,0.0681341,10.7552,0.0522235
76,64.0117,0.068173,10.7555,0.0523042
77,64.013,0.0680638,10.7558,0.0522089
78,64.0195,0.0680026,10.7566,0.0522023
79,64.0316,0.0682756,10.7577,0.0521218
80,64.0384,0.0684786,10.7586,0.0521643
81,64.0432,0.0685,10.7591,0.0523
82,64.0567,0.0685015,10.7599,0.0524136
