simulations,OFV
500,1075.22
1000,1074.76
1500,1074.47
2000,1074.7
2500,1074.75
3000,1075.04
3500,1074.96
4000,1074.73
4500,1074.82
5000,1074.8
5500,1074.85
6000,1074.82
6500,1074.82
7000,1075
7500,1075.11
8000,1075.07
8500,1075.16
9000,1075.03
9500,1075
10000,1074.96
10500,1074.93
11000,1075.01
11500,1074.96
12000,1074.94
12500,1074.93
13000,1074.94
13500,1075
14000,1075.02
14500,1074.97
15000,1075
15500,1075.04
16000,1075.04
16500,1074.96
17000,1074.88
17500,1074.89
18000,1074.82
18500,1074.9
19000,1074.9
19500,1074.86
20000,1074.86
20500,1074.85
21000,1074.74
21500,1074.69
22000,1074.69
22500,1074.66
23000,1074.62
23500,1074.63
24000,1074.6
24500,1074.62
25000,1074.62
25500,1074.63
26000,1074.61
26500,1074.6
27000,1074.58
27500,1074.55
28000,1074.58
28500,1074.56
29000,1074.57
29500,1074.57
30000,1074.58
