Parameters,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20
Cl_pop,5.10411,5.1024,5.11147,5.11284,5.07214,5.09964,5.10648,5.11832,4.36869,5.10254,5.09014,5.11535,5.10273,5.10819,5.11531,5.10828,5.10655,5.10441,5.10407,5.12118
V1_pop,21.7302,21.7718,21.4844,21.4922,21.9025,21.483,21.4483,21.4968,23.4022,21.4637,21.811,21.7048,21.3268,21.163,21.446,21.6008,21.7267,21.8047,21.3951,21.5483
Q_pop,4.7939,4.6575,4.88163,4.92732,4.58505,4.83654,4.91345,4.93337,4.03227,4.85869,4.57698,4.8361,4.93053,5.0471,4.91379,4.81709,4.77755,4.71759,4.90211,4.92666
V2_pop,30.3321,28.6795,27.2269,28.6092,32.6612,29.6776,29.2168,27.6133,101.274,29.2862,29.5004,27.913,28.133,27.356,27.9181,29.0067,28.8402,28.6494,27.8045,27.4203
omega_Cl,0.266277,0.262623,0.261691,0.262495,0.264875,0.261729,0.263403,0.261459,0.345102,0.263765,0.263473,0.263787,0.262772,0.263275,0.260433,0.264059,0.263551,0.263323,0.26087,0.262656
omega_V1,0.210456,0.227726,0.225245,0.215401,0.226294,0.215616,0.219827,0.217034,0.239233,0.216198,0.223242,0.221515,0.221399,0.22784,0.223496,0.217973,0.217538,0.225507,0.230004,0.22
omega_Q,0.677251,0.621355,0.648143,0.686372,0.642221,0.689259,0.683376,0.681303,0.370071,0.6866,0.632034,0.625266,0.689525,0.690293,0.682614,0.650322,0.660268,0.633802,0.65571,0.654451
b,0.0255071,0.0247712,0.025681,0.0249697,0.024726,0.0250244,0.024619,0.0254136,0.0272384,0.0250275,0.0247052,0.0252019,0.0247616,0.0255074,0.0250619,0.0248049,0.0252297,0.0252442,0.0251633,0.0256355
-2LL,394.116,393.477,393.363,393.578,394.967,393.909,393.759,393.406,409.15,393.776,393.694,393.319,393.545,393.591,393.438,393.566,393.522,393.456,393.421,393.355
