iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
1,2019.94,1,2.59104,8.64932,31.5191,11.3759,3,3,0,1.5,1.5,1.5,1.5
2,1998.5,1,3.05055,12.3268,27.1958,15.1626,2.92404,2.92404,0,1.46202,1.61534,1.48214,1.46202
3,1985.29,1,4.32537,13.7289,34.5485,22.1998,2.85,2.85,0,1.425,1.57444,1.44461,1.55583
4,1967.3,1,3.63108,16.0521,55.2437,37.9936,2.77784,2.77784,0,1.38892,1.53457,1.44595,1.51644
5,1966.78,1,3.62462,13.5605,79.7264,36.3772,2.7075,2.7075,0,1.35375,1.50556,1.40934,1.47804
6,1961.68,1,3.63069,12.7121,75.599,40.3422,2.63894,2.63894,0,1.31947,1.48095,1.56398,1.44062
7,1944.26,1,2.89829,15.0956,81.0976,57.1183,2.57212,2.57212,0,1.28606,1.45883,1.52438,1.40414
8,1928.56,1,2.52083,16.6267,93.2353,51.1351,2.507,2.507,0,1.2535,1.47396,1.48578,1.42532
9,1932.71,1,2.16782,13.4204,88.5487,53.833,2.44352,2.44352,0,1.22176,1.66842,1.44816,1.38923
10,1921.7,1,1.84863,14.3822,75.9931,74.1123,2.38165,2.38165,0,1.19082,1.7658,1.43219,1.35406
11,1906.73,1,2.44232,10.5027,93.8193,76.496,2.32134,2.32134,0,1.16067,1.72109,1.39592,1.53873
12,1895.29,1,2.54964,10.8128,89.3958,70.2108,2.26257,2.26257,0,1.13128,1.74613,1.36058,1.49977
13,1889.95,1,2.78458,16.6367,64.0995,109.687,2.20528,2.20528,0,1.10264,1.98342,1.33331,1.49178
14,1881.73,1,2.52602,10.3931,74.6635,114.911,2.14944,2.14944,0,1.07472,2.14702,1.29955,1.45401
15,1868.09,1,2.55237,10.0438,51.4969,114.177,2.09501,2.09501,0,1.04751,2.1854,1.26664,1.41719
16,1868.5,1,2.83971,19.0759,49.9564,92.8264,2.04197,2.04197,0,1.02098,2.1586,1.23457,1.38131
17,1838.09,1,2.9776,13.3417,36.9542,119.088,1.99026,1.99026,0,0.995131,2.10394,1.20331,1.34633
18,1834.96,1,3.02162,14.3736,32.6328,121.055,1.93987,1.93987,0,0.969933,2.05067,1.23031,1.46014
