rep,ID,standEta_V_simulated,standEta_Cl_simulated,filter
1,1,-0.569053,-2.65048,0
2,1,-1.56154,-2.48754,0
3,1,-1.32291,-2.50259,0
4,1,-1.48159,-2.36061,0
5,1,-1.11053,-2.71969,0
6,1,-0.912577,-2.71667,0
7,1,-1.64271,-2.54191,0
8,1,-1.47094,-2.45996,0
9,1,-0.871902,-2.72277,0
10,1,-1.26629,-2.33593,0
1,2,0.200607,0.288154,0
2,2,0.384658,1.67094,0
3,2,0.486178,0.683566,0
4,2,-0.728859,0.949664,0
5,2,-0.254834,1.28145,0
6,2,-0.0131831,1.35089,0
7,2,0.281419,0.96501,0
8,2,0.0269191,1.13487,0
9,2,0.682486,0.91246,0
10,2,0.889062,1.38682,0
1,3,0.150955,0.556495,0
2,3,0.588601,0.269905,0
3,3,-0.036312,0.538282,0
4,3,0.0678277,0.564398,0
5,3,0.527928,0.660364,0
6,3,0.27143,0.934883,0
7,3,0.504339,-0.207901,0
8,3,0.824085,0.813489,0
9,3,-0.302523,0.811312,0
10,3,-0.174599,0.638325,0
1,4,-0.769018,-0.250095,0
2,4,-0.48981,-0.150669,0
3,4,-0.952214,0.0452923,0
4,4,-1.40526,0.120312,0
5,4,-0.0374047,-0.251674,0
6,4,-0.412413,0.145977,0
7,4,-0.433914,0.319702,0
8,4,-0.148258,-0.0170078,0
9,4,-0.908049,0.366045,0
10,4,-1.09049,-0.510338,0
1,5,0.0822894,-0.452122,0
2,5,0.229074,-0.434061,0
3,5,0.377682,-0.704711,0
4,5,0.32227,-0.640248,0
5,5,0.702442,-0.410231,0
6,5,0.561456,-0.948483,0
7,5,-0.237439,-0.420429,0
8,5,1.22783,-0.327571,0
9,5,0.218639,-0.726738,0
10,5,1.10627,-0.389515,0
1,6,1.56329,0.43059,0
2,6,1.84089,-0.176619,0
3,6,2.80917,-0.0232083,0
4,6,2.21524,0.653914,0
5,6,1.67324,0.0167187,0
6,6,2.18667,0.726101,0
7,6,2.89152,0.285529,0
8,6,1.12679,0.535708,0
9,6,2.40687,0.694797,0
10,6,1.04279,0.797787,0
1,7,-2.32101,0.802753,0
2,7,-1.76282,0.59453,0
3,7,-2.51457,0.411138,0
4,7,-2.35818,0.545859,0
5,7,-1.96385,0.0979106,0
6,7,-2.53371,0.42109,0
7,7,-1.58297,0.386176,0
8,7,-1.38929,1.08061,0
9,7,-2.49053,0.385337,0
10,7,-1.43345,1.05764,0
1,8,-0.39566,0.902054,0
2,8,0.665974,0.551353,0
3,8,0.0963835,0.579918,0
4,8,-0.545872,0.75999,0
5,8,0.490413,0.306998,0
6,8,0.0912942,1.29344,0
7,8,0.0555424,1.47045,0
8,8,-0.817716,1.13239,0
9,8,-0.410862,1.41924,0
10,8,0.718059,0.911184,0
1,9,-0.0438056,-0.0612948,0
2,9,0.719587,0.232597,0
3,9,0.297589,0.121712,0
4,9,0.384879,-0.539251,0
5,9,1.29094,-0.333128,0
6,9,-0.027162,0.110477,0
7,9,-0.0778148,-0.198059,0
8,9,-0.192508,0.0240308,0
9,9,-0.30334,-0.886341,0
10,9,0.129506,-0.349825,0
1,10,-1.18913,-1.44623,0
2,10,-0.962121,-1.29881,0
3,10,-0.937405,-1.97422,0
4,10,-0.627902,-1.77504,0
5,10,-0.821293,-1.57778,0
6,10,-1.1319,-1.66879,0
7,10,-0.803755,-1.88153,0
8,10,-1.20112,-1.65157,0
9,10,-1.38191,-1.5327,0
10,10,-0.900165,-1.3043,0
1,11,1.65356,1.57276,0
2,11,0.756362,0.919705,0
3,11,-0.214626,1.52022,0
4,11,0.291553,1.21242,0
5,11,0.413145,0.69987,0
6,11,0.0753731,0.339392,0
7,11,1.59284,0.00079434,0
8,11,-0.0187435,1.02292,0
9,11,0.44491,0.221969,0
10,11,1.69768,0.531126,0
1,12,1.60843,-0.212148,0
2,12,1.14243,-0.0421804,0
3,12,0.469971,-0.425701,0
4,12,1.85431,-0.186716,0
5,12,0.78455,-0.268169,0
6,12,1.43675,-0.508965,0
7,12,1.21312,-0.581146,0
8,12,0.572051,-0.179442,0
9,12,1.40792,-0.180087,0
10,12,0.757508,-0.626192,0
1,13,0.0893478,0.618589,0
2,13,0.258872,0.0483817,0
3,13,0.400533,0.276226,0
4,13,0.418605,0.538252,0
5,13,-0.137403,0.194103,0
6,13,-0.0550385,0.200107,0
7,13,-0.0920235,-0.43964,0
8,13,0.0697226,0.172766,0
9,13,1.30718,-0.0777632,0
10,13,0.228427,0.156221,0
1,14,0.144444,0.795931,0
2,14,-0.20117,0.837379,0
3,14,-0.604836,0.450201,0
4,14,-0.137557,1.13448,0
5,14,-0.0710426,0.51385,0
6,14,0.242069,0.406094,0
7,14,-0.120896,0.292265,0
8,14,0.202034,0.548234,0
9,14,-0.746978,0.379374,0
10,14,0.211507,0.725158,0
