standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-4,0,-4,0,All
-2.46078,0.00714286,-2.7951,0.00714286,All
-2.32543,0.0142857,-2.72707,0.0142857,All
-2.15853,0.0214286,-2.68377,0.0214286,All
-1.96909,0.0285714,-2.68207,0.0285714,All
-1.96851,0.0357143,-2.65415,0.0357143,All
-1.74623,0.0428571,-2.64335,0.0428571,All
-1.73661,0.05,-2.6055,0.05,All
-1.61514,0.0571429,-2.59622,0.0571429,All
-1.58308,0.0642857,-2.55859,0.0642857,All
-1.49346,0.0714286,-2.51224,0.0714286,All
-1.40526,0.0785714,-1.96375,0.0785714,All
-1.4033,0.0857143,-1.88595,0.0857143,All
-1.38845,0.0928571,-1.7693,0.0928571,All
-1.38073,0.1,-1.67102,0.1,All
-1.37955,0.107143,-1.65693,0.107143,All
-1.3225,0.114286,-1.55305,0.114286,All
-1.21173,0.121429,-1.45192,0.121429,All
-1.21098,0.128571,-1.31115,0.128571,All
-1.20182,0.135714,-1.30971,0.135714,All
-1.18913,0.142857,-1.27341,0.142857,All
-1.13685,0.15,-0.92253,0.15,All
-1.09049,0.157143,-0.878815,0.157143,All
-1.09043,0.164286,-0.722318,0.164286,All
-1.0684,0.171429,-0.69794,0.171429,All
-1.03414,0.178571,-0.640736,0.178571,All
-0.987877,0.185714,-0.613514,0.185714,All
-0.965343,0.192857,-0.583055,0.192857,All
-0.952964,0.2,-0.526082,0.2,All
-0.952457,0.207143,-0.49902,0.207143,All
-0.909333,0.214286,-0.45912,0.214286,All
-0.904413,0.221429,-0.450397,0.221429,All
-0.867908,0.228571,-0.430892,0.228571,All
-0.832869,0.235714,-0.419827,0.235714,All
-0.819252,0.242857,-0.408772,0.242857,All
-0.815117,0.25,-0.402539,0.25,All
-0.767194,0.257143,-0.391226,0.257143,All
-0.728988,0.264286,-0.389467,0.264286,All
-0.713356,0.271429,-0.360241,0.271429,All
-0.604812,0.278571,-0.333128,0.278571,All
-0.542043,0.285714,-0.330418,0.285714,All
-0.517377,0.292857,-0.313189,0.292857,All
-0.49226,0.3,-0.276945,0.3,All
-0.438824,0.307143,-0.249323,0.307143,All
-0.41491,0.314286,-0.212148,0.314286,All
-0.40635,0.321429,-0.193952,0.321429,All
-0.394339,0.328571,-0.186124,0.328571,All
-0.392366,0.335714,-0.182757,0.335714,All
-0.362373,0.342857,-0.179846,0.342857,All
-0.311894,0.35,-0.179586,0.35,All
-0.311343,0.357143,-0.17867,0.357143,All
-0.300754,0.364286,-0.148724,0.364286,All
-0.251661,0.371429,-0.0981093,0.371429,All
-0.241462,0.378571,-0.0784378,0.378571,All
-0.193127,0.385714,-0.0670241,0.385714,All
-0.1925,0.392857,-0.0476788,0.392857,All
-0.17461,0.4,-0.0232083,0.4,All
-0.145513,0.407143,-0.0161976,0.407143,All
-0.114608,0.414286,-0.000247349,0.414286,All
-0.110667,0.421429,0.00079434,0.421429,All
-0.0975788,0.428571,0.0240308,0.428571,All
-0.0778148,0.435714,0.0500566,0.435714,All
-0.0685287,0.442857,0.0605002,0.442857,All
-0.0349829,0.45,0.0762979,0.45,All
-0.033705,0.457143,0.10517,0.457143,All
-0.0187879,0.464286,0.113957,0.464286,All
-0.0064534,0.471429,0.117197,0.471429,All
0.0269191,0.478571,0.121712,0.478571,All
0.0602481,0.485714,0.145977,0.485714,All
0.0685487,0.492857,0.15621,0.492857,All
0.0703919,0.5,0.169278,0.5,All
0.0758426,0.507143,0.187456,0.507143,All
0.0762693,0.514286,0.226008,0.514286,All
0.0768856,0.521429,0.229755,0.521429,All
0.0938458,0.528571,0.277203,0.528571,All
0.115129,0.535714,0.283067,0.535714,All
0.138163,0.542857,0.290922,0.542857,All
0.146053,0.55,0.294286,0.55,All
0.150778,0.557143,0.310875,0.557143,All
0.211507,0.564286,0.323978,0.564286,All
0.218573,0.571429,0.330072,0.571429,All
0.226819,0.578571,0.357858,0.578571,All
0.236745,0.585714,0.361476,0.585714,All
0.237699,0.592857,0.385208,0.592857,All
0.245386,0.6,0.386533,0.6,All
0.266558,0.607143,0.386873,0.607143,All
0.271092,0.614286,0.397959,0.614286,All
0.281916,0.621429,0.421377,0.621429,All
0.286256,0.628571,0.430707,0.628571,All
0.290701,0.635714,0.454606,0.635714,All
0.297589,0.642857,0.484211,0.642857,All
0.328922,0.65,0.51255,0.65,All
0.382765,0.657143,0.531879,0.657143,All
0.394756,0.664286,0.536151,0.664286,All
0.400869,0.671429,0.540066,0.671429,All
0.403181,0.678571,0.548067,0.678571,All
0.409269,0.685714,0.551889,0.685714,All
0.40942,0.692857,0.558449,0.692857,All
0.439138,0.7,0.558707,0.7,All
0.486178,0.707143,0.577757,0.707143,All
0.498619,0.714286,0.595424,0.714286,All
0.50184,0.721429,0.596641,0.721429,All
0.553934,0.728571,0.597639,0.728571,All
0.590808,0.735714,0.611253,0.735714,All
0.60517,0.742857,0.611756,0.742857,All
0.632822,0.75,0.639118,0.75,All
0.635869,0.757143,0.665795,0.757143,All
0.702065,0.764286,0.688787,0.764286,All
0.702442,0.771429,0.692644,0.771429,All
0.708304,0.778571,0.693378,0.778571,All
0.745616,0.785714,0.702269,0.785714,All
0.750277,0.792857,0.71948,0.792857,All
0.776726,0.8,0.722202,0.8,All
0.78436,0.807143,0.747669,0.807143,All
0.819172,0.814286,0.781333,0.814286,All
0.824211,0.821429,0.795576,0.821429,All
0.881815,0.828571,0.802345,0.828571,All
1.0418,0.835714,0.810211,0.835714,All
1.1076,0.842857,0.819468,0.842857,All
1.12529,0.85,0.89162,0.85,All
1.13921,0.857143,0.899558,0.857143,All
1.1727,0.864286,0.90316,0.864286,All
1.21149,0.871429,0.90397,0.871429,All
1.23108,0.878571,0.939197,0.878571,All
1.27547,0.885714,0.943135,0.885714,All
1.29243,0.892857,0.957379,0.892857,All
1.29448,0.9,1.06643,0.9,All
1.39616,0.907143,1.1269,0.907143,All
1.40792,0.914286,1.1324,0.914286,All
1.59314,0.921429,1.1341,0.921429,All
1.60172,0.928571,1.13487,0.928571,All
1.63717,0.935714,1.21708,0.935714,All
1.63919,0.942857,1.28064,0.942857,All
1.69352,0.95,1.28562,0.95,All
1.84117,0.957143,1.33904,0.957143,All
1.86012,0.964286,1.38287,0.964286,All
2.18477,0.971429,1.41233,0.971429,All
2.21256,0.978571,1.46103,0.978571,All
2.39176,0.985714,1.50907,0.985714,All
2.80917,0.992857,1.55686,0.992857,All
2.87589,1,1.65596,1,All
4,1,4,1,All
