standEta_V_abscissa,standEta_V_pdf,standEta_Cl_abscissa,standEta_Cl_pdf,split
-2.23842,0.0521995,-2.60964,0.208618,All
-1.7937,0.104399,-2.23872,0,All
-1.34897,0.208798,-1.8678,0.0625855,All
-0.904251,0.295797,-1.49687,0.0834473,All
-0.459529,0.260997,-1.12595,0.0625855,All
-0.0148063,0.434996,-0.755032,0.146033,All
0.429916,0.487195,-0.384111,0.354651,All
0.874639,0.191398,-0.01319,0.542408,All
1.31936,0.191398,0.357731,0.500684,All
1.76408,0.121799,0.728652,0.584131,All
2.20881,0.0521995,1.09957,0.208618,All
2.65353,0.0347997,1.47049,0.166895,All
