standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,standEta_bias_abscissa,standEta_bias_pdf,split
-2.79177,0.0175927,-3.18299,0.0133723,-2.83627,0.0285909,-2.62039,0.077254,-1.41078,0.0574945,All
-2.62335,0.0439818,-2.96141,0.0200585,-2.629,0.0285909,-2.40945,0.112369,-0.946972,0.108601,All
-2.45493,0.09676,-2.73984,0.08692,-2.42173,0.0571818,-2.1985,0.105346,-0.483159,0.124571,All
-2.28651,0.123149,-2.51826,0.0735477,-2.21447,0.121511,-1.98756,0.077254,-0.0193465,0.188454,All
-2.11809,0.105556,-2.29669,0.100292,-2.0072,0.078625,-1.77662,0.0702309,0.444466,0.313025,All
-1.94967,0.0527782,-2.07512,0.0534892,-1.79994,0.0357386,-1.56567,0.077254,0.908279,0.194842,All
-1.78125,0.0263891,-1.85354,0.0200585,-1.59267,0.128659,-1.35473,0.0983233,1.37209,0.0830476,All
-1.61283,0.114353,-1.63197,0.0334308,-1.3854,0.128659,-1.14378,0.105346,1.8359,0.0894358,All
-1.44441,0.19352,-1.41039,0.08692,-1.17814,0.15725,-0.932839,0.168554,2.29972,0.022359,All
-1.27599,0.105556,-1.18882,0.100292,-0.970871,0.200136,-0.721894,0.189623,2.76353,0,All
-1.10757,0.00879636,-0.967242,0.140409,-0.763605,0.15725,-0.51095,0.266877,3.22734,0,All
-0.939154,0.09676,-0.745667,0.17384,-0.556339,0.350239,-0.300006,0.470547,3.69116,0,All
-0.770735,0.343058,-0.524092,0.247388,-0.349073,0.343091,-0.0890613,0.393293,4.15497,0,All
-0.602315,0.38704,-0.302518,0.394483,-0.141807,0.450307,0.121883,0.540778,4.61878,0,All
-0.433895,0.263891,-0.0809431,0.4346,0.0654595,0.357386,0.332827,0.582917,5.08259,0,All
-0.265475,0.237502,0.140632,0.668615,0.272726,0.378829,0.543772,0.393293,5.54641,0,All
-0.0970552,0.211113,0.362206,0.528206,0.479992,0.436011,0.754716,0.393293,6.01022,0,All
0.0713647,0.58056,0.583781,0.661929,0.687258,0.464602,0.965661,0.210693,6.47403,0.0159707,All
0.239785,0.642134,0.805356,0.354366,0.894524,0.3145,1.1766,0.196647,6.93785,0.156513,All
0.408204,0.492596,1.02693,0.160468,1.10179,0.25017,1.38755,0.133439,7.40166,0.249143,All
0.576624,0.518985,1.2485,0.0334308,1.30906,0.22158,1.59849,0.0632078,7.86547,0.214007,All
0.745044,0.255094,1.47008,0.0468031,1.51632,0.142955,1.80944,0.0280924,8.32928,0.108601,All
0.913464,0.263891,1.69165,0.0601754,1.72359,0.0500341,2.02038,0.0842771,8.7931,0.0958241,All
1.08188,0.19352,1.91323,0.0401169,1.93085,0.0857727,2.23133,0.0210693,9.25691,0.0638827,All
1.2503,0.29028,2.1348,0.0534892,2.13812,0.0214432,2.44227,0.0280924,9.72072,0.0734651,All
1.41872,0.316669,2.35638,0.0601754,2.34539,0,2.65322,0.0140462,10.1845,0.0670769,All
1.58714,0.175927,2.57795,0.0334308,2.55265,0.0142955,2.86416,0.0140462,10.6483,0.00958241,All
