standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_bias_abscissa,standEta_bias_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,All
-2.87598,0.00142857,-3.29378,0.00142857,-2.9399,0.00142857,-2.72587,0.00142857,-1.64269,0.00142857,All
-2.75593,0.00285714,-3.11212,0.00285714,-2.86622,0.00285714,-2.67965,0.00285714,-1.42138,0.00285714,All
-2.69307,0.00428571,-2.93423,0.00428571,-2.86266,0.00428571,-2.65239,0.00428571,-1.3638,0.00428571,All
-2.68919,0.00571429,-2.89849,0.00571429,-2.83288,0.00571429,-2.65051,0.00571429,-1.33918,0.00571429,All
-2.67724,0.00714286,-2.87425,0.00714286,-2.66128,0.00714286,-2.64433,0.00714286,-1.33211,0.00714286,All
-2.56783,0.00857143,-2.83775,0.00857143,-2.63308,0.00857143,-2.6427,0.00857143,-1.31638,0.00857143,All
-2.56165,0.01,-2.80493,0.01,-2.60877,0.01,-2.59167,0.01,-1.31244,0.01,All
-2.521,0.0114286,-2.74816,0.0114286,-2.60579,0.0114286,-2.58836,0.0114286,-1.29069,0.0114286,All
-2.51905,0.0128571,-2.74121,0.0128571,-2.49418,0.0128571,-2.5782,0.0128571,-1.27787,0.0128571,All
-2.50326,0.0142857,-2.7143,0.0142857,-2.46124,0.0142857,-2.5782,0.0142857,-1.27598,0.0142857,All
-2.48313,0.0157143,-2.711,0.0157143,-2.42704,0.0157143,-2.56023,0.0157143,-1.27156,0.0157143,All
-2.433,0.0171429,-2.70286,0.0171429,-2.41377,0.0171429,-2.51026,0.0171429,-1.22968,0.0171429,All
-2.4263,0.0185714,-2.69079,0.0185714,-2.41319,0.0185714,-2.50631,0.0185714,-1.21765,0.0185714,All
-2.41902,0.02,-2.68031,0.02,-2.40286,0.02,-2.47901,0.02,-1.21357,0.02,All
-2.40979,0.0214286,-2.68023,0.0214286,-2.38159,0.0214286,-2.46056,0.0214286,-1.20874,0.0214286,All
-2.40358,0.0228571,-2.66545,0.0228571,-2.37352,0.0228571,-2.45962,0.0228571,-1.19622,0.0228571,All
-2.40353,0.0242857,-2.66163,0.0242857,-2.30178,0.0242857,-2.4583,0.0242857,-1.18206,0.0242857,All
-2.38159,0.0257143,-2.6441,0.0257143,-2.27709,0.0257143,-2.45248,0.0257143,-1.18039,0.0257143,All
-2.36888,0.0271429,-2.62512,0.0271429,-2.25682,0.0271429,-2.44393,0.0271429,-1.17771,0.0271429,All
-2.3543,0.0285714,-2.59832,0.0285714,-2.24867,0.0285714,-2.43932,0.0285714,-1.17314,0.0285714,All
-2.32906,0.03,-2.59715,0.03,-2.24711,0.03,-2.42615,0.03,-1.17192,0.03,All
-2.3284,0.0314286,-2.56307,0.0314286,-2.24517,0.0314286,-2.40226,0.0314286,-1.16411,0.0314286,All
-2.29828,0.0328571,-2.53671,0.0328571,-2.24166,0.0328571,-2.39538,0.0328571,-1.15775,0.0328571,All
-2.2852,0.0342857,-2.49667,0.0342857,-2.23494,0.0342857,-2.36512,0.0342857,-1.14621,0.0342857,All
-2.2822,0.0357143,-2.46819,0.0357143,-2.22734,0.0357143,-2.34173,0.0357143,-1.13468,0.0357143,All
-2.27315,0.0371429,-2.44486,0.0371429,-2.17815,0.0371429,-2.31859,0.0371429,-1.11237,0.0371429,All
