Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,split
2.61538,0.203699,13.4682,0.0539567,2.32165,0.129996,All
2.99526,0.0203699,15.3325,0.0290536,4.58362,0.133417,All
3.37514,0.162959,17.1969,0.0373546,6.84558,0.0786821,All
3.75501,0.0203699,19.0613,0.0456557,9.10755,0.0513144,All
4.13489,0.0203699,20.9257,0.0913113,11.3695,0.0239467,All
4.51477,0.183329,22.79,0.116214,13.6315,0.0307886,All
4.89465,0.509247,24.6544,0.116214,15.8934,0.00684192,All
5.27453,0.244439,26.5188,0.0664082,18.1554,0.00684192,All
5.65441,0.325918,28.3831,0.0124515,20.4174,0.0136838,All
6.03429,0.529617,30.2475,0.00830103,22.6793,0,All
6.41417,0.488877,32.1119,0,24.9413,0,All
6.79405,0.142589,33.9762,0.00415051,27.2033,0.00342096,All
