Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,split
1.63317,0,8.24008,0,0.983105,0,All
2.42544,0.00714286,12.536,0.00714286,1.19067,0.00714286,All
2.48273,0.0142857,12.6049,0.0142857,1.32882,0.0142857,All
2.51385,0.0214286,12.9381,0.0214286,1.48658,0.0214286,All
2.52391,0.0285714,13.046,0.0285714,1.49661,0.0285714,All
2.53425,0.0357143,13.176,0.0357143,1.53764,0.0357143,All
2.54748,0.0428571,13.3184,0.0428571,1.57055,0.0428571,All
2.58176,0.05,13.3881,0.05,1.58452,0.05,All
2.61863,0.0571429,13.6667,0.0571429,1.68893,0.0571429,All
2.6839,0.0642857,13.7735,0.0642857,1.70017,0.0642857,All
2.70938,0.0714286,14.0751,0.0714286,1.71778,0.0714286,All
3.18447,0.0785714,14.1838,0.0785714,1.74112,0.0785714,All
3.25847,0.0857143,14.3648,0.0857143,1.92917,0.0857143,All
3.27447,0.0928571,14.3738,0.0928571,1.94073,0.0928571,All
3.30755,0.1,14.6263,0.1,1.9942,0.1,All
3.41811,0.107143,14.6295,0.107143,2.02383,0.107143,All
3.43162,0.114286,14.8136,0.114286,2.07997,0.114286,All
3.46504,0.121429,14.9036,0.121429,2.08545,0.121429,All
3.49437,0.128571,15.0793,0.128571,2.09538,0.128571,All
3.54413,0.135714,15.3902,0.135714,2.09805,0.135714,All
3.63447,0.142857,16.1928,0.142857,2.12739,0.142857,All
4.2893,0.15,16.9971,0.15,2.26521,0.15,All
4.34045,0.157143,17.0401,0.157143,2.28754,0.157143,All
4.35169,0.164286,17.1611,0.164286,2.29265,0.164286,All
4.45523,0.171429,17.3127,0.171429,2.29717,0.171429,All
4.51022,0.178571,17.4401,0.178571,2.31695,0.178571,All
4.53694,0.185714,17.6707,0.185714,2.31825,0.185714,All
4.56349,0.192857,17.6949,0.192857,2.33072,0.192857,All
4.57267,0.2,17.9548,0.2,2.34228,0.2,All
4.62192,0.207143,18.0411,0.207143,2.48798,0.207143,All
4.64565,0.214286,18.2858,0.214286,2.6178,0.214286,All
4.71149,0.221429,18.3067,0.221429,2.78349,0.221429,All
4.74884,0.228571,18.4176,0.228571,2.78802,0.228571,All
4.7805,0.235714,18.5615,0.235714,2.88486,0.235714,All
4.82245,0.242857,19.1058,0.242857,2.92348,0.242857,All
4.85808,0.25,19.1305,0.25,3.10479,0.25,All
4.86617,0.257143,19.153,0.257143,3.16476,0.257143,All
4.87445,0.264286,19.3219,0.264286,3.28009,0.264286,All
4.87944,0.271429,19.3513,0.271429,3.43676,0.271429,All
4.89034,0.278571,19.5825,0.278571,3.51188,0.278571,All
4.89909,0.285714,19.7666,0.285714,3.59029,0.285714,All
4.94977,0.292857,20.0149,0.292857,3.61566,0.292857,All
4.96076,0.3,20.0177,0.3,3.62459,0.3,All
4.97969,0.307143,20.1049,0.307143,3.62612,0.307143,All
4.97971,0.314286,20.6947,0.314286,3.74419,0.314286,All
4.98152,0.321429,20.7999,0.321429,3.77674,0.321429,All
4.98355,0.328571,20.8003,0.328571,3.79715,0.328571,All
4.98827,0.335714,20.8166,0.335714,3.82916,0.335714,All
4.99155,0.342857,20.8255,0.342857,3.95631,0.342857,All
5.01025,0.35,20.8649,0.35,4.07632,0.35,All
5.01424,0.357143,20.9745,0.357143,4.1818,0.357143,All
5.02085,0.364286,21.0611,0.364286,4.23221,0.364286,All
5.06108,0.371429,21.1054,0.371429,4.24748,0.371429,All
5.07085,0.378571,21.221,0.378571,4.25018,0.378571,All
5.08071,0.385714,21.2811,0.385714,4.32418,0.385714,All
5.08203,0.392857,21.2811,0.392857,4.41422,0.392857,All
5.10844,0.4,21.3442,0.4,4.43943,0.4,All
5.12304,0.407143,21.4955,0.407143,4.51309,0.407143,All
5.13322,0.414286,21.6013,0.414286,4.55308,0.414286,All
5.13783,0.421429,21.7709,0.421429,4.56507,0.421429,All
5.17917,0.428571,21.8221,0.428571,4.57461,0.428571,All
5.17994,0.435714,21.8242,0.435714,4.59629,0.435714,All
5.1891,0.442857,21.8268,0.442857,4.60564,0.442857,All
