Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,split
1.63317,2.57793e-05,2.03158e-06,8.24008,5.27142e-05,2.34598e-05,0.983105,0.0364138,0.00917698,All
1.77682,0.000117003,1.08839e-05,8.70642,0.0001275,6.32876e-05,1.25938,0.062096,0.0227601,All
1.92046,0.000416383,4.53669e-05,9.17275,0.000279561,0.000154292,1.53565,0.0867823,0.0433892,All
2.06411,0.00121529,0.000154086,9.63908,0.000562528,0.000344269,1.81193,0.107718,0.0703609,All
2.20776,0.00301179,0.00044193,10.1054,0.0010495,0.000710557,2.0882,0.123863,0.102464,All
2.3514,0.0065125,0.00110073,10.5717,0.00183133,0.00136887,2.36448,0.135206,0.138358,All
2.49505,0.0125565,0.00243472,11.0381,0.00301106,0.0024804,2.64075,0.142242,0.176775,All
2.6387,0.021968,0.00486969,11.5044,0.00469465,0.00425554,2.91703,0.145664,0.21662,All
2.78234,0.035376,0.00893791,11.9707,0.00697913,0.00695244,3.1933,0.14619,0.256995,All
2.92599,0.0530567,0.0152383,12.4371,0.00993994,0.01087,3.46957,0.144477,0.297192,All
3.06964,0.0748404,0.0243779,12.9034,0.0136194,0.016335,3.74585,0.141094,0.336672,All
3.21328,0.100106,0.0369068,13.3697,0.0180178,0.0236843,4.02212,0.136509,0.375042,All
3.35693,0.127858,0.0532572,13.8361,0.0230895,0.0332444,4.2984,0.131101,0.412025,All
3.50057,0.156852,0.0736991,14.3024,0.0287427,0.0453096,4.57467,0.125169,0.447434,All
3.64422,0.185752,0.0983151,14.7687,0.0348443,0.0601215,4.85095,0.118943,0.48116,All
3.78787,0.21327,0.126998,15.235,0.0412292,0.0778517,5.12722,0.112598,0.513145,All
3.93151,0.238284,0.159466,15.7014,0.0477107,0.0985894,5.40349,0.106267,0.543377,All
4.07516,0.259906,0.195292,16.1677,0.0540937,0.122334,5.67977,0.100044,0.571873,All
4.21881,0.277525,0.233943,16.634,0.0601863,0.148995,5.95604,0.0940001,0.598673,All
4.36245,0.290797,0.274815,17.1004,0.0658118,0.178395,6.23232,0.0881811,0.623833,All
4.5061,0.299628,0.317274,17.5667,0.0708167,0.210279,6.50859,0.082618,0.647421,All
4.64975,0.304131,0.360689,18.033,0.0750782,0.244327,6.78487,0.0773291,0.669509,All
4.79339,0.304577,0.404454,18.4994,0.078507,0.280172,7.06114,0.0723232,0.690175,All
4.93704,0.301353,0.448016,18.9657,0.0810492,0.31741,7.33741,0.0676021,0.709497,All
5.08069,0.294916,0.490877,19.432,0.0826849,0.355622,7.61369,0.0631624,0.727554,All
5.22433,0.285757,0.532613,19.8984,0.0834257,0.394388,7.88996,0.0589971,0.744423,All
5.36798,0.274377,0.572867,20.3647,0.0833098,0.433297,8.16624,0.0550966,0.760177,All
5.51163,0.261259,0.611356,20.831,0.0823981,0.471964,8.44251,0.0514496,0.774889,All
5.65527,0.246859,0.647864,21.2974,0.0807679,0.510035,8.71879,0.0480438,0.788628,All
5.79892,0.23159,0.682235,21.7637,0.0785084,0.547195,8.99506,0.0448664,0.801457,All
5.94257,0.215823,0.714374,22.23,0.0757154,0.583174,9.27133,0.0419041,0.813438,All
6.08621,0.199878,0.744231,22.6963,0.0724869,0.617744,9.54761,0.0391442,0.82463,All
6.22986,0.184029,0.771802,23.1627,0.0689197,0.650727,9.82388,0.0365738,0.835085,All
6.37351,0.168503,0.797117,23.629,0.0651061,0.681985,10.1002,0.0341806,0.844855,All
6.51715,0.153482,0.820236,24.0953,0.0611317,0.711424,10.3764,0.031953,0.853987,All
6.6608,0.139109,0.841243,24.5617,0.0570739,0.738987,10.6527,0.0298796,0.862525,All
6.80445,0.125489,0.860237,25.028,0.0530011,0.764652,10.929,0.0279499,0.87051,All
6.94809,0.112697,0.877334,25.4943,0.0489718,0.788426,11.2053,0.0261537,0.877981,All
7.09174,0.100778,0.892656,25.9607,0.0450351,0.810341,11.4815,0.0244818,0.884973,All
7.23539,0.089753,0.90633,26.427,0.0412306,0.830449,11.7578,0.0229253,0.891519,All
7.37903,0.0796246,0.918484,26.8933,0.0375894,0.84882,12.0341,0.0214759,0.89765,All
7.52268,0.0703779,0.929248,27.3597,0.0341344,0.865536,12.3104,0.020126,0.903394,All
7.66632,0.0619854,0.938744,27.826,0.0308815,0.880688,12.5866,0.0188684,0.908779,All
7.80997,0.0544095,0.947095,28.2923,0.0278406,0.894371,12.8629,0.0176965,0.913828,All
7.95362,0.0476058,0.954413,28.7586,0.0250159,0.906687,13.1392,0.0166041,0.918564,All
8.09726,0.0415249,0.960806,29.225,0.0224076,0.917736,13.4154,0.0155856,0.923009,All
8.24091,0.0361145,0.966375,29.6913,0.0200119,0.927619,13.6917,0.0146355,0.927182,All
8.38456,0.0313211,0.971211,30.1576,0.0178226,0.936433,13.968,0.013749,0.931102,All
8.5282,0.0270914,0.9754,30.624,0.015831,0.944272,14.2443,0.0129215,0.934785,All
8.67185,0.0233733,0.979019,31.0903,0.0140269,0.951227,14.5205,0.0121488,0.938247,All
8.8155,0.0201166,0.982137,31.5566,0.0123993,0.957382,14.7968,0.0114269,0.941502,All
8.95914,0.0172737,0.984818,32.023,0.0109361,0.962817,15.0731,0.0107524,0.944565,All
9.10279,0.0147999,0.987118,32.4893,0.00962538,0.967605,15.3494,0.0101218,0.947448,All
9.24644,0.0126538,0.989086,32.9556,0.00845494,0.971816,15.6256,0.00953209,0.950162,All
9.39008,0.0107974,0.990767,33.422,0.00741288,0.975511,15.9019,0.00898032,0.952718,All
9.53373,0.00919595,0.9922,33.8883,0.00648774,0.978748,16.1782,0.00846387,0.955127,All
9.67738,0.00781791,0.993419,34.3546,0.00566855,0.981578,16.4545,0.00798029,0.957398,All
9.82102,0.00663501,0.994455,34.8209,0.00494495,0.984049,16.7307,0.0075273,0.959539,All
9.96467,0.00562196,0.995334,35.2873,0.00430726,0.986203,17.007,0.00710279,0.96156,All
10.1083,0.00475626,0.996077,35.7536,0.0037465,0.988078,17.2833,0.00670481,0.963466,All
10.252,0.004018,0.996706,36.2199,0.00325439,0.989708,17.5596,0.00633156,0.965267,All
10.3956,0.00338964,0.997237,36.6863,0.00282335,0.991123,17.8358,0.00598135,0.966967,All
10.5393,0.0028558,0.997685,37.1526,0.00244649,0.99235,18.1121,0.00565264,0.968573,All
10.6829,0.00240306,0.998061,37.6189,0.00211754,0.993412,18.3884,0.00534397,0.970092,All
10.8265,0.00201972,0.998378,38.0853,0.00183088,0.994331,18.6647,0.00505402,0.971528,All
10.9702,0.00169566,0.998644,38.5516,0.00158144,0.995126,18.9409,0.00478154,0.972886,All
