pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.97132,0.0217546,-3.9424,0.00446552,-2.04974,0.0223663,All
-1.44461,0.130528,-3.70161,0.00446552,-1.53744,0.0894651,All
-0.917906,0.500356,-3.46082,0.00446552,-1.02513,0.447326,All
-0.391197,0.369828,-3.22002,0.00446552,-0.512829,0.424959,All
0.135511,0.522111,-2.97923,0.0178621,-0.000525018,0.492058,All
0.662219,0.261055,-2.73844,0.0223276,0.511779,0.380227,All
1.18893,0.0870184,-2.49764,0.0357242,1.02408,0.0447326,All
1.71564,0.0652638,-2.25685,0.0267931,1.53639,0.0894651,All
2.24234,0.0870184,-2.01606,0.0223276,2.04869,0.0670988,All
2.76905,0.0435092,-1.77526,0.0580518,2.56099,0.0894651,All
,,-1.53447,0.133966,,,All
,,-1.29368,0.174155,,,All
,,-1.05288,0.236673,,,All
,,-0.812088,0.348311,,,All
,,-0.571295,0.379569,,,All
,,-0.330501,0.366173,,,All
,,-0.0897077,0.392966,,,All
,,0.151086,0.46888,,,All
,,0.391879,0.401897,,,All
,,0.632673,0.392966,,,All
,,0.873467,0.227742,,,All
,,1.11426,0.138431,,,All
,,1.35505,0.165224,,,All
,,1.59585,0.102707,,,All
,,1.83664,0.0580518,,,All
,,2.07743,0.0401897,,,All
,,2.31823,0.0223276,,,All
,,2.55902,0.00446552,,,All
,,2.79982,0.0178621,,,All
,,3.04061,0.00893104,,,All
,,3.2814,0.00446552,,,All
