iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,b
1,863.325,1,4.88,13.55,16.59,18.3,1.5,1.5,1.5,1.5,0.3
2,835.473,1,4.69098,15.3986,21.7503,30.2599,1.34164,1.50381,1.59634,1.34164,0.24
3,767.596,1,5.21366,18.3167,20.4846,45.6887,1.2,1.34505,1.44995,1.2,0.192
4,733.192,1,4.82237,18.486,19.8659,53.6787,1.07331,1.20305,1.31574,1.07331,0.1536
5,695.911,1,4.97655,16.4659,14.9413,56.6564,0.96,1.07604,1.19277,0.96,0.12288
6,654.505,1,5.08003,13.2864,11.682,48.8506,0.85865,1.06504,1.25798,0.85865,0.098304
7,607.666,1,5.00313,14.5849,11.5631,44.3064,0.768,0.952603,1.22281,0.7931,0.0786432
8,565.207,1,5.13296,15.5952,10.8131,35.2752,0.68692,0.852034,1.10517,0.73474,0.0629146
9,538.471,1,5.11962,16.4539,9.96623,33.7063,0.6144,0.770304,1.19587,0.657172,0.0548462
10,507.973,1,5.04383,15.7715,8.8776,35.9235,0.549536,0.68898,1.13541,0.61512,0.0492653
11,492.476,1,5.16743,16.5578,8.8674,34.1901,0.49152,0.616243,1.07553,0.57879,0.0483147
12,473.111,1,5.18929,16.9665,9.07711,31.0149,0.439629,0.551184,1.01728,0.517685,0.0452193
13,464.64,1,5.13394,15.9337,9.93942,30.5497,0.393216,0.536488,1.03964,0.485481,0.0434632
14,447.131,1,5.20852,15.7247,10.6333,28.4491,0.351703,0.534234,0.990985,0.442496,0.0411326
15,423.782,1,5.20118,16.3911,10.8157,27.519,0.314573,0.477834,0.954417,0.437532,0.0376295
16,414.189,1,5.17653,16.6403,10.1052,26.7782,0.281963,0.445849,0.905652,0.437539,0.0365073
17,410.512,1,5.19002,16.2778,10.3578,26.502,0.282326,0.440863,0.952838,0.394764,0.0361904
18,396.9,1,5.22482,16.2177,10.2581,23.041,0.262552,0.444628,0.852245,0.367805,0.0349729
19,388.049,1,5.20878,16.3354,10.3419,22.75,0.260422,0.4242,0.879283,0.328975,0.0343183
20,380.581,1,5.19393,16.5776,9.66366,22.6873,0.270261,0.403309,0.862785,0.338974,0.0327627
21,372.845,1,5.21091,16.2004,10.8251,24.1219,0.263922,0.363358,0.877664,0.331289,0.0320585
22,371.905,1,5.21109,16.3229,9.9411,24.3166,0.254678,0.38442,0.841983,0.342815,0.0317987
23,360.985,1,5.2049,16.7999,8.79022,23.8222,0.252942,0.426924,0.824636,0.306623,0.0303522
24,364.777,1,5.19983,16.9051,8.87205,24.1673,0.252156,0.473529,0.870808,0.303355,0.0301781
25,356.328,1,5.19993,16.6636,8.97376,25.2402,0.257005,0.430642,0.826394,0.311724,0.0293209
26,351.566,1,5.20072,17.0858,8.62822,25.4203,0.255248,0.415028,0.841432,0.325972,0.0285522
27,356.268,1,5.20606,17.0539,9.24578,24.7922,0.264803,0.37602,0.843142,0.327664,0.0294964
28,355.195,1,5.20652,17.5785,9.12391,24.4052,0.269254,0.378339,0.766516,0.352845,0.0293086
29,346.138,1,5.19536,17.7418,8.88276,25.0445,0.25508,0.370947,0.747898,0.348429,0.0283666
30,338.904,1,5.22501,18.0739,8.60346,24.9294,0.250808,0.331785,0.707212,0.312369,0.0286874
31,329.516,1,5.19151,18.4244,8.04735,24.9392,0.263695,0.331918,0.691397,0.293828,0.0273235
32,321.628,1,5.19294,18.2555,7.89114,24.152,0.258388,0.341964,0.682971,0.274782,0.0265178
