standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,split
-4,0,-4,0,-4,0,All
-2.70133,0.0714286,-2.16155,0.0714286,-1.61087,0.0714286,All
-1.56387,0.142857,-0.913024,0.142857,-1.20758,0.142857,All
-0.465283,0.214286,-0.731092,0.214286,-1.15895,0.214286,All
-0.117563,0.285714,-0.550722,0.285714,-1.03105,0.285714,All
-0.116961,0.357143,-0.346237,0.357143,-0.0708215,0.357143,All
-0.109916,0.428571,0.0597016,0.428571,-0.0121073,0.428571,All
0.124814,0.5,0.163332,0.5,-0.0107904,0.5,All
0.434501,0.571429,0.320119,0.571429,0.174966,0.571429,All
0.497548,0.642857,0.403555,0.642857,0.356538,0.642857,All
0.625888,0.714286,0.427976,0.714286,0.419765,0.714286,All
0.68024,0.785714,0.474414,0.785714,0.772189,0.785714,All
0.807691,0.857143,0.516323,0.857143,0.91697,0.857143,All
0.93862,0.928571,0.576144,0.928571,1.04071,0.928571,All
0.947762,1,1.58495,1,1.51021,1,All
4,1,4,1,4,1,All
