rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q_simulated,filter
1,1,-2.62139,-1.23202,1.79967,0
2,1,-2.78328,-0.0817806,-0.277804,0
3,1,-2.62221,-0.146488,1.36364,0
4,1,-2.74329,-0.838728,0.370588,0
5,1,-2.71261,-0.800703,1.38479,0
6,1,-2.65496,-0.588209,0.517356,0
7,1,-2.62949,-1.81152,1.42671,0
8,1,-2.68757,-1.70829,0.00940764,0
9,1,-2.71557,-1.75279,-0.543076,0
10,1,-2.92123,-0.462277,0.621619,0
1,2,1.01003,0.93104,-0.175911,0
2,2,0.871236,0.745706,-0.473799,0
3,2,0.9672,0.0425296,0.0276247,0
4,2,0.991196,0.518955,0.202755,0
5,2,1.12913,-1.18845,1.7136,0
6,2,0.823729,0.733581,-0.615601,0
7,2,1.09931,0.453532,0.77477,0
8,2,0.932505,0.350665,-0.0585049,0
9,2,0.96461,0.657999,0.115372,0
10,2,1.08008,1.05722,0.0975577,0
1,3,0.760442,0.46647,0.396103,0
2,3,0.791035,0.550305,0.154004,0
3,3,0.686965,0.0777131,0.719809,0
4,3,0.567869,-0.21237,0.220536,0
5,3,0.698159,0.311076,0.553159,0
6,3,0.790768,0.777922,0.593329,0
7,3,0.780736,0.763997,0.21982,0
8,3,0.685575,0.528999,0.241116,0
9,3,0.653486,0.511891,0.255444,0
10,3,0.638204,-0.042801,0.180533,0
1,4,-0.227104,-0.284452,-1.22465,0
2,4,-0.157,-0.667014,-0.84418,0
3,4,-0.0589407,-0.125222,-1.25706,0
4,4,-0.099327,-0.216553,-1.47489,0
5,4,-0.239531,-0.471912,-1.36358,0
6,4,-0.130527,-0.481716,-0.740803,0
7,4,-0.149995,-0.318896,-0.811374,0
8,4,-0.0643201,-0.197427,-0.941954,0
9,4,-0.143021,-0.0639979,-1.03267,0
10,4,-0.11398,-0.364523,-1.12943,0
1,5,-0.294068,0.0436363,1.44851,0
2,5,-0.640628,-0.225492,0.229223,0
3,5,-0.468751,0.405986,0.608091,0
4,5,-0.421683,0.767038,0.18832,0
5,5,-0.537711,-0.0480746,0.347175,0
6,5,-0.442526,0.868632,0.720676,0
7,5,-0.620568,-0.29636,1.34622,0
8,5,-0.31829,0.828425,0.643257,0
9,5,-0.35543,0.406591,0.488456,0
10,5,-0.37937,-0.703668,2.56443,0
1,6,0.428439,0.267235,2.20776,0
2,6,0.600036,2.65691,1.13873,0
3,6,0.511168,1.69881,1.65988,0
4,6,0.508672,1.85138,0.897548,0
5,6,0.403402,0.999079,2.40063,0
6,6,0.420302,1.0651,1.38355,0
7,6,0.445221,1.32212,1.20258,0
8,6,0.443435,3.115,0.373937,0
9,6,0.552271,1.12083,2.02164,0
10,6,0.459426,2.69464,0.378095,0
1,7,0.645897,-1.74058,-1.02394,0
2,7,0.352145,-2.51102,-1.30236,0
3,7,0.446809,-2.05944,-1.26407,0
4,7,0.372219,-1.70135,-1.43418,0
5,7,0.431823,-1.74093,-1.40547,0
6,7,0.810329,-1.72498,-0.625952,0
7,7,0.611197,-2.37894,-0.877575,0
8,7,0.61724,-1.74467,-1.01843,0
9,7,0.599743,-2.12295,-0.915992,0
10,7,0.559633,-1.89933,-1.21033,0
1,8,0.724155,0.141709,-0.345188,0
2,8,1.00629,0.618576,0.0643778,0
3,8,0.934856,0.118215,-0.00549077,0
4,8,0.901684,-0.275776,-0.108524,0
5,8,1.1208,0.328679,0.169288,0
6,8,0.886794,-0.288412,0.198739,0
7,8,0.886485,-0.0148857,-0.254667,0
8,8,0.989595,0.681359,-0.386076,0
9,8,0.91791,-0.464883,0.00687374,0
10,8,1.08302,0.21491,0.242296,0
1,9,-0.0906658,-0.0201205,0.752951,0
2,9,-0.229052,-0.291369,0.433673,0
3,9,-0.158614,0.319308,0.796598,0
4,9,0.0237388,-0.754883,1.01207,0
5,9,-0.0451228,-0.32047,1.31544,0
6,9,-0.0858075,-1.13373,1.38023,0
7,9,-0.132752,-0.714466,0.817818,0
8,9,-0.228139,-0.0927794,0.0969413,0
9,9,-0.016066,1.03427,0.476622,0
10,9,-0.418383,-0.110625,0.0475441,0
1,10,-1.51382,-0.9338,-0.584228,0
2,10,-1.46075,-0.90138,-1.09557,0
3,10,-1.45328,-0.49181,-0.763408,0
4,10,-1.3887,0.330324,-0.215934,0
5,10,-1.20235,-0.308814,-1.06992,0
6,10,-1.58116,-0.929838,-1.54468,0
7,10,-1.71927,-1.20366,-1.21914,0
8,10,-1.56953,-0.728206,-1.03464,0
9,10,-1.67536,-1.63985,-1.20732,0
10,10,-1.44313,0.331679,-1.19468,0
1,11,0.709149,0.649288,-0.200509,0
2,11,0.79151,0.729305,-0.103978,0
