parameter,value,se_sa,rse_sa
Cl_pop,5.5878066578332,1.28179514744632,22.9391463580697
beta_Cl_logtWTKG,0.76645081394005,0.351498805550328,45.8605822001021
beta_Cl_tCLCRMLMIN,0.616759940361234,0.223542154391924,36.2445969271279
V1_pop,41.6905076396326,3.5581897095104,8.53477184846713
Q_pop,11.5201732962454,2.68902458300876,23.3418761494252
V2_pop,53.3539464061821,11.3760051780432,21.3217689492694
omega_Cl,0.18948403394588,0.037816216154241,19.9574683770147
omega_V1,0.25271279682708,0.0615133085350473,24.3411925740895
omega_Q,0.672196502924407,0.184122293693462,27.3911412648583
omega_V2,0.43940510610759,0.209744259367116,47.7336873085311
a1,0.305266109689825,0.0230299975267859,7.54423658433169
a2,0.0610071609626019,0.00654224276895609,10.723729256909
