iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2
1,11.228,0.0916843,53.6924,5.40986e-08,15.9708,5.05856e-08,71.5828,0.930527
2,11.172,0.0881573,53.6924,5.82674e-08,15.9708,4.74955e-08,71.9486,0.821033
3,11.1317,0.083427,53.6924,5.76532e-08,15.9708,3.8608e-08,71.6016,0.777521
4,11.1368,0.0812943,53.6924,5.70487e-08,15.9708,3.97621e-08,70.4652,0.767283
5,11.1556,0.0812262,53.6924,4.98663e-08,15.9708,3.51291e-08,70.0959,0.743969
6,11.1475,0.0819007,53.6924,5.48009e-08,15.9708,3.17224e-08,70.3281,0.738506
7,11.1395,0.0823168,53.6924,5.18829e-08,15.9708,3.75009e-08,71.0458,0.731052
8,11.1102,0.084192,53.6924,5.48283e-08,15.9708,3.48587e-08,73.031,0.751895
9,11.1012,0.086231,53.6924,5.01486e-08,15.9708,3.04282e-08,74.2888,0.772269
10,11.0958,0.0857481,53.6924,4.18127e-08,15.9708,2.98926e-08,73.1972,0.774723
11,11.0938,0.084378,53.6924,4.70061e-08,15.9708,3.0857e-08,72.1484,0.764943
12,11.0981,0.0831484,53.6924,4.20323e-08,15.9708,2.6912e-08,71.5662,0.75807
13,11.111,0.0822886,53.6924,4.05347e-08,15.9708,2.51592e-08,71.035,0.754698
14,11.1191,0.0816692,53.6924,4.47387e-08,15.9708,2.72984e-08,70.9497,0.756921
15,11.1236,0.0807886,53.6924,5.52547e-08,15.9708,2.57379e-08,69.7584,0.750744
16,11.1326,0.0802515,53.6924,5.83487e-08,15.9708,2.84697e-08,69.4208,0.74762
17,11.1298,0.0806216,53.6924,6.35144e-08,15.9708,3.13071e-08,69.0616,0.744658
18,11.1383,0.0807513,53.6924,5.24038e-08,15.9708,4.01481e-08,68.9657,0.749842
19,11.1345,0.0803738,53.6924,5.87078e-08,15.9708,3.77298e-08,69.1175,0.751452
20,11.1365,0.0798626,53.6924,5.93378e-08,15.9708,3.72765e-08,69.5534,0.754286
21,11.1379,0.0799709,53.6924,5.61892e-08,15.9708,4.39807e-08,69.5433,0.756049
22,11.1332,0.080334,53.6924,5.48007e-08,15.9708,4.3352e-08,70.3582,0.7569
23,11.1217,0.0798315,53.6924,5.49022e-08,15.9708,3.86196e-08,70.9082,0.762973
24,11.1227,0.0797185,53.6924,5.3878e-08,15.9708,3.2532e-08,71.7031,0.761625
25,11.1227,0.0794329,53.6924,6.12468e-08,15.9708,3.01357e-08,71.225,0.759016
26,11.1231,0.079418,53.6924,5.15291e-08,15.9708,3.38808e-08,71.3081,0.758959
27,11.1264,0.0788626,53.6924,5.12184e-08,15.9708,4.26512e-08,71.1027,0.755993
28,11.1281,0.0781196,53.6924,4.78714e-08,15.9708,4.17266e-08,70.846,0.751504
29,11.1363,0.0776882,53.6924,5.11553e-08,15.9708,4.27066e-08,70.582,0.749068
30,11.1419,0.0772954,53.6924,5.40895e-08,15.9708,4.5038e-08,70.056,0.75152
31,11.1461,0.0774925,53.6924,4.93085e-08,15.9708,4.37552e-08,69.9742,0.755688
32,11.1432,0.0777986,53.6924,5.20916e-08,15.9708,4.24141e-08,70.2909,0.759722
33,11.1474,0.0775825,53.6924,4.97088e-08,15.9708,4.51833e-08,70.2184,0.760348
34,11.1457,0.0773235,53.6924,4.84221e-08,15.9708,4.4585e-08,70.4423,0.760046
35,11.1427,0.0766995,53.6924,4.21436e-08,15.9708,4.40256e-08,70.1451,0.754199
36,11.1458,0.0763566,53.6924,4.79372e-08,15.9708,3.91044e-08,70.5133,0.752961
37,11.1415,0.0761528,53.6924,4.00307e-08,15.9708,4.09319e-08,70.683,0.753961
38,11.1476,0.0758983,53.6924,3.47344e-08,15.9708,3.96544e-08,70.2141,0.751589
39,11.1463,0.0756086,53.6924,4.30525e-08,15.9708,4.09672e-08,70.1687,0.748471
