parameter,value,se_lin,rse_lin
Cl_pop,5.166774457817,0.35273184369522,6.82692551368406
V1_pop,19.7414191515694,1.54142881749125,7.8080952825963
Q_pop,6.78704484935776,1.41289165662976,20.817479300486
V2_pop,24.7715765644507,3.56122022524029,14.3762356666105
omega_Cl,0.254019354983385,0.0485209300131458,19.1012728208524
omega_V1,0.262642252045509,0.0597914763948459,22.7653684543055
omega_Q,0.707639890112894,0.157023919163904,22.1898060521791
omega_V2,0.386385084507865,0.129979602899959,33.6399121269169
corr_V2_V1,0.9981251933624,0.179215516603497,17.9552142151398
a1,0.303442838068363,0.0222591398021586,7.33552979660169
a2,0.0628014495122795,0.00623966817722862,9.93554802585979
