simulations,OFV
500,966.904
1000,964.921
1500,964.468
2000,965.756
2500,966.71
3000,965.503
3500,964.603
4000,964.514
4500,965.062
5000,964.704
5500,964.856
6000,965.15
6500,965.207
7000,965.032
7500,965.17
8000,965.254
8500,965.612
9000,965.37
9500,965.146
10000,965.01
10500,964.952
11000,965.085
11500,965.204
12000,965.152
12500,965.263
13000,965.342
13500,965.437
14000,965.444
14500,965.312
15000,965.311
15500,964.984
16000,965.033
16500,964.968
17000,964.949
17500,965.042
18000,965.109
18500,965.241
19000,965.271
19500,965.267
20000,965.217
20500,965.007
21000,964.886
21500,964.903
22000,965.023
22500,964.92
23000,964.753
23500,964.7
24000,964.684
24500,964.535
25000,964.608
25500,964.539
26000,964.454
26500,964.487
27000,964.498
27500,964.519
28000,964.562
28500,964.55
29000,964.614
29500,964.694
30000,964.747
