pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.9631,0.021672,-4.66439,0.00351996,-1.97922,0.0234195,All
-1.43438,0.130032,-4.35891,0,-1.48996,0.117098,All
-0.905668,0.5418,-4.05343,0.00351996,-1.0007,0.49181,All
-0.376952,0.368424,-3.74796,0.00351996,-0.511432,0.398132,All
0.151763,0.5418,-3.44248,0.00703992,-0.022168,0.49181,All
0.680479,0.195048,-3.137,0.0105599,0.467096,0.374712,All
1.20919,0.0866881,-2.83152,0,0.95636,0.0702586,All
1.73791,0.0866881,-2.52605,0.0175998,1.44562,0.0702586,All
2.26663,0.0866881,-2.22057,0.0246397,1.93489,0.117098,All
2.79534,0.021672,-1.91509,0.0351996,2.42415,0.0936781,All
,,-1.60961,0.130239,,,All
,,-1.30414,0.165438,,,All
,,-0.998659,0.221758,,,All
,,-0.693182,0.344956,,,All
,,-0.387704,0.401276,,,All
,,-0.0822267,0.436475,,,All
,,0.223251,0.517434,,,All
,,0.528728,0.348476,,,All
,,0.834206,0.271037,,,All
,,1.13968,0.186558,,,All
,,1.44516,0.102079,,,All
,,1.75064,0.0703992,,,All
,,2.05612,0.0246397,,,All
,,2.36159,0.0140798,,,All
,,2.66707,0.0105599,,,All
,,2.97255,0.00703992,,,All
,,3.27803,0.00351996,,,All
,,3.5835,0.00703992,,,All
,,3.88898,0.00351996,,,All
,,4.19446,0,,,All
,,4.49994,0.00703992,,,All
