rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q2_simulated,standEta_V2_simulated,standEta_Q3_simulated,standEta_V3_simulated,filter
1,1,-2.98803,-0.519975,0.453151,0.206921,-0.190834,-0.214645,0
2,1,-2.76742,-1.06429,-0.071941,0.168147,-0.719824,0.744501,0
3,1,-2.64354,-1.02747,0.475299,0.0241184,1.01134,-0.0349334,0
4,1,-2.81925,-1.32425,0.691295,0.646035,-1.34393,-0.0712248,0
5,1,-2.9286,-1.17551,0.747174,1.13511,-1.26816,-0.084474,0
6,1,-2.79332,-0.211379,-0.07959,0.463588,-0.0891704,-3.69661,0
7,1,-3.05757,-0.611597,-0.119807,1.42076,-0.318605,-1.55726,0
8,1,-2.58384,-1.51192,1.00513,0.402268,1.06968,-0.820489,0
9,1,-2.63368,-0.637882,0.209374,0.495622,0.182056,-0.987272,0
10,1,-2.79608,-1.49307,0.455677,0.812972,0.145539,-0.361702,0
1,2,0.998095,0.958046,-0.259264,0.0682164,-0.0586434,0.554577,0
2,2,0.863847,0.330578,0.0768028,-0.52244,-1.08376,0.363643,0
3,2,0.750743,0.749519,-0.990202,0.564166,-0.413763,0.234186,0
4,2,0.958145,0.878457,-0.566437,-0.18009,-0.293673,1.55455,0
5,2,0.905376,-0.506775,0.767032,-0.240678,-1.06214,-1.25908,0
6,2,1.27628,0.734236,0.669586,0.0613139,0.292134,-1.10288,0
7,2,0.85158,-0.265958,0.754618,-0.808304,-0.302945,0.126325,0
8,2,0.926599,1.03447,-0.683036,-0.0255528,0.0986577,0.028306,0
9,2,0.897025,0.509295,-0.375175,0.0396285,1.71989,0.296326,0
10,2,0.744198,0.165618,-0.147274,-0.5793,-0.658515,0.430687,0
1,3,0.827904,1.12971,-0.115027,0.694139,-0.364759,-0.437623,0
2,3,0.762045,0.225447,0.344777,0.00485776,0.589914,0.462111,0
3,3,0.599994,0.564963,-0.252664,0.537632,-1.30437,-0.246732,0
