standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q2_abscissa,standEta_Q2_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_Q3_abscissa,standEta_Q3_cdf,standEta_V3_abscissa,standEta_V3_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,All
-3.05757,0.00714286,-3.43193,0.00714286,-2.24998,0.00714286,-2.21618,0.00714286,-2.82884,0.00714286,-3.69661,0.00714286,All
-2.98803,0.0142857,-2.35843,0.0142857,-2.16563,0.0142857,-2.12317,0.0142857,-2.16657,0.0142857,-2.7419,0.0142857,All
-2.9286,0.0214286,-2.13515,0.0214286,-1.87573,0.0214286,-2.03481,0.0214286,-1.97531,0.0214286,-2.55863,0.0214286,All
-2.81925,0.0285714,-2.11516,0.0285714,-1.84302,0.0285714,-2.03445,0.0285714,-1.95607,0.0285714,-2.39242,0.0285714,All
-2.79608,0.0357143,-2.10656,0.0357143,-1.76364,0.0357143,-1.82964,0.0357143,-1.82409,0.0357143,-2.28431,0.0357143,All
-2.79332,0.0428571,-2.04603,0.0428571,-1.73593,0.0428571,-1.74622,0.0428571,-1.69844,0.0428571,-2.01809,0.0428571,All
-2.76742,0.05,-1.98107,0.05,-1.72587,0.05,-1.56076,0.05,-1.66045,0.05,-1.80909,0.05,All
-2.64354,0.0571429,-1.67071,0.0571429,-1.61707,0.0571429,-1.54176,0.0571429,-1.49851,0.0571429,-1.71163,0.0571429,All
-2.63368,0.0642857,-1.65047,0.0642857,-1.60791,0.0642857,-1.4035,0.0642857,-1.34393,0.0642857,-1.67489,0.0642857,All
-2.58384,0.0714286,-1.57587,0.0714286,-1.58504,0.0714286,-1.35578,0.0714286,-1.33179,0.0714286,-1.57125,0.0714286,All
-1.6592,0.0785714,-1.56609,0.0785714,-1.56051,0.0785714,-1.30764,0.0785714,-1.30437,0.0785714,-1.56483,0.0785714,All
-1.63182,0.0857143,-1.54553,0.0857143,-1.52812,0.0857143,-1.24037,0.0857143,-1.27342,0.0857143,-1.55726,0.0857143,All
-1.63091,0.0928571,-1.51192,0.0928571,-1.40285,0.0928571,-1.05536,0.0928571,-1.26816,0.0928571,-1.5121,0.0928571,All
-1.60659,0.1,-1.49307,0.1,-1.38718,0.1,-0.944515,0.1,-1.26109,0.1,-1.39499,0.1,All
-1.56759,0.107143,-1.48957,0.107143,-1.33532,0.107143,-0.936177,0.107143,-1.24613,0.107143,-1.31278,0.107143,All
-1.52138,0.114286,-1.42921,0.114286,-1.33068,0.114286,-0.885396,0.114286,-1.22245,0.114286,-1.27791,0.114286,All
-1.46667,0.121429,-1.35429,0.121429,-1.30136,0.121429,-0.875688,0.121429,-1.2025,0.121429,-1.27184,0.121429,All
-1.44451,0.128571,-1.32425,0.128571,-1.26886,0.128571,-0.875446,0.128571,-1.09324,0.128571,-1.26351,0.128571,All
-1.43513,0.135714,-1.28844,0.135714,-1.26806,0.135714,-0.808304,0.135714,-1.09135,0.135714,-1.25908,0.135714,All
-1.37032,0.142857,-1.20022,0.142857,-1.25216,0.142857,-0.797469,0.142857,-1.08376,0.142857,-1.24694,0.142857,All
-0.527447,0.15,-1.17551,0.15,-1.22604,0.15,-0.794209,0.15,-1.06214,0.15,-1.24297,0.15,All
-0.520028,0.157143,-1.06429,0.157143,-1.2158,0.157143,-0.729311,0.157143,-1.03517,0.157143,-1.14092,0.157143,All
