standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,split
-4,0,-4,0,-4,0,All
-2.62162,0.00714286,-2.51565,0.00714286,-2.13552,0.00714286,All
-2.4629,0.0142857,-2.4412,0.0142857,-1.74356,0.0142857,All
-2.45909,0.0214286,-2.39864,0.0214286,-1.71177,0.0214286,All
-2.45306,0.0285714,-2.35361,0.0285714,-1.64733,0.0285714,All
-2.43702,0.0357143,-2.30141,0.0357143,-1.6355,0.0357143,All
-2.35583,0.0428571,-2.2697,0.0428571,-1.55494,0.0428571,All
-2.28343,0.05,-2.13581,0.05,-1.50968,0.05,All
-2.1067,0.0571429,-2.08325,0.0571429,-1.45567,0.0571429,All
-2.06322,0.0642857,-1.96117,0.0642857,-1.4548,0.0642857,All
-2.03081,0.0714286,-1.93124,0.0714286,-1.42295,0.0714286,All
-1.82654,0.0785714,-1.89923,0.0785714,-1.37648,0.0785714,All
-1.79376,0.0857143,-1.80541,0.0857143,-1.37035,0.0857143,All
-1.71668,0.0928571,-1.66247,0.0928571,-1.36595,0.0928571,All
-1.65556,0.1,-1.64326,0.1,-1.36518,0.1,All
-1.65525,0.107143,-1.61885,0.107143,-1.23185,0.107143,All
-1.61804,0.114286,-1.5948,0.114286,-1.21664,0.114286,All
-1.58445,0.121429,-1.48319,0.121429,-1.21632,0.121429,All
-1.5807,0.128571,-1.44822,0.128571,-1.20271,0.128571,All
-1.55672,0.135714,-1.42008,0.135714,-1.20149,0.135714,All
-1.45621,0.142857,-1.30179,0.142857,-1.19996,0.142857,All
-0.872241,0.15,-1.21022,0.15,-1.18443,0.15,All
-0.815352,0.157143,-1.07675,0.157143,-1.18037,0.157143,All
-0.773232,0.164286,-1.05134,0.164286,-1.17348,0.164286,All
-0.759277,0.171429,-1.00151,0.171429,-1.16379,0.171429,All
-0.726228,0.178571,-0.972772,0.178571,-1.13503,0.178571,All
-0.713376,0.185714,-0.944753,0.185714,-1.11265,0.185714,All
-0.664286,0.192857,-0.936915,0.192857,-1.10268,0.192857,All
-0.662672,0.2,-0.836876,0.2,-1.09584,0.2,All
-0.660832,0.207143,-0.823177,0.207143,-1.04179,0.207143,All
-0.635597,0.214286,-0.789418,0.214286,-1.03693,0.214286,All
-0.615743,0.221429,-0.762351,0.221429,-1.02252,0.221429,All
-0.602537,0.228571,-0.748087,0.228571,-1.01112,0.228571,All
-0.576031,0.235714,-0.703711,0.235714,-0.940055,0.235714,All
-0.570265,0.242857,-0.687574,0.242857,-0.919941,0.242857,All
-0.560238,0.25,-0.589515,0.25,-0.918772,0.25,All
-0.49515,0.257143,-0.510821,0.257143,-0.912009,0.257143,All
-0.492286,0.264286,-0.483196,0.264286,-0.907679,0.264286,All
-0.433969,0.271429,-0.453002,0.271429,-0.886414,0.271429,All
-0.430987,0.278571,-0.428729,0.278571,-0.80669,0.278571,All
-0.407195,0.285714,-0.400551,0.285714,-0.738668,0.285714,All
-0.367065,0.292857,-0.372026,0.292857,-0.734227,0.292857,All
-0.345486,0.3,-0.319569,0.3,-0.723282,0.3,All
-0.337509,0.307143,-0.308811,0.307143,-0.710783,0.307143,All
-0.299878,0.314286,-0.300821,0.314286,-0.527088,0.314286,All
-0.294625,0.321429,-0.299803,0.321429,-0.501591,0.321429,All
-0.268997,0.328571,-0.228015,0.328571,-0.475142,0.328571,All
-0.256384,0.335714,-0.223419,0.335714,-0.419409,0.335714,All
-0.238388,0.342857,-0.185073,0.342857,-0.390558,0.342857,All
-0.218525,0.35,-0.125713,0.35,-0.366638,0.35,All
-0.124159,0.357143,-0.122828,0.357143,-0.363966,0.357143,All
-0.115809,0.364286,-0.0114396,0.364286,-0.359689,0.364286,All
-0.101026,0.371429,-0.00640304,0.371429,-0.347222,0.371429,All
-0.0774555,0.378571,0.0126955,0.378571,-0.339442,0.378571,All
-0.0657575,0.385714,0.046453,0.385714,-0.329902,0.385714,All
-0.0608025,0.392857,0.082624,0.392857,-0.237239,0.392857,All
-0.0576354,0.4,0.110776,0.4,-0.234234,0.4,All
-0.0481707,0.407143,0.155452,0.407143,-0.227479,0.407143,All
-0.0358185,0.414286,0.194208,0.414286,-0.217578,0.414286,All
