iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b
1,771.411,1,5.2,0.62,21.22,4.99,28.28,1.5,1.5,1,0.62,0.3
2,765.314,1,5.10028,1.84729,22.2492,6.55305,25.2753,1.46202,1.46202,0.974679,0.62,0.285
3,758.077,1,5.73842,1.05936,23.8172,8.44719,29.6194,1.425,1.425,1.08398,0.62,0.27075
4,742.021,1,5.41772,1.10479,20.6413,7.20209,29.8508,1.38892,1.38892,1.05653,0.62,0.257212
5,731.682,1,5.6521,0.87363,17.8624,6.7616,31.3434,1.35375,1.35375,1.08301,0.62,0.244352
6,726.413,1,5.33588,1.47481,20.3388,8.37998,33.5962,1.31947,1.31947,1.16048,0.62,0.232134
7,711.017,1,5.58372,1.11355,16.1587,9.53762,31.8114,1.28606,1.28606,1.13339,0.62,0.220528
8,703.571,1,5.6303,1.16207,15.826,8.5035,32.9546,1.2535,1.2535,1.11667,0.62,0.209501
9,696.446,1,5.37154,1.06167,14.621,9.92627,29.8651,1.22176,1.22176,1.08839,0.62,0.199026
10,686.261,1,5.19826,1.25501,13.1724,9.57916,28.3719,1.19082,1.19082,1.06084,0.62,0.189075
11,668.704,1,5.31677,1.11648,12.0969,10.3504,27.5296,1.16067,1.16067,1.03397,0.62,0.179621
12,655.567,1,5.29605,1.31077,11.486,10.3103,27.5511,1.13128,1.13128,1.00779,0.62,0.17064
13,643.633,1,5.31444,1.23096,11.2126,13.468,25.7215,1.10264,1.10264,0.982276,0.62,0.162108
14,635.438,1,5.23784,1.32869,11.422,13.3867,25.5608,1.07472,1.07472,0.957404,0.62,0.154003
15,619.253,1,5.30761,1.32647,10.7539,13.4216,25.401,1.04751,1.04751,0.933162,0.62,0.146302
16,611.539,1,5.43321,0.894181,10.3915,17.4814,25.9566,1.02098,1.02098,0.909534,0.62,0.138987
17,598.436,1,5.38921,1.0135,10.1136,17.5245,24.821,0.995131,0.995131,0.886504,0.62,0.132038
18,588.651,1,5.47012,0.819302,8.98879,17.7648,24.9374,0.969933,0.969933,0.864057,0.62,0.125436
19,583.007,1,5.47957,0.513895,9.26185,17.138,23.8853,0.945374,0.945374,0.842179,0.62,0.119164
20,568.124,1,5.44838,0.727468,8.99102,18.2737,24.4078,0.921437,0.921437,0.820854,0.62,0.113206
21,562.155,1,5.30106,0.775284,8.83473,15.3927,24.3888,0.898105,0.898105,0.80007,0.62,0.107546
22,549.855,1,5.43774,0.586982,8.68671,16.493,24.6746,0.875365,0.875365,0.779812,0.62,0.102168
23,545.743,1,5.54842,0.0941881,8.33198,16.6937,23.5854,0.8532,0.8532,0.760066,0.62,0.0970601
24,531.824,1,5.48674,0.41437,8.73557,17.1954,23.696,0.831597,0.831597,0.740821,0.62,0.0922071
25,514.948,1,5.47889,0.506464,8.38577,17.744,23.8811,0.81054,0.81054,0.722063,0.62,0.0875967
26,501.852,1,5.44435,0.486121,8.65058,17.3189,23.8438,0.790017,0.790017,0.70378,0.62,0.0832169
27,495.656,1,5.24784,0.8499,8.43822,19.8437,22.7261,0.770013,0.770013,0.68596,0.62,0.079056
28,490.683,1,5.24638,0.837798,8.30523,19.9109,22.5841,0.750516,0.750516,0.679984,0.62,0.0751032
29,485.363,1,5.23126,0.955422,9.06025,19.8069,22.6811,0.731512,0.731512,0.662767,0.62,0.0713481
30,477.032,1,5.30933,0.704208,9.20895,18.4516,21.9015,0.71299,0.71299,0.645985,0.62,0.0677807
31,472.265,1,5.37003,0.717753,9.65966,18.3254,21.9186,0.694937,0.694937,0.629628,0.62,0.0643916
32,467.974,1,5.23493,0.967904,9.96353,18.0757,21.1309,0.677341,0.677341,0.618787,0.62,0.061172
33,446.436,1,5.28156,0.943268,10.2725,16.3404,21.5023,0.66019,0.66019,0.613735,0.62,0.0581134
34,433.679,1,5.21015,1.08957,11.0925,15.1526,20.8472,0.643474,0.643474,0.652621,0.62,0.0552078
35,428.879,1,5.22396,0.916996,10.4996,16.1303,20.9204,0.627181,0.627181,0.636097,0.62,0.0524474
36,426,1,5.2779,0.934345,10.6798,17.4246,20.806,0.6113,0.6113,0.644629,0.62,0.049825
37,425.303,1,5.18244,1.14382,11.0374,16.3448,20.8629,0.595821,0.595821,0.628307,0.62,0.0473338
38,416.837,1,5.18261,1.04526,11.0786,16.0665,20.5818,0.580735,0.580735,0.612398,0.62,0.0449671
39,415.213,1,5.18887,0.994856,11.4256,15.3088,20.1235,0.56603,0.56603,0.667449,0.62,0.0427187
40,412.591,1,5.22373,0.975757,11.8334,14.3694,20.3593,0.551698,0.551698,0.705772,0.62,0.0418547
41,401.348,1,5.23932,0.920872,12.2619,13.0774,19.7231,0.537729,0.558037,0.687902,0.62,0.0397915
42,393.722,1,5.23409,0.944373,12.8841,13.1188,19.6615,0.524113,0.543907,0.699024,0.62,0.0381813
43,389.576,1,5.31609,0.74653,13.2673,12.87,19.1891,0.510842,0.530135,0.77017,0.62,0.0372965
44,385.675,1,5.27276,0.729319,13.4215,11.7153,18.8181,0.497908,0.516712,0.750669,0.62,0.0373554
45,383.211,1,5.3142,0.634328,13.3793,11.0598,19.079,0.4853,0.511154,0.731662,0.62,0.036741
46,377.32,1,5.3023,0.643287,13.055,11.0942,19.0269,0.473012,0.542016,0.713136,0.62,0.035782
47,367.477,1,5.30432,0.664614,13.496,10.7017,18.6292,0.461035,0.534359,0.695079,0.62,0.0344059
48,363.157,1,5.26759,0.696648,13.8081,10.4557,18.3018,0.449362,0.554402,0.677479,0.62,0.0331113
49,358.927,1,5.29142,0.67368,14.3169,10.7067,17.9157,0.437984,0.540365,0.660325,0.62,0.0330579
50,358.152,1,5.29214,0.690398,13.9926,11.3016,18.2446,0.426894,0.526682,0.643605,0.62,0.0330894
51,359.539,1,5.29372,0.675012,13.8318,10.4865,18.3943,0.416084,0.557667,0.627309,0.62,0.0334051
52,357.013,1,5.30511,0.638272,14.0564,9.92721,18.4015,0.405549,0.543547,0.616446,0.62,0.0332491
53,351.919,1,5.32014,0.616764,14.128,10.595,18.4051,0.39528,0.529784,0.621806,0.62,0.032483
54,353.064,1,5.32186,0.629663,14.2342,10.177,18.4482,0.385271,0.516369,0.606061,0.62,0.0327447
55,346.327,1,5.29355,0.569184,14.6644,8.96684,18.0699,0.375516,0.503295,0.63848,0.62,0.0315953
56,346.725,1,5.25833,0.61057,14.6406,9.14558,17.8017,0.366008,0.503132,0.667791,0.62,0.0314774
57,344.271,1,5.2789,0.590908,14.9765,8.91294,17.4609,0.35674,0.490393,0.650882,0.62,0.0317782
58,346.304,1,5.30995,0.587269,15.224,8.8056,17.4507,0.347707,0.477976,0.634401,0.62,0.0322939
59,340.264,1,5.27817,0.567,15.0239,8.78167,17.4337,0.338903,0.465873,0.623195,0.62,0.0315894
60,338.063,1,5.27363,0.586467,15.4546,8.28151,17.4915,0.330322,0.454077,0.607415,0.62,0.031457
61,332.552,1,5.29952,0.513653,15.1847,8.31229,17.4642,0.321958,0.44258,0.592035,0.62,0.0310479
62,339.731,1,5.29746,0.521951,15.274,8.19889,17.1504,0.313806,0.4321,0.627351,0.62,0.0319183
63,331.285,1,5.31525,0.535405,15.9548,7.8168,17.4385,0.30586,0.421159,0.611466,0.62,0.0310458
64,329.411,1,5.31495,0.500236,15.7686,7.61856,17.3704,0.298116,0.410495,0.595983,0.62,0.0311287
65,338.519,1,5.28504,0.528286,16.0366,7.32009,17.3805,0.290567,0.40641,0.632698,0.62,0.0320994
66,330.979,1,5.27307,0.459129,15.8512,7.43282,16.8102,0.28321,0.396119,0.616677,0.62,0.0313557
67,329.848,1,5.28325,0.477793,16.539,7.34332,16.4819,0.276039,0.386089,0.616974,0.62,0.0314858
68,324.89,1,5.29,0.484032,16.4261,7.5855,16.572,0.269049,0.377327,0.625848,0.62,0.0305476
69,320.806,1,5.24686,0.4603,16.2792,6.96371,16.0671,0.262237,0.382575,0.610001,0.62,0.0301163
70,317.533,1,5.22244,0.47041,16.3138,6.62566,15.9855,0.255597,0.385388,0.594555,0.62,0.0296308
71,309.832,1,5.25883,0.471872,16.9104,6.6827,16.1354,0.249125,0.375629,0.604985,0.62,0.0284051
72,309.493,1,5.28441,0.466704,16.8024,6.82782,16.4001,0.242817,0.382009,0.604637,0.62,0.0283635
73,312.787,1,5.28277,0.477947,17.0862,6.50852,16.5154,0.236669,0.388773,0.601992,0.62,0.028931
74,309.784,1,5.32789,0.420336,17.3246,6.54169,16.5799,0.230676,0.392801,0.620967,0.62,0.0283883
75,305.48,1,5.29479,0.464052,17.5653,6.2073,16.6447,0.224835,0.382855,0.637759,0.62,0.0277647
76,305.011,1,5.27889,0.498968,17.7186,6.21228,16.2448,0.219142,0.373161,0.621611,0.62,0.027981
77,303.674,1,5.24546,0.476571,17.669,5.88177,16.0418,0.213594,0.363712,0.605871,0.62,0.0283247
78,296.633,1,5.27289,0.438004,17.6505,5.75728,16.0543,0.208185,0.354503,0.59053,0.141975,0.0283716
79,295.935,1,5.33928,0.272685,17.6094,5.65922,16.6062,0.202914,0.361797,0.575578,-0.0363219,0.0281087
80,295.039,1,5.39416,0.182959,18.0799,5.2322,16.5802,0.197776,0.368462,0.578215,-0.0356596,0.0276938
81,282.537,1,5.39586,0.197419,18.6298,5.11272,16.6061,0.192768,0.359132,0.563574,-0.0462491,0.0269568
82,278.831,1,5.35817,0.191254,18.4949,5.02099,16.7618,0.187887,0.350039,0.549304,-0.0515652,0.0264126
83,267.984,1,5.36503,0.181433,18.6864,4.78366,17.8618,0.18313,0.341176,0.535396,0.0336532,0.0250919
84,264.418,1,5.35538,0.190994,18.8046,4.73884,18.2386,0.178493,0.332537,0.546844,0.0105195,0.0244174
85,265.968,1,5.31963,0.20374,18.9069,4.44293,18.1388,0.173973,0.324117,0.532997,0.0124807,0.0247672
86,265.06,1,5.31305,0.199097,18.4753,4.65988,18.2522,0.169568,0.31591,0.568398,0.0359524,0.0243682
87,259.226,1,5.32117,0.194755,18.41,4.80389,18.4376,0.165275,0.318291,0.588151,0.0327366,0.0235037
88,259.996,1,5.29843,0.1809,18.1197,4.7532,18.4232,0.16109,0.313088,0.590383,-0.00251234,0.0237266
89,266.058,1,5.31993,0.188757,18.5563,4.82687,18.2792,0.163203,0.322743,0.646957,0.0550646,0.0239611
90,265.971,1,5.32316,0.188803,18.3905,4.95288,18.3221,0.162954,0.323112,0.672825,0.0990209,0.0238346
91,263.286,1,5.3242,0.192638,18.2317,5.09477,18.5511,0.161276,0.31952,0.655789,0.0351369,0.0236946
92,262.455,1,5.3374,0.173665,18.2444,5.20407,18.283,0.159187,0.321523,0.665906,0.0314095,0.0235287
93,262.334,1,5.31117,0.179365,18.4899,4.83044,18.3544,0.159809,0.335842,0.671693,-0.0103304,0.0232994
94,265.094,1,5.32833,0.167262,18.6945,4.84211,18.5408,0.155762,0.335152,0.685595,-0.0540619,0.0236725
95,264.992,1,5.31823,0.158045,18.5262,4.80132,18.3598,0.151923,0.333835,0.698275,-0.0358907,0.0236837
96,260.371,1,5.31774,0.165273,18.3698,5.02259,18.6251,0.154475,0.329555,0.723226,-0.0286567,0.0230062
97,258.352,1,5.33823,0.153484,18.3531,5.07793,18.6942,0.159014,0.32121,0.735395,-0.0130762,0.0227545
98,262.31,1,5.35981,0.167012,18.3959,5.1331,19.545,0.156157,0.313371,0.73376,-0.027986,0.0233805
99,261.078,1,5.34121,0.163787,18.3031,4.94535,19.4534,0.163661,0.305578,0.715181,0.0302362,0.023334
100,252.351,1,5.37343,0.178693,18.3716,5.15977,19.4989,0.159517,0.301728,0.724639,0.0435755,0.022343
101,253.386,1,5.42464,0.168643,18.5676,5.6282,19.6894,0.156024,0.294088,0.795183,0.0167267,0.02235
102,252.672,1,5.39441,0.185563,18.4482,5.57628,19.2817,0.160817,0.302628,0.78462,0.0417668,0.0220962
