iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtWTKG,beta_Cl_tCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
15,1355.44,1,3.91403,13.8342,61.2675,52.1082,0.698337,0.698337,0.985277,0.889132,0.998761,1.04751,1.70578,1.04751,0.838005
16,1354.49,1,4.67162,15.2035,64.2792,54.2114,0.680655,0.680655,0.852654,0.699169,0.998761,1.02098,1.68313,1.02098,0.816786
17,1335.48,1,5.47706,17.1968,62.9257,53.4562,0.66342,0.66342,1.19998,0.541397,0.998761,0.995131,1.64051,0.995131,0.796105
18,1323.32,1,6.94037,17.3278,62.2826,52.815,0.646622,0.646622,0.78237,0.39183,0.998761,0.969933,1.59897,0.969933,0.775947
19,1308.55,1,5.5031,17.1861,62.7482,52.7104,0.630249,0.630249,1.52543,0.592866,0.998761,0.945374,1.59745,0.945374,0.756299
20,1295.52,1,6.33479,15.2897,55.5135,47.4993,0.614291,0.614291,1.09546,0.476468,0.998761,0.921437,1.557,0.921437,0.737149
21,1276.97,1,7.14069,15.0683,52.2627,45.6234,0.598737,0.598737,0.628677,0.364842,0.998761,0.898105,1.51758,0.898105,0.718484
22,1265.67,1,7.72798,10.8502,55.585,47.9487,0.583577,0.583577,0.729609,0.311211,0.998761,0.875365,1.47915,0.875365,0.700292
23,1250.1,1,5.72771,9.3483,57.7826,49.6448,0.5688,0.5688,1.07022,0.60602,0.998761,0.8532,1.4417,0.8532,0.68256
24,1230.89,1,5.98388,8.14273,59.2028,50.6098,0.554398,0.554398,1.2024,0.575473,0.998761,0.831597,1.4052,0.831597,0.665277
25,1226.31,1,5.75951,7.7443,59.7232,50.8933,0.54036,0.54036,1.27137,0.599913,0.998761,0.81054,1.36961,0.81054,0.648432
26,1218.89,1,7.13312,9.38877,57.8242,49.6596,0.526678,0.526678,1.01743,0.402248,0.998761,0.790017,1.51361,0.790017,0.632013
