iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtWTKG,beta_Cl_tCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
178,755.108,1,5.72992,12.4884,41.2145,37.7673,0.3021,0.0650965,0.737483,0.603471,0.998761,0.184496,0.541672,0.31343,0.246209
179,751.617,1,5.76779,12.5897,41.1595,37.7862,0.302432,0.063264,0.746573,0.590073,0.998761,0.184726,0.563904,0.311698,0.246506
180,755.959,1,5.70394,11.8667,41.0947,37.7773,0.301173,0.0640621,0.726535,0.600107,0.998761,0.186558,0.516679,0.319887,0.256978
181,757.133,1,5.74563,11.7008,41.121,37.8102,0.297303,0.066092,0.747804,0.59222,0.998761,0.177514,0.507219,0.328165,0.263579
182,755.494,1,5.78741,11.9234,40.8298,37.737,0.304228,0.0656673,0.691163,0.581743,0.998761,0.182079,0.544072,0.328332,0.264236
183,759.745,1,5.80532,12.0579,40.8187,37.683,0.304164,0.0651439,0.668343,0.581989,0.998761,0.184312,0.535378,0.326011,0.258811
184,754.377,1,5.69934,12.6646,40.5847,37.5422,0.307099,0.0618656,0.715468,0.602773,0.998761,0.187102,0.567185,0.327403,0.25655
185,752.584,1,5.68366,12.7753,40.516,37.4801,0.300869,0.062923,0.728983,0.604357,0.998761,0.182913,0.607057,0.328522,0.25723
186,754.374,1,5.75712,12.3916,41.0013,37.8363,0.30549,0.0635524,0.739636,0.594136,0.998761,0.184019,0.552869,0.322067,0.253101
187,760.498,1,5.73032,12.3604,41.0266,37.9445,0.302681,0.0656398,0.71143,0.596677,0.998761,0.184579,0.586611,0.321329,0.252168
188,754.505,1,5.82633,13.149,40.8851,37.9405,0.302049,0.0658627,0.71009,0.582695,0.998761,0.18235,0.583011,0.318878,0.252352
189,754.215,1,5.72613,13.2569,40.6186,37.7191,0.305634,0.0644608,0.72155,0.604295,0.998761,0.180513,0.543578,0.314929,0.248777
190,753.855,1,5.82749,12.9554,40.6701,37.8561,0.29691,0.067432,0.732381,0.584505,0.998761,0.177637,0.531906,0.30725,0.24176
191,758.973,1,5.71606,12.8746,40.3824,37.7314,0.301824,0.0668329,0.747063,0.606302,0.998761,0.177753,0.538436,0.3036,0.239844
192,764.2,1,5.74587,11.9598,40.4987,37.877,0.299498,0.0691511,0.755754,0.592969,0.998761,0.179044,0.553239,0.298738,0.233286
193,763.51,1,5.86061,12.1894,40.4964,37.8642,0.300934,0.0705748,0.716367,0.576486,0.998761,0.173428,0.571821,0.297173,0.235498
194,762.19,1,5.75962,12.0796,40.555,37.9755,0.297483,0.0697607,0.768975,0.592022,0.998761,0.176803,0.623429,0.299552,0.238322
195,767.701,1,5.82013,12.465,40.6291,38.0653,0.300157,0.0688458,0.713954,0.578914,0.998761,0.174376,0.579098,0.298134,0.239183
196,767.133,1,5.81194,12.1749,40.8906,38.372,0.297726,0.0700298,0.767334,0.588588,0.998761,0.173218,0.622578,0.296165,0.23953
197,762.002,1,5.78696,12.0707,41.1083,38.5872,0.29525,0.070955,0.737707,0.593112,0.998761,0.167287,0.599947,0.297585,0.238267
198,757.292,1,5.84517,12.0407,41.1859,38.6054,0.297444,0.0688545,0.764892,0.578414,0.998761,0.178081,0.571694,0.284514,0.229774
199,763.379,1,5.70491,12.0804,41.2603,38.7733,0.298633,0.0683436,0.798361,0.605432,0.998761,0.179107,0.600575,0.283412,0.22814
200,760.547,1,5.77065,12.1164,40.9084,38.5197,0.296367,0.0712113,0.767757,0.599344,0.998761,0.175948,0.579822,0.282385,0.230192
201,752.136,1,5.69176,12.9076,41.0252,38.6132,0.296938,0.0685158,0.75756,0.610098,0.998761,0.177105,0.530736,0.279921,0.227817
202,754.903,1,5.6572,12.9441,40.6775,38.4082,0.302268,0.0673249,0.735447,0.618444,0.998761,0.178256,0.494818,0.280057,0.230922
203,761.594,1,5.57498,13.0199,40.9723,38.6852,0.301904,0.0679088,0.727197,0.632042,0.998761,0.173177,0.532719,0.282203,0.230387
204,754.01,1,5.62893,12.4603,41.2751,38.9716,0.298846,0.0683449,0.741727,0.620076,0.998761,0.16805,0.539294,0.281577,0.228351
205,743.571,1,5.76258,11.8153,41.342,39.0498,0.296752,0.0657745,0.730249,0.597346,0.998761,0.174187,0.54937,0.28028,0.231162
206,751.898,1,5.64655,11.8193,40.9722,38.7716,0.304603,0.0656947,0.7276,0.613701,0.998761,0.178881,0.547047,0.291461,0.242764
207,763.085,1,5.86082,12.3685,41.336,39.0797,0.302184,0.0665115,0.755067,0.579409,0.998761,0.181366,0.605557,0.294724,0.24879
208,755.249,1,5.74009,12.1515,41.032,38.8908,0.296878,0.0664913,0.754806,0.595107,0.998761,0.177588,0.629032,0.285164,0.242272
209,751.846,1,5.66697,11.897,41.1741,39.1292,0.30192,0.0657907,0.755758,0.609509,0.998761,0.180185,0.58723,0.286295,0.242559
210,750.762,1,5.70471,12.2573,41.0523,39.0064,0.299205,0.0654307,0.760303,0.601667,0.998761,0.181291,0.628521,0.283752,0.2401
211,758.029,1,5.53899,11.8759,40.8098,38.8306,0.303982,0.0664256,0.776689,0.634008,0.998761,0.185455,0.598179,0.281894,0.236408
212,759.769,1,5.72041,12.5768,40.8055,38.8394,0.304405,0.0675689,0.81288,0.605054,0.998761,0.180611,0.63745,0.28039,0.234749
213,766.464,1,5.72373,12.3429,40.9987,38.9977,0.308059,0.0674027,0.762339,0.604038,0.998761,0.182914,0.651387,0.28565,0.238541
214,765.978,1,5.60141,12.1823,41.0228,38.952,0.299901,0.0683774,0.782511,0.618305,0.998761,0.182164,0.647626,0.290768,0.24365
215,759.858,1,5.75651,12.1336,40.726,38.8269,0.299576,0.0680623,0.781661,0.592604,0.998761,0.178791,0.610417,0.289112,0.2404
216,764.618,1,5.72913,12.2674,40.6372,38.7884,0.303955,0.0683161,0.77034,0.596109,0.998761,0.182152,0.548532,0.275255,0.229255
217,755.849,1,5.57473,12.4596,40.8305,38.8958,0.302071,0.0676648,0.805909,0.624815,0.998761,0.181541,0.551174,0.274862,0.227063
218,761.954,1,5.82839,12.6136,40.5238,38.6886,0.301056,0.0691054,0.805947,0.584445,0.998761,0.182664,0.546668,0.284508,0.235275
219,751.849,1,5.80237,12.0143,40.8351,38.9717,0.300011,0.069115,0.778587,0.59513,0.998761,0.179986,0.441183,0.288568,0.236199
220,761.027,1,5.84545,12.1953,41.0647,39.1559,0.301484,0.0694378,0.764678,0.583113,0.998761,0.177767,0.457175,0.29175,0.235939
221,760.895,1,5.82968,12.349,40.9439,38.9298,0.29863,0.0700452,0.735522,0.585875,0.998761,0.175595,0.485242,0.286983,0.232356
222,750.004,1,5.62344,13.1559,41.0802,39.1305,0.297921,0.0688079,0.731347,0.621461,0.998761,0.175249,0.496417,0.294362,0.237276
223,758.504,1,5.66339,13.2817,40.9148,38.9615,0.293874,0.0704484,0.733918,0.620272,0.998761,0.177122,0.49907,0.295907,0.235418
224,762.062,1,5.6372,12.9881,40.7585,38.8926,0.299392,0.0709645,0.730915,0.622607,0.998761,0.176675,0.514019,0.300609,0.23932
225,756.453,1,5.82063,12.9786,40.8671,38.9117,0.297164,0.0693316,0.728512,0.591609,0.998761,0.179614,0.446342,0.302155,0.238051
226,754.686,1,5.91046,12.8324,41.2659,39.3912,0.301936,0.0675428,0.736855,0.577084,0.998761,0.188411,0.432258,0.30807,0.245406
227,761.452,1,5.84182,12.1486,41.5623,39.5673,0.303563,0.069011,0.761739,0.58506,0.998761,0.191931,0.441752,0.310533,0.24563
228,754.299,1,5.79116,11.7336,41.5995,39.5152,0.304544,0.0669912,0.739442,0.593254,0.998761,0.189908,0.456794,0.304367,0.241264
229,749.683,1,5.70506,11.7072,41.605,39.5856,0.304876,0.0661213,0.752828,0.603417,0.998761,0.190197,0.430825,0.307774,0.24109
230,752.205,1,5.69365,11.6306,41.6052,39.6002,0.306296,0.0662119,0.713123,0.607944,0.998761,0.184774,0.453056,0.307571,0.241573
231,754.59,1,5.96173,11.9802,41.3456,39.3552,0.298192,0.0681407,0.731683,0.561194,0.998761,0.178583,0.49622,0.303545,0.240746
232,751.206,1,5.75647,11.949,41.4647,39.4268,0.298521,0.0672823,0.714394,0.595066,0.998761,0.179236,0.493445,0.29953,0.234347
233,756.722,1,5.84307,11.7113,41.3025,39.2897,0.301251,0.0685985,0.702859,0.579753,0.998761,0.1757,0.465518,0.297519,0.233085
234,756.995,1,5.80551,11.4685,41.3166,39.3216,0.297574,0.0694787,0.76398,0.587866,0.998761,0.17777,0.491156,0.296414,0.231029
235,750.671,1,5.79756,11.0428,41.2755,39.3553,0.29914,0.0677594,0.752832,0.581347,0.998761,0.172008,0.483219,0.299775,0.231545
236,756.127,1,5.73918,11.7205,40.8942,39.0835,0.299457,0.067498,0.755644,0.594506,0.998761,0.175367,0.505452,0.302477,0.231873
237,757.935,1,5.58832,11.4756,41.0479,39.1786,0.299961,0.068538,0.737962,0.621431,0.998761,0.179474,0.541103,0.303125,0.23275
238,758.358,1,5.55389,11.5084,41.5283,39.451,0.306172,0.0668012,0.765358,0.626784,0.998761,0.18394,0.529273,0.310889,0.2376
239,748.855,1,5.61459,11.4285,41.4758,39.384,0.301655,0.0641433,0.749439,0.619511,0.998761,0.176328,0.578797,0.309423,0.239354
240,759.828,1,5.50119,11.5721,41.5895,39.4848,0.305647,0.0670747,0.782732,0.638693,0.998761,0.175229,0.58464,0.310407,0.239944
241,754.031,1,5.62183,11.6372,41.1907,39.1991,0.30627,0.0642247,0.728499,0.618894,0.998761,0.180414,0.562665,0.311309,0.244544
242,758.385,1,5.60729,11.4227,41.4285,39.3431,0.308514,0.0643082,0.748194,0.617219,0.998761,0.182636,0.556475,0.314819,0.247599
243,748.459,1,5.67115,11.3175,41.339,39.1586,0.305056,0.0642511,0.720035,0.60497,0.998761,0.183322,0.545707,0.304677,0.239811
244,756.634,1,5.75769,11.3499,41.7878,39.5552,0.301115,0.0662932,0.691826,0.590533,0.998761,0.1781,0.558337,0.298189,0.234368
245,756.05,1,5.74841,11.4596,41.7305,39.6268,0.300173,0.0678452,0.706916,0.593036,0.998761,0.177954,0.551599,0.295421,0.232867
246,761.128,1,5.77059,11.1044,41.5999,39.4319,0.303957,0.0678447,0.691371,0.583851,0.998761,0.180173,0.516917,0.296259,0.233786
247,750.412,1,5.76605,11.4925,41.6661,39.4525,0.299917,0.0658943,0.721227,0.592172,0.998761,0.182839,0.53742,0.298008,0.23232
248,750.018,1,5.74462,11.6351,41.6154,39.3589,0.29961,0.066154,0.728293,0.595511,0.998761,0.183265,0.541293,0.298268,0.233623
249,758.036,1,5.53388,11.2894,41.5391,39.215,0.303712,0.0669557,0.763938,0.63199,0.998761,0.180024,0.559336,0.292813,0.230692
250,752.696,1,5.77034,11.4595,41.8887,39.4577,0.301882,0.067015,0.753772,0.597,0.998761,0.180601,0.513354,0.290899,0.228338
251,754.398,1,5.80406,12.1965,42.0411,39.5626,0.297219,0.0667376,0.742996,0.594942,0.998761,0.180958,0.580674,0.29479,0.231183
252,758.05,1,5.75884,11.7838,41.8806,39.4586,0.300548,0.067197,0.724079,0.593689,0.998761,0.17959,0.527792,0.296048,0.232361
253,752.331,1,5.72629,11.892,41.9167,39.5144,0.299128,0.0668211,0.742958,0.603661,0.998761,0.182054,0.522589,0.298141,0.236505
254,750.427,1,5.67187,11.818,41.956,39.6002,0.29706,0.0671689,0.737743,0.61293,0.998761,0.182195,0.550434,0.296322,0.235694
255,758.427,1,5.80023,11.8283,42.235,39.7878,0.303469,0.0667759,0.748415,0.588449,0.998761,0.188417,0.518687,0.302314,0.240179
256,761.286,1,5.74312,11.6859,42.2349,39.8664,0.299668,0.0694647,0.739923,0.602423,0.998761,0.189325,0.480209,0.3036,0.240467
257,763.462,1,5.83531,11.5314,42.1806,39.9124,0.292238,0.0720038,0.764117,0.583697,0.998761,0.182757,0.481866,0.30667,0.24544
258,757.58,1,5.89312,11.64,42.2417,39.907,0.291817,0.0701316,0.792233,0.572337,0.998761,0.179903,0.480432,0.301727,0.239053
259,754.266,1,5.80265,11.9924,42.2647,39.8936,0.297338,0.0674657,0.776499,0.587034,0.998761,0.18196,0.497539,0.300655,0.237567
260,759.323,1,5.8187,11.7631,42.2372,39.8638,0.298894,0.0670582,0.772206,0.588574,0.998761,0.184857,0.512398,0.299157,0.235116
261,755.744,1,5.81661,11.9859,41.8808,39.7354,0.298187,0.0674555,0.774043,0.588449,0.998761,0.183126,0.518685,0.294989,0.232973
262,754.725,1,5.80794,11.6617,41.7023,39.6799,0.297043,0.067456,0.763293,0.585276,0.998761,0.183797,0.516649,0.289954,0.226829
263,751.92,1,5.81251,11.8785,41.687,39.6892,0.298406,0.0677274,0.743923,0.589992,0.998761,0.180896,0.526134,0.287898,0.225139
264,746.009,1,5.81559,12.1473,41.5991,39.5472,0.29966,0.0668836,0.776346,0.591058,0.998761,0.181462,0.495452,0.280212,0.221013
265,751.591,1,5.51733,12.5393,41.7248,39.6143,0.30088,0.0680326,0.76511,0.63662,0.998761,0.189791,0.511139,0.28588,0.223328
266,761.158,1,5.7403,12.2938,41.5527,39.5517,0.299056,0.0686408,0.764901,0.60058,0.998761,0.188848,0.52545,0.280301,0.218937
267,756.57,1,5.67596,11.7519,41.8493,39.7213,0.298224,0.0679655,0.779767,0.609487,0.998761,0.182378,0.521803,0.286249,0.223474
268,749.696,1,5.77483,11.8451,41.8159,39.6969,0.299945,0.0671139,0.763654,0.590744,0.998761,0.178633,0.519945,0.279904,0.220849
269,747.219,1,5.84033,11.9307,41.848,39.6811,0.294758,0.0680269,0.763619,0.582945,0.998761,0.176387,0.532966,0.278611,0.217943
270,753.026,1,5.74077,12.0699,41.7982,39.5767,0.296949,0.0675152,0.760661,0.596957,0.998761,0.178902,0.582813,0.277559,0.217151
271,756.691,1,5.74498,12.2852,41.6147,39.4806,0.302799,0.0691475,0.724515,0.603504,0.998761,0.182036,0.52925,0.280326,0.218538
272,755.757,1,5.85972,12.3648,41.4045,39.3812,0.295709,0.0706777,0.715932,0.580764,0.998761,0.177113,0.518744,0.285392,0.221104
273,761.922,1,5.8796,11.6579,41.8497,39.6413,0.298525,0.0707526,0.714955,0.577451,0.998761,0.17925,0.512267,0.291626,0.226412
274,766.247,1,5.87927,12.1354,41.8278,39.598,0.297017,0.0715945,0.749071,0.575596,0.998761,0.178868,0.526008,0.298352,0.2283
275,759.791,1,5.84938,12.3206,41.8246,39.633,0.294084,0.0704708,0.750624,0.586708,0.998761,0.177555,0.585608,0.300637,0.229301
276,756.948,1,5.81472,12.1059,41.8614,39.5417,0.301397,0.0684454,0.748187,0.58629,0.998761,0.188172,0.55455,0.296596,0.223922
277,758.365,1,5.74322,12.4228,41.2012,39.1304,0.307274,0.0673808,0.773275,0.601088,0.998761,0.185836,0.565728,0.295482,0.224344
278,760.313,1,5.80124,12.0377,41.2893,39.2115,0.298544,0.0691117,0.746406,0.593999,0.998761,0.18122,0.525596,0.296932,0.225889
279,757.971,1,5.77744,12.0505,41.4766,39.3527,0.299157,0.0690947,0.7387,0.593185,0.998761,0.177663,0.567264,0.291986,0.224837
280,756.391,1,5.59025,12.0312,41.7809,39.4991,0.301963,0.0680909,0.779343,0.624427,0.998761,0.18148,0.558182,0.285394,0.220162
281,754.487,1,5.61555,11.6906,42.277,39.849,0.30146,0.0670695,0.761446,0.624913,0.998761,0.180301,0.545809,0.286351,0.223997
282,752.129,1,5.68671,11.5296,42.3118,39.92,0.303919,0.0673883,0.770134,0.609178,0.998761,0.182045,0.482319,0.280877,0.21814
283,758.988,1,5.72388,11.9861,42.0374,39.7151,0.299682,0.0693148,0.753701,0.601797,0.998761,0.179574,0.488418,0.282641,0.22079
284,754.111,1,5.56881,11.4612,42.239,39.8275,0.300249,0.0683543,0.767467,0.630974,0.998761,0.184865,0.504712,0.282674,0.219212
285,756.825,1,5.89647,11.4116,42.2338,39.7328,0.294426,0.0714222,0.766769,0.570256,0.998761,0.177012,0.559906,0.279993,0.218282
286,764.747,1,5.79306,11.5513,42.2228,39.8106,0.296444,0.0718764,0.708543,0.595869,0.998761,0.175009,0.549539,0.28155,0.219494
287,760.94,1,5.70763,12.2219,42.2198,39.8081,0.294814,0.0713218,0.761809,0.609437,0.998761,0.174328,0.572326,0.277227,0.219098
288,752.117,1,5.71626,12.449,42.1464,39.7793,0.29827,0.0681756,0.747444,0.611699,0.998761,0.176586,0.504254,0.277995,0.222435
289,757.381,1,5.75824,12.3345,41.9561,39.6838,0.297501,0.0710415,0.747497,0.597647,0.998761,0.178662,0.494086,0.27484,0.220751
290,761.167,1,5.73497,12.261,41.9793,39.6556,0.299251,0.0718646,0.742431,0.601827,0.998761,0.178446,0.540991,0.277885,0.224212
291,764.02,1,5.6469,11.8816,41.9734,39.5799,0.297137,0.071784,0.753472,0.614005,0.998761,0.176219,0.506332,0.275239,0.221362
292,766.482,1,5.70966,12.3629,41.6668,39.3737,0.298434,0.0728858,0.751472,0.604195,0.998761,0.174641,0.551398,0.272787,0.216249
293,764.479,1,5.76011,11.6559,41.7035,39.446,0.291485,0.0750162,0.743817,0.595575,0.998761,0.170245,0.540828,0.273284,0.213601
294,759.431,1,5.5943,11.7614,41.7908,39.5268,0.299328,0.0711646,0.750509,0.621881,0.998761,0.179834,0.567261,0.275507,0.2175
295,761.585,1,5.65441,12.0743,42.0115,39.7575,0.302339,0.0700259,0.774078,0.606967,0.998761,0.18147,0.571296,0.27438,0.216212
296,755.232,1,5.58615,11.8764,41.8956,39.6656,0.302651,0.0682736,0.773142,0.620134,0.998761,0.182269,0.524261,0.270422,0.213772
297,757.378,1,5.69798,11.5495,41.8792,39.6777,0.298569,0.0697175,0.771559,0.607277,0.998761,0.179679,0.527441,0.275899,0.218684
298,753.516,1,5.60408,12.3487,41.8453,39.7773,0.295418,0.0701852,0.782197,0.627905,0.998761,0.178323,0.535843,0.279198,0.219748
299,749.35,1,5.59164,12.3269,41.1128,39.2818,0.29648,0.067706,0.755151,0.628395,0.998761,0.182916,0.549381,0.282307,0.220203
300,752.166,1,5.89661,13.1086,41.2454,39.3759,0.296743,0.0678886,0.787421,0.577208,0.998761,0.182074,0.548329,0.281908,0.218682
301,762.756,1,5.72739,12.752,41.1608,39.3206,0.296036,0.0710466,0.767674,0.603786,0.998761,0.176798,0.539665,0.278936,0.216562
302,753.232,1,5.64514,13.1968,40.8625,39.0709,0.291,0.0707075,0.757721,0.618685,0.998761,0.177616,0.560146,0.27488,0.218233
303,761.008,1,5.65679,12.5814,40.9749,39.2503,0.294923,0.0701791,0.771925,0.617222,0.998761,0.177191,0.510633,0.286508,0.22834
304,756.398,1,5.64346,13.2519,40.3831,38.7855,0.297676,0.0685361,0.748587,0.617322,0.998761,0.176662,0.573247,0.282927,0.225915
305,761.283,1,5.65882,13.1913,40.2711,38.6676,0.298339,0.0682223,0.749373,0.614034,0.998761,0.177731,0.578048,0.28298,0.225454
306,751.192,1,5.63535,12.8433,40.0903,38.5603,0.299117,0.0671231,0.735183,0.613436,0.998761,0.175138,0.576831,0.291081,0.2332
307,755.908,1,5.86863,12.743,40.3649,38.8716,0.299202,0.0694778,0.748543,0.573421,0.998761,0.175703,0.562392,0.28083,0.226485
308,757.816,1,5.81138,12.921,40.192,38.5865,0.294544,0.070271,0.734165,0.590373,0.998761,0.17763,0.528491,0.277631,0.225316
309,753.66,1,5.97473,13.0591,40.4176,38.7805,0.291172,0.0704342,0.765434,0.563421,0.998761,0.175168,0.491368,0.281937,0.227557
310,758.888,1,6.09321,12.8183,40.2984,38.7526,0.295809,0.0706101,0.759168,0.545558,0.998761,0.178884,0.508587,0.281815,0.229119
311,759.633,1,6.05353,12.9316,40.2249,38.8402,0.292443,0.071093,0.752834,0.55169,0.998761,0.178123,0.579482,0.28164,0.230658
312,754.781,1,5.86816,12.6443,40.5179,39.0041,0.302038,0.0668826,0.799841,0.576124,0.998761,0.189482,0.561413,0.286049,0.234753
313,753.369,1,5.88016,13.6446,40.4203,38.8891,0.298979,0.0686425,0.744565,0.579803,0.998761,0.183614,0.562843,0.275904,0.227524
314,757.765,1,5.95175,13.1529,41.0224,39.3193,0.301208,0.0696015,0.722561,0.567161,0.998761,0.18886,0.541761,0.278994,0.23077
315,759.368,1,5.90516,12.6616,41.1073,39.3093,0.292766,0.0703637,0.754826,0.575321,0.998761,0.183858,0.577556,0.27956,0.232058
316,758.496,1,5.76922,11.9056,40.7262,39.1244,0.298795,0.0686453,0.740167,0.591002,0.998761,0.180322,0.576598,0.277185,0.228846
317,761.666,1,5.81153,12.0448,40.6362,38.9551,0.303755,0.0681256,0.748947,0.57942,0.998761,0.182353,0.579632,0.276886,0.22846
318,759.502,1,5.63965,11.6762,40.7972,39.091,0.306804,0.0659942,0.733245,0.608109,0.998761,0.190011,0.537332,0.279676,0.232068
319,751.328,1,5.59755,11.3952,40.7802,39.1182,0.308702,0.0638781,0.739704,0.619488,0.998761,0.181197,0.580879,0.286483,0.236184
320,758.274,1,5.55424,11.3068,41.1615,39.343,0.311928,0.0644563,0.743155,0.625572,0.998761,0.18307,0.571119,0.289446,0.237863
321,744.941,1,5.69821,11.6695,40.83,39.1726,0.305872,0.0640481,0.706847,0.60192,0.998761,0.179864,0.577429,0.287042,0.23516
322,749.03,1,5.70596,11.797,40.9443,39.2534,0.301064,0.0636965,0.742801,0.601044,0.998761,0.176654,0.559133,0.283551,0.234033
323,752.307,1,5.64664,12.1562,41.1591,39.4054,0.299399,0.0649248,0.752432,0.612647,0.998761,0.185954,0.587988,0.285213,0.235721
324,750.504,1,5.69341,12.0853,41.017,39.4043,0.306847,0.0643554,0.751066,0.603489,0.998761,0.190421,0.556758,0.278841,0.234011
325,747.801,1,5.70627,12.6818,41.0364,39.4328,0.302799,0.0632416,0.722904,0.604949,0.998761,0.182647,0.577811,0.28139,0.235344
326,742.702,1,5.68943,12.6191,40.8892,39.2929,0.303349,0.0632075,0.752554,0.608631,0.998761,0.181714,0.565698,0.281157,0.234371
327,749.97,1,5.7851,12.9577,40.7491,39.1401,0.30048,0.0643969,0.747343,0.595878,0.998761,0.182195,0.573201,0.272957,0.229016
328,743.864,1,5.68719,13.0148,40.6775,39.1131,0.306623,0.0632947,0.728449,0.606198,0.998761,0.184015,0.56408,0.272519,0.226422
329,745.127,1,5.5904,12.4422,40.8881,39.2431,0.301915,0.0647275,0.742875,0.623973,0.998761,0.182397,0.559363,0.276139,0.226721
330,754.013,1,5.73698,12.511,40.688,39.0576,0.29909,0.0663359,0.732586,0.596105,0.998761,0.178167,0.605322,0.278205,0.228964
331,750.768,1,5.80023,12.8401,40.435,38.7606,0.297804,0.0666397,0.731102,0.585306,0.998761,0.173731,0.589931,0.271582,0.22589
332,761.121,1,5.63566,13.3882,40.1355,38.4291,0.301014,0.0667122,0.746854,0.61599,0.998761,0.180547,0.623366,0.274949,0.229123
333,759.723,1,5.70971,12.9917,40.292,38.6153,0.301577,0.0663477,0.740983,0.603153,0.998761,0.177588,0.630803,0.271427,0.223191
334,753.349,1,5.8252,12.9646,40.7405,39.0431,0.299623,0.0672738,0.753181,0.585012,0.998761,0.1754,0.590777,0.264135,0.215501
335,751.065,1,5.83606,12.8871,40.8149,39.1453,0.300479,0.0670374,0.783885,0.58573,0.998761,0.179914,0.533356,0.269431,0.218188
336,748.336,1,5.86202,12.5735,40.6084,38.9545,0.299423,0.0662234,0.81722,0.576425,0.998761,0.177794,0.579342,0.272072,0.21846
337,745.85,1,5.72425,12.5822,40.5115,38.9993,0.301547,0.0638279,0.781598,0.600179,0.998761,0.180197,0.612105,0.283794,0.22554
338,744.7,1,5.69173,13.1108,40.685,39.0901,0.304377,0.0626678,0.785495,0.608833,0.998761,0.180989,0.613007,0.28918,0.229519
339,751.525,1,5.66314,12.6866,40.7366,39.1043,0.305272,0.0633726,0.758524,0.613907,0.998761,0.185263,0.580463,0.283133,0.227038
340,750.791,1,5.7012,12.9273,40.6564,38.9037,0.302212,0.0653906,0.747037,0.604175,0.998761,0.178831,0.550302,0.286538,0.229287
341,746.655,1,5.66784,12.3495,40.6326,38.9427,0.305619,0.0643852,0.732546,0.612204,0.998761,0.176888,0.526494,0.290943,0.231391
342,747.873,1,5.70929,12.7477,40.5451,38.7985,0.302658,0.0639785,0.756081,0.599584,0.998761,0.178796,0.574472,0.290971,0.23137
343,751.528,1,5.62254,12.6697,40.3802,38.6884,0.30516,0.0655822,0.706758,0.614802,0.998761,0.177738,0.586338,0.296181,0.23385
344,751.477,1,5.81342,12.9141,40.4012,38.6536,0.298881,0.0658306,0.728822,0.588769,0.998761,0.175512,0.55837,0.297196,0.237196
345,758.889,1,5.58444,13.4721,40.3632,38.6284,0.30209,0.0668591,0.715826,0.621182,0.998761,0.177201,0.595982,0.301115,0.239681
346,753.765,1,5.507,13.024,40.4109,38.8222,0.301858,0.0649185,0.71384,0.63924,0.998761,0.180598,0.594342,0.304892,0.244982
347,761.14,1,5.67719,13.6285,40.3263,38.7425,0.304657,0.0651529,0.715962,0.611425,0.998761,0.180479,0.631946,0.305337,0.245119
348,757.15,1,5.63166,13.2354,40.2732,38.6654,0.304822,0.0658458,0.687597,0.617128,0.998761,0.183236,0.592404,0.307685,0.245759
349,752.612,1,5.70153,12.5298,40.7586,39.0387,0.305377,0.0654151,0.719081,0.606194,0.998761,0.18365,0.521216,0.308608,0.24606
350,760.315,1,5.75397,13.1063,40.74,39.0987,0.298563,0.0668911,0.687862,0.5976,0.998761,0.180504,0.527172,0.311095,0.247722
351,758.469,1,5.72973,13.0479,40.6203,38.9646,0.299997,0.0665797,0.729577,0.601975,0.998761,0.183468,0.526991,0.307704,0.24118
352,752.56,1,5.70411,12.6764,40.5647,38.9611,0.300125,0.0657919,0.703995,0.60482,0.998761,0.182911,0.559795,0.294472,0.232634
353,753.043,1,5.69141,12.2946,40.657,39.01,0.30179,0.0664938,0.700904,0.607506,0.998761,0.180513,0.531656,0.291804,0.230401
354,756.328,1,5.58006,11.9174,40.905,39.2462,0.301166,0.0668851,0.696393,0.625507,0.998761,0.182608,0.548548,0.296657,0.235833
355,752.592,1,5.54723,12.3633,40.653,39.0692,0.306587,0.0643342,0.70996,0.635355,0.998761,0.179311,0.546801,0.298339,0.238379
356,751.464,1,5.48976,12.2709,40.7657,39.1305,0.303906,0.0652775,0.702595,0.643108,0.998761,0.175954,0.554826,0.299507,0.23805
357,754.145,1,5.67054,13.4272,40.9043,39.1946,0.302612,0.0659666,0.701248,0.620004,0.998761,0.178372,0.5208,0.296127,0.236466
358,755.287,1,5.64228,12.872,41.1908,39.4209,0.300027,0.0687129,0.75244,0.622835,0.998761,0.177592,0.48038,0.299817,0.239361
359,763.773,1,5.50512,13.3728,41.2277,39.4824,0.299974,0.069652,0.770416,0.646275,0.998761,0.176059,0.513572,0.304378,0.241991
360,761.328,1,5.4604,13.0483,41.0899,39.4048,0.29809,0.07071,0.800122,0.655731,0.998761,0.175071,0.511341,0.303256,0.242864
361,757.299,1,5.52748,12.9707,41.0714,39.443,0.300691,0.0668406,0.770779,0.640965,0.998761,0.17759,0.498381,0.306767,0.245611
362,760.912,1,5.70956,13.1465,40.9335,39.3861,0.300295,0.0693077,0.712282,0.608445,0.998761,0.17412,0.51639,0.300961,0.240523
363,750.337,1,5.73088,12.9904,41.0012,39.3856,0.299485,0.0669636,0.724213,0.602322,0.998761,0.177235,0.520576,0.299066,0.239107
364,752.774,1,5.75565,12.4059,40.9503,39.311,0.30117,0.0650457,0.716995,0.596844,0.998761,0.184026,0.550907,0.300938,0.24067
365,753.727,1,5.84681,13.2981,41.0374,39.3249,0.303292,0.0654051,0.705764,0.589044,0.998761,0.181564,0.539116,0.313715,0.248419
