parameter,value,se_lin,rse_lin
Cl_pop,5.26293875999295,0.294598162540433,5.59759814763316
beta_Cl_logtCLCRMLMIN,0.612333167288804,0.241189542437812,39.3886131475965
V1_pop,21.0124110478284,1.72557759828563,8.21218276359562
Q_pop,5.78025965118551,1.1023589704465,19.0710977874568
V2_pop,19.9206243780184,2.36447814428895,11.8694981614033
omega_Cl,0.206091439473468,0.0396393429722373,19.2338619563771
omega_V1,0.274183476892912,0.0620928512104621,22.6464599231535
omega_Q,0.564422389530454,0.161098397311113,28.5421698889605
omega_V2,0.249698805077608,0.137601773743059,55.1071014137577
corr_V2_V1,0.998681061428544,0.343879430741394,34.4333585588875
a1,0.300617784161055,0.0220757174283187,7.34345025192912
a2,0.0673405151788077,0.00681515094406447,10.1204318469622
