fi_abscissa,fi_pdf,fi_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,split
0.356543,0.0020592,4.42244e-05,3.75685,0.000255894,6.14779e-05,23.6552,2.44497e-09,1.00348e-09,0.562835,9.58687e-05,8.77642e-06,4.34367,0.00039575,0.000336686,All
0.378504,0.00481343,0.000116095,3.99949,0.000587545,0.000159172,24.2766,9.92009e-09,4.34553e-09,1.37153,0.00346935,0.00103915,6.93285,0.00184368,0.00300256,All
0.400465,0.0101773,0.000274633,4.24213,0.00121859,0.000370703,24.898,3.67072e-08,1.71589e-08,2.18022,0.0125206,0.00721302,9.52202,0.00411008,0.0105972,All
0.422426,0.0197277,0.000593649,4.48477,0.00231559,0.000788126,25.5193,1.2461e-07,6.21524e-08,2.98892,0.0238607,0.021896,12.1112,0.00662153,0.0244917,All
0.444387,0.0354501,0.00118623,4.72741,0.00407858,0.00154824,26.1407,3.90194e-07,2.07652e-07,3.79761,0.0343991,0.0455723,14.7004,0.00895738,0.044728,All
0.466348,0.0596064,0.00221241,4.97005,0.00672344,0.00283874,26.7621,1.13265e-06,6.43168e-07,4.6063,0.0427443,0.0769318,17.2896,0.0109049,0.0705369,All
0.488309,0.0945165,0.00388303,5.2127,0.0104573,0.00489919,27.3834,3.06194e-06,1.85545e-06,5.415,0.0486092,0.114033,19.8787,0.0123964,0.100802,All
0.51027,0.142282,0.006458,5.45534,0.0154509,0.00801555,28.0048,7.74138e-06,5.00706e-06,6.22369,0.0522207,0.154943,22.4679,0.0134453,0.134347,All
0.532231,0.2045,0.0102384,5.69798,0.0218129,0.0125081,28.6262,1.83763e-05,1.26898e-05,7.03238,0.0539828,0.197996,25.0571,0.0141029,0.170088,All
0.554192,0.282009,0.0155522,5.94062,0.0295702,0.0187141,29.2475,4.11044e-05,3.03158e-05,7.84108,0.0543169,0.241869,27.6463,0.0144336,0.207095,All
0.576153,0.374711,0.0227362,6.18326,0.0386575,0.0269659,29.8689,8.69281e-05,6.85042e-05,8.64977,0.0535969,0.285564,30.2354,0.0145018,0.244604,All
0.598114,0.481499,0.0321137,6.4259,0.0489171,0.0375689,30.4903,0.000174351,0.000146887,9.45847,0.0521301,0.328356,32.8246,0.0143658,0.282014,All
0.620075,0.600288,0.0439727,6.66855,0.0601086,0.0507801,31.1116,0.000332612,0.000299751,10.2672,0.0501583,0.369743,35.4138,0.0140757,0.318862,All
0.642036,0.728147,0.0585461,6.91119,0.0719264,0.0667894,31.733,0.000605151,0.000583786,11.0759,0.0478663,0.409395,38.003,0.013673,0.354806,All
0.663997,0.861505,0.0759948,7.15383,0.084022,0.0857073,32.3544,0.00105267,0.0010879,11.8845,0.0453924,0.447112,40.5922,0.0131911,0.389598,All
0.685958,0.996405,0.0963965,7.39647,0.0960291,0.107557,32.9758,0.00175482,0.00194459,12.6932,0.0428379,0.482791,43.1813,0.0126566,0.423069,All
0.707919,1.12878,0.11974,7.63911,0.107587,0.132272,33.5971,0.00280957,0.00334162,13.5019,0.0402756,0.516396,45.7705,0.0120905,0.455111,All
0.72988,1.25468,0.145927,7.88175,0.118363,0.159704,34.2185,0.00432907,0.00553236,14.3106,0.0377568,0.547944,48.3597,0.0115087,0.485664,All
0.751841,1.37056,0.174775,8.1244,0.128067,0.189625,34.8399,0.00643173,0.00884234,15.1193,0.0353164,0.577485,50.9489,0.0109235,0.514705,All
0.773802,1.47336,0.206029,8.36704,0.136466,0.221747,35.4612,0.00923032,0.0136696,15.928,0.0329773,0.605092,53.5381,0.0103439,0.542235,All
0.795763,1.56069,0.239375,8.60968,0.143389,0.25573,36.0826,0.0128171,0.0204767,16.7367,0.0307535,0.630853,56.1272,0.00977674,0.56828,All
0.817724,1.63088,0.274452,8.85232,0.14873,0.291203,36.704,0.0172479,0.0297731,17.5454,0.0286523,0.654865,58.7164,0.00922667,0.592877,All
0.839685,1.68295,0.310873,9.09496,0.152442,0.327774,37.3253,0.0225266,0.0420874,18.3541,0.0266766,0.677229,61.3056,0.008697,0.616077,All
0.861646,1.71662,0.348236,9.3376,0.154537,0.365049,37.9467,0.028594,0.0579316,19.1628,0.0248258,0.698045,63.8948,0.00818987,0.637933,All
0.883607,1.73221,0.386139,9.58025,0.155074,0.402642,38.5681,0.0353221,0.0777596,19.9715,0.023097,0.717414,66.4839,0.00770651,0.658507,All
0.905568,1.73057,0.424192,9.82289,0.154154,0.440186,39.1895,0.0425154,0.101925,20.7802,0.0214859,0.735434,69.0731,0.0072475,0.677861,All
0.927529,1.71296,0.462032,10.0655,0.151906,0.477343,39.8108,0.049921,0.130639,21.5889,0.019987,0.752196,71.6623,0.00681291,0.696058,All
0.94949,1.68095,0.499323,10.3082,0.148481,0.513808,40.4322,0.0572448,0.163946,22.3976,0.0185944,0.767789,74.2515,0.00640242,0.713162,All
0.971451,1.63635,0.53577,10.5508,0.144042,0.549316,41.0536,0.0641739,0.201698,23.2063,0.017302,0.782297,76.8407,0.00601546,0.729233,All
0.993412,1.58104,0.571117,10.7935,0.13876,0.583642,41.6749,0.0704009,0.243552,24.015,0.0161033,0.795798,79.4298,0.00565126,0.744332,All
1.01537,1.51697,0.605149,11.0361,0.1328,0.616599,42.2963,0.0756487,0.288985,24.8236,0.0149922,0.808366,82.019,0.00530893,0.758516,All
1.03733,1.44603,0.637695,11.2787,0.126324,0.648046,42.9177,0.0796914,0.337314,25.6323,0.0139626,0.820068,84.6082,0.00498748,0.771841,All
