fi_abscissa,fi_cdf,Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,V2_abscissa,V2_cdf,split
0.356543,0,3.75685,0,23.6552,0,0.562835,0.00714286,4.34367,0.00714286,All
0.483966,0.00714286,4.47609,0.00714286,34.7206,0.00714286,0.986454,0.0142857,6.35003,0.0142857,All
0.498688,0.0142857,4.84567,0.0142857,35.6056,0.0142857,1.09513,0.0214286,11.5099,0.0214286,All
0.499951,0.0214286,4.86388,0.0214286,35.7763,0.0214286,1.36721,0.0285714,12.2147,0.0285714,All
0.515737,0.0285714,5.04336,0.0285714,35.8498,0.0285714,1.44017,0.0357143,13.1427,0.0357143,All
0.525763,0.0357143,5.07503,0.0357143,36.7886,0.0357143,1.52419,0.0428571,13.4362,0.0428571,All
0.553532,0.0428571,5.19578,0.0428571,37.1747,0.0428571,1.58051,0.05,14.9655,0.05,All
0.555987,0.05,5.20032,0.05,37.2019,0.05,2.55056,0.0571429,15.1564,0.0571429,All
0.562625,0.0571429,5.24085,0.0571429,37.2603,0.0571429,3.0318,0.0642857,15.5533,0.0642857,All
0.56824,0.0642857,5.3675,0.0642857,37.8111,0.0642857,3.66142,0.0714286,17.3059,0.0714286,All
0.600624,0.0714286,5.6822,0.0714286,37.9547,0.0714286,3.88871,0.0785714,21.3918,0.0785714,All
0.655733,0.0785714,6.48709,0.0785714,38.1494,0.0785714,3.90444,0.0857143,22.0518,0.0857143,All
0.660194,0.0857143,6.69968,0.0857143,38.3427,0.0857143,4.50593,0.0928571,22.2183,0.0928571,All
0.683799,0.0928571,6.72365,0.0928571,38.726,0.0928571,4.82091,0.1,23.1848,0.1,All
0.71064,0.1,6.75982,0.1,39.0402,0.1,5.04012,0.107143,23.453,0.107143,All
0.716035,0.107143,6.82682,0.107143,39.0683,0.107143,5.31909,0.114286,24.1446,0.114286,All
0.716953,0.114286,6.96381,0.114286,39.1529,0.114286,5.69109,0.121429,25.153,0.121429,All
0.727946,0.121429,7.10279,0.121429,39.1991,0.121429,5.96955,0.128571,25.2046,0.128571,All
0.734328,0.128571,7.10645,0.128571,39.262,0.128571,6.35446,0.135714,27.2696,0.135714,All
0.746205,0.135714,7.24928,0.135714,39.2704,0.135714,6.36966,0.142857,27.6855,0.142857,All
0.747341,0.142857,7.57621,0.142857,39.4175,0.142857,6.48051,0.15,27.706,0.15,All
0.755013,0.15,8.15353,0.15,39.5768,0.15,6.53248,0.157143,29.0256,0.157143,All
0.759198,0.157143,8.62856,0.157143,39.9443,0.157143,6.87628,0.164286,29.1432,0.164286,All
0.764097,0.164286,8.83227,0.164286,40.3771,0.164286,6.93016,0.171429,29.9373,0.171429,All
0.766998,0.171429,9.07516,0.171429,40.4116,0.171429,7.01283,0.178571,29.9433,0.178571,All
0.773768,0.178571,9.1305,0.178571,40.476,0.178571,7.09022,0.185714,30.5688,0.185714,All
0.781243,0.185714,9.15152,0.185714,40.6952,0.185714,7.09741,0.192857,32.5534,0.192857,All
0.782679,0.192857,9.18035,0.192857,40.733,0.192857,7.1764,0.2,32.9382,0.2,All
0.784393,0.2,9.3404,0.2,40.891,0.2,7.40489,0.207143,33.7086,0.207143,All
0.785706,0.207143,9.35148,0.207143,40.973,0.207143,7.41308,0.214286,33.9723,0.214286,All
0.796208,0.214286,9.44923,0.214286,41.0031,0.214286,7.92122,0.221429,34.7524,0.221429,All
0.800906,0.221429,9.45793,0.221429,41.0719,0.221429,8.00116,0.228571,35.0996,0.228571,All
0.813266,0.228571,9.46762,0.228571,41.0874,0.228571,8.03976,0.235714,35.656,0.235714,All
0.817887,0.235714,9.50305,0.235714,41.3074,0.235714,8.24289,0.242857,35.662,0.242857,All
0.818626,0.242857,9.53722,0.242857,41.6893,0.242857,8.29492,0.25,36.8393,0.25,All
0.823592,0.25,9.53965,0.25,41.88,0.25,8.3639,0.257143,38.2059,0.257143,All
0.825112,0.257143,9.61988,0.257143,41.9701,0.257143,8.43426,0.264286,38.6886,0.264286,All
0.826136,0.264286,9.63827,0.264286,42.0264,0.264286,8.45645,0.271429,38.9969,0.271429,All
0.826636,0.271429,9.66509,0.271429,42.1172,0.271429,8.63931,0.278571,39.3531,0.278571,All
0.828459,0.278571,9.71778,0.278571,42.251,0.278571,8.69689,0.285714,41.1367,0.285714,All
0.829277,0.285714,9.76884,0.285714,42.2565,0.285714,8.72698,0.292857,41.171,0.292857,All
0.831758,0.292857,9.83435,0.292857,42.4302,0.292857,8.74278,0.3,41.4968,0.3,All
0.833337,0.3,9.84135,0.3,42.4506,0.3,8.84521,0.307143,41.7989,0.307143,All
0.835234,0.307143,9.86017,0.307143,42.492,0.307143,8.89749,0.314286,42.1724,0.314286,All
0.838695,0.314286,9.88529,0.314286,42.5727,0.314286,8.95832,0.321429,42.3033,0.321429,All
0.846267,0.321429,9.8973,0.321429,42.5967,0.321429,8.99006,0.328571,42.5152,0.328571,All
0.850746,0.328571,9.9182,0.328571,42.651,0.328571,9.0807,0.335714,43.8519,0.335714,All
0.863974,0.335714,9.92077,0.335714,42.6677,0.335714,9.20821,0.342857,44.3195,0.342857,All
0.875248,0.342857,9.92331,0.342857,42.7803,0.342857,9.26064,0.35,44.7524,0.35,All
0.878167,0.35,9.94202,0.35,42.8857,0.35,9.32977,0.357143,46.7412,0.357143,All
0.880433,0.357143,9.97936,0.357143,42.9053,0.357143,9.4595,0.364286,46.8624,0.364286,All
0.88509,0.364286,10.0729,0.364286,42.9324,0.364286,9.83877,0.371429,47.4456,0.371429,All
0.887292,0.371429,10.0891,0.371429,42.9766,0.371429,10.0737,0.378571,48.6561,0.378571,All
0.888189,0.378571,10.1519,0.378571,43.0037,0.378571,10.2244,0.385714,50.1918,0.385714,All
0.890083,0.385714,10.1838,0.385714,43.052,0.385714,10.3197,0.392857,50.4833,0.392857,All
0.893711,0.392857,10.2206,0.392857,43.0843,0.392857,10.3671,0.4,50.9873,0.4,All
0.894281,0.4,10.2244,0.4,43.2777,0.4,10.5545,0.407143,51.2492,0.407143,All
0.894312,0.407143,10.2326,0.407143,43.3561,0.407143,10.6055,0.414286,51.3405,0.414286,All
0.896409,0.414286,10.2706,0.414286,43.3578,0.414286,10.6509,0.421429,51.5609,0.421429,All
0.898554,0.421429,10.2822,0.421429,43.3876,0.421429,10.7755,0.428571,51.9435,0.428571,All
0.902288,0.428571,10.3039,0.428571,43.399,0.428571,11.2677,0.435714,52.2476,0.435714,All
0.905102,0.435714,10.3055,0.435714,43.4025,0.435714,11.3645,0.442857,52.7082,0.442857,All
0.926925,0.442857,10.36,0.442857,43.521,0.442857,11.3984,0.45,53.7413,0.45,All
0.927814,0.45,10.4283,0.45,43.6578,0.45,11.4996,0.457143,53.9023,0.457143,All
0.928409,0.457143,10.4921,0.457143,43.7582,0.457143,11.5146,0.464286,53.9723,0.464286,All
0.929055,0.464286,10.5147,0.464286,43.9352,0.464286,11.5431,0.471429,55.09,0.471429,All
0.929194,0.471429,10.547,0.471429,43.9648,0.471429,11.603,0.478571,56.0873,0.478571,All
0.932161,0.478571,10.5518,0.478571,44.0448,0.478571,11.6664,0.485714,56.3443,0.485714,All
0.934047,0.485714,10.5775,0.485714,44.0925,0.485714,11.7419,0.492857,56.3949,0.492857,All
0.944281,0.492857,10.5894,0.492857,44.2026,0.492857,11.7804,0.5,57.4057,0.5,All
0.944857,0.5,10.634,0.5,44.2346,0.5,11.9456,0.507143,57.8374,0.507143,All
0.949057,0.507143,10.6805,0.507143,44.346,0.507143,11.957,0.514286,58.2776,0.514286,All
0.969371,0.514286,10.6853,0.514286,44.3515,0.514286,11.9921,0.521429,58.3748,0.521429,All
0.969489,0.521429,10.7043,0.521429,44.6142,0.521429,12.5393,0.528571,58.6287,0.528571,All
0.983588,0.528571,10.7354,0.528571,44.6904,0.528571,12.824,0.535714,58.8688,0.535714,All
0.995306,0.535714,10.7474,0.535714,44.7778,0.535714,12.9912,0.542857,59.0352,0.542857,All
1.00114,0.542857,10.8175,0.542857,44.7966,0.542857,13.0534,0.55,61.0687,0.55,All
1.01037,0.55,10.8843,0.55,44.9858,0.55,13.0593,0.557143,61.9391,0.557143,All
1.01082,0.557143,10.9896,0.557143,44.9954,0.557143,13.1967,0.564286,62.059,0.564286,All
1.01337,0.564286,11.0425,0.564286,45.0869,0.564286,13.3652,0.571429,62.1593,0.571429,All
1.02056,0.571429,11.13,0.571429,45.0982,0.571429,13.5076,0.578571,62.8754,0.578571,All
1.0242,0.578571,11.1964,0.578571,45.1756,0.578571,13.5383,0.585714,62.9163,0.585714,All
1.02839,0.585714,11.2058,0.585714,45.3507,0.585714,13.683,0.592857,63.1783,0.592857,All
1.03142,0.592857,11.2284,0.592857,45.3724,0.592857,13.9558,0.6,63.3034,0.6,All
1.05301,0.6,11.2424,0.6,45.4802,0.6,14.116,0.607143,64.2014,0.607143,All
1.05625,0.607143,11.2474,0.607143,45.568,0.607143,14.2543,0.614286,64.213,0.614286,All
1.06088,0.614286,11.2948,0.614286,45.8699,0.614286,14.2743,0.621429,64.6448,0.621429,All
1.06107,0.621429,11.4103,0.621429,45.9217,0.621429,14.3456,0.628571,65.0135,0.628571,All
1.06355,0.628571,11.4878,0.628571,45.9538,0.628571,14.462,0.635714,65.8109,0.635714,All
1.06504,0.635714,11.5308,0.635714,45.9867,0.635714,14.7063,0.642857,66.7769,0.642857,All
1.07123,0.642857,11.5495,0.642857,45.989,0.642857,14.8297,0.65,67.5157,0.65,All
1.07193,0.65,11.5703,0.65,46.1881,0.65,14.8673,0.657143,68.1761,0.657143,All
1.0763,0.657143,11.6047,0.657143,46.2421,0.657143,15.1105,0.664286,68.8243,0.664286,All
1.08608,0.664286,11.6751,0.664286,46.3648,0.664286,15.3796,0.671429,70.2116,0.671429,All
1.08991,0.671429,11.7057,0.671429,46.4931,0.671429,16.0834,0.678571,71.7005,0.678571,All
1.09044,0.678571,11.771,0.678571,46.5144,0.678571,16.3095,0.685714,72.2834,0.685714,All
1.09375,0.685714,11.8417,0.685714,46.6249,0.685714,16.3323,0.692857,74.3395,0.692857,All
1.10153,0.692857,11.8849,0.692857,46.7106,0.692857,16.3391,0.7,74.8695,0.7,All
1.10432,0.7,11.8896,0.7,47.0662,0.7,16.5133,0.707143,74.8906,0.707143,All
1.10467,0.707143,11.8923,0.707143,47.2038,0.707143,16.524,0.714286,74.9994,0.714286,All
1.10868,0.714286,11.9066,0.714286,47.2798,0.714286,16.8376,0.721429,75.588,0.721429,All
1.10869,0.721429,11.9572,0.721429,47.3446,0.721429,16.9372,0.728571,77.2172,0.728571,All
1.12727,0.728571,11.9712,0.728571,47.4761,0.728571,17.3872,0.735714,77.4738,0.735714,All
1.12956,0.735714,12.0159,0.735714,47.5158,0.735714,17.5261,0.742857,77.4865,0.742857,All
1.1326,0.742857,12.0801,0.742857,47.7177,0.742857,17.7452,0.75,78.4552,0.75,All
1.13703,0.75,12.0826,0.75,47.8152,0.75,17.8127,0.757143,80.9755,0.757143,All
1.13816,0.757143,12.143,0.757143,47.9475,0.757143,17.8985,0.764286,81.8553,0.764286,All
1.1484,0.764286,12.167,0.764286,48.095,0.764286,18.0436,0.771429,83.5015,0.771429,All
1.15704,0.771429,12.2541,0.771429,48.1448,0.771429,18.6654,0.778571,83.5894,0.778571,All
1.16066,0.778571,12.3027,0.778571,48.1848,0.778571,19.2254,0.785714,83.8781,0.785714,All
1.17057,0.785714,12.3291,0.785714,48.1919,0.785714,19.2862,0.792857,84.1699,0.792857,All
1.17285,0.792857,12.4029,0.792857,48.2243,0.792857,19.289,0.8,84.4865,0.8,All
1.1748,0.8,12.449,0.8,48.2393,0.8,19.4883,0.807143,84.5524,0.807143,All
1.18173,0.807143,12.4868,0.807143,48.2979,0.807143,20.4441,0.814286,88.4713,0.814286,All
1.18179,0.814286,12.5637,0.814286,48.3771,0.814286,21.9261,0.821429,90.1889,0.821429,All
1.1866,0.821429,12.6088,0.821429,48.5145,0.821429,23.3337,0.828571,90.2666,0.828571,All
1.18884,0.828571,12.622,0.828571,48.5598,0.828571,23.6633,0.835714,90.3161,0.835714,All
1.20384,0.835714,12.6427,0.835714,49.3775,0.835714,24.0878,0.842857,90.8741,0.842857,All
1.20385,0.842857,12.6579,0.842857,49.395,0.842857,25.7481,0.85,96.9553,0.85,All
1.2063,0.85,12.6774,0.85,49.4181,0.85,25.807,0.857143,100.699,0.857143,All
1.21049,0.857143,12.7057,0.857143,49.7343,0.857143,26.0255,0.864286,103.07,0.864286,All
1.21186,0.864286,12.7182,0.864286,49.7698,0.864286,26.3468,0.871429,104.264,0.871429,All
1.21506,0.871429,12.7322,0.871429,50.185,0.871429,27.2417,0.878571,110.777,0.878571,All
1.21642,0.878571,12.7391,0.878571,50.4833,0.878571,27.6029,0.885714,112.522,0.885714,All
1.22018,0.885714,12.7509,0.885714,50.5463,0.885714,28.0047,0.892857,112.758,0.892857,All
1.23386,0.892857,12.7595,0.892857,50.8048,0.892857,28.1972,0.9,125.446,0.9,All
1.25874,0.9,12.8032,0.9,50.9134,0.9,28.6718,0.907143,125.457,0.907143,All
1.28408,0.907143,12.8615,0.907143,50.9448,0.907143,28.7222,0.914286,128.763,0.914286,All
1.28555,0.914286,12.944,0.914286,50.9652,0.914286,29.8947,0.921429,130.17,0.921429,All
1.30322,0.921429,12.9475,0.921429,50.985,0.921429,31.5773,0.928571,130.684,0.928571,All
1.30393,0.928571,12.9917,0.928571,51.3178,0.928571,33.0603,0.935714,130.896,0.935714,All
1.31945,0.935714,13.0509,0.935714,51.3222,0.935714,37.0393,0.942857,138.631,0.942857,All
