simulations,OFV
500,960.191
1000,959.74
1500,960.092
2000,957.334
2500,958.186
3000,958.737
3500,958.457
4000,958.916
4500,959.622
5000,959.748
5500,959.906
6000,960.127
6500,959.487
7000,959.399
7500,959.241
8000,959.551
8500,959.761
9000,959.512
9500,959.191
10000,958.704
10500,958.52
11000,958.579
11500,958.219
12000,957.871
12500,957.977
13000,957.446
13500,957.393
14000,957.339
14500,957.211
15000,957.246
15500,957.061
16000,957.149
16500,956.834
17000,956.908
17500,956.977
18000,956.789
18500,956.958
19000,956.955
19500,956.995
20000,956.892
20500,956.758
21000,956.662
21500,956.738
22000,956.9
22500,956.824
23000,956.509
23500,956.331
24000,956.222
24500,956.142
25000,956.212
25500,956.235
26000,956.14
26500,956.152
27000,956.085
27500,956.149
28000,956.264
28500,956.308
29000,956.435
29500,956.532
30000,956.629
