simulations,OFV
500,960.388
1000,962.87
1500,962.466
2000,962.192
2500,962.687
3000,962.401
3500,962.258
4000,962.418
4500,962.218
5000,962.196
5500,962.194
6000,962.528
6500,962.577
7000,962.834
7500,962.879
8000,962.772
8500,963.064
9000,962.915
9500,962.756
10000,962.868
10500,962.815
11000,962.771
11500,962.77
12000,962.617
12500,962.708
13000,962.601
13500,962.422
14000,962.411
14500,962.354
15000,960.715
15500,960.82
16000,960.821
16500,960.875
17000,960.959
17500,961.058
18000,960.991
18500,960.973
19000,960.996
19500,960.955
20000,960.924
20500,960.611
21000,960.635
21500,960.616
22000,960.644
22500,960.682
23000,960.726
23500,960.735
24000,960.793
24500,960.86
25000,960.945
25500,960.939
26000,960.91
26500,960.864
27000,960.879
27500,960.881
28000,960.953
28500,960.928
29000,960.939
29500,961.05
30000,961.018
