id,linearization,importanceSampling
1,36.835309,37.083702
2,23.114103,22.617633
3,42.828370,43.306354
4,29.752804,29.709265
5,25.390907,25.069829
6,29.174012,29.169012
7,29.691773,29.758741
8,19.908734,19.727213
9,24.868856,24.970990
10,35.084717,35.135601
11,23.118384,22.862614
12,24.564444,24.471931
13,23.818732,23.242835
14,25.166736,25.219628
