simulations,OFV
500,980.374
1000,980.844
1500,979.487
2000,980.724
2500,981.778
3000,981.682
3500,981.147
4000,980.673
4500,981.559
5000,981.711
5500,981.786
6000,981.747
6500,981.658
7000,981.849
7500,981.465
8000,981.532
8500,981.792
9000,981.564
9500,981.538
10000,981.348
10500,981.354
11000,981.079
11500,981.219
12000,981.158
12500,981.278
13000,981.261
13500,981.256
14000,981.361
14500,981.136
15000,981.097
15500,981.226
16000,980.89
16500,980.881
17000,980.993
17500,981.095
18000,981.109
18500,981.213
19000,981.316
19500,981.366
20000,981.415
20500,981.449
21000,981.416
21500,981.345
22000,981.416
22500,981.502
23000,981.547
23500,981.386
24000,981.449
24500,981.533
25000,981.582
25500,981.575
26000,981.467
26500,981.516
27000,981.565
27500,981.586
28000,981.687
28500,981.639
29000,981.394
29500,981.403
30000,981.471
