parameter,value,se_sa,rse_sa
Cl_pop,2.76205429254607,0.628781178729757,22.7649825865713
beta_Cl_centeredCLCR,0.586432459491194,0.209018955554307,35.6424601284277
V1_pop,21.2948390630222,1.60320178861868,7.5285931200231
Q_pop,4.91283490071813,1.09916970491757,22.3734305575158
V2_pop,28.9670264142626,4.09427867650237,14.1342732869759
omega_Cl,0.225347615903319,0.0439327476115908,19.4955457751279
omega_V1,0.230530967830466,0.0572322369790467,24.8262684695514
omega_Q,0.712477463690256,0.187836629765104,26.3638696432881
corr_V1_Cl,0.649986594021838,0.197110892982166,30.3253782147304
b,0.0245093636836242,0.00225890590991222,9.21650165655462
