pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4.40678,0.00104167,-4,0,All
-2.06601,0.0104167,-3.81047,0.00208333,-2.07341,0.0104167,All
-1.88015,0.0208333,-3.63782,0.003125,-1.83611,0.0208333,All
-1.79729,0.03125,-3.42828,0.00416667,-1.81647,0.03125,All
-1.64336,0.0416667,-2.99594,0.00520833,-1.63071,0.0416667,All
-1.5226,0.0520833,-2.82245,0.00625,-1.55947,0.0520833,All
-1.51029,0.0625,-2.77025,0.00729167,-1.54067,0.0625,All
-1.48984,0.0729167,-2.71038,0.00833333,-1.44446,0.0729167,All
-1.43127,0.0833333,-2.6368,0.009375,-1.42088,0.0833333,All
-1.26878,0.09375,-2.61748,0.0104167,-1.23929,0.09375,All
-1.25753,0.104167,-2.45766,0.0114583,-1.23342,0.104167,All
-1.17774,0.114583,-2.32104,0.0125,-1.23197,0.114583,All
-1.16744,0.125,-2.30988,0.0135417,-1.20067,0.125,All
-1.12339,0.135417,-2.26322,0.0145833,-1.1428,0.135417,All
-1.1054,0.145833,-2.22688,0.015625,-1.13306,0.145833,All
-1.06476,0.15625,-2.17841,0.0166667,-1.10355,0.15625,All
-1.06305,0.166667,-2.16722,0.0177083,-1.07178,0.166667,All
-1.05093,0.177083,-2.10962,0.01875,-1.0381,0.177083,All
-1.01485,0.1875,-2.0945,0.0197917,-1.00033,0.1875,All
-0.982407,0.197917,-2.06909,0.0208333,-0.929827,0.197917,All
-0.936091,0.208333,-2.06315,0.021875,-0.917166,0.208333,All
-0.729213,0.21875,-2.03938,0.0229167,-0.727519,0.21875,All
-0.70587,0.229167,-2.0371,0.0239583,-0.707797,0.229167,All
-0.683621,0.239583,-1.99702,0.025,-0.676876,0.239583,All
-0.662894,0.25,-1.95119,0.0260417,-0.659803,0.25,All
-0.658365,0.260417,-1.91907,0.0270833,-0.648973,0.260417,All
-0.620496,0.270833,-1.89935,0.028125,-0.648429,0.270833,All
-0.612231,0.28125,-1.84962,0.0291667,-0.63286,0.28125,All
-0.597052,0.291667,-1.80931,0.0302083,-0.627363,0.291667,All
-0.594574,0.302083,-1.80562,0.03125,-0.616351,0.302083,All
-0.585489,0.3125,-1.78668,0.0322917,-0.61023,0.3125,All
-0.575032,0.322917,-1.78418,0.0333333,-0.584854,0.322917,All
-0.554755,0.333333,-1.76878,0.034375,-0.553166,0.333333,All
-0.554195,0.34375,-1.75621,0.0354167,-0.541237,0.34375,All
-0.5353,0.354167,-1.72687,0.0364583,-0.534969,0.354167,All
-0.515079,0.364583,-1.71763,0.0375,-0.528948,0.364583,All
-0.440056,0.375,-1.65311,0.0385417,-0.476771,0.375,All
-0.367516,0.385417,-1.65113,0.0395833,-0.358658,0.385417,All
-0.3555,0.395833,-1.63428,0.040625,-0.334027,0.395833,All
-0.268405,0.40625,-1.6256,0.0416667,-0.309724,0.40625,All
-0.26467,0.416667,-1.6189,0.0427083,-0.307759,0.416667,All
-0.256446,0.427083,-1.61091,0.04375,-0.302188,0.427083,All
-0.249874,0.4375,-1.59887,0.0447917,-0.299419,0.4375,All
-0.233556,0.447917,-1.5951,0.0458333,-0.282427,0.447917,All
-0.206315,0.458333,-1.58338,0.046875,-0.258282,0.458333,All
-0.203388,0.46875,-1.57556,0.0479167,-0.222671,0.46875,All
-0.200281,0.479167,-1.55796,0.0489583,-0.210701,0.479167,All
-0.184824,0.489583,-1.55434,0.05,-0.207541,0.489583,All
-0.176801,0.5,-1.54166,0.0510417,-0.195368,0.5,All
-0.174969,0.510417,-1.52628,0.0520833,-0.174223,0.510417,All
-0.170909,0.520833,-1.52295,0.053125,-0.152554,0.520833,All
-0.140096,0.53125,-1.51807,0.0541667,-0.142242,0.53125,All
-0.136878,0.541667,-1.51218,0.0552083,-0.132425,0.541667,All
-0.119005,0.552083,-1.50594,0.05625,-0.127423,0.552083,All
-0.0863263,0.5625,-1.50308,0.0572917,-0.123574,0.5625,All
-0.0769408,0.572917,-1.50151,0.0583333,-0.11981,0.572917,All
