simulations,OFV
500,944.02
1000,945.251
1500,944.215
2000,942.761
2500,943.009
3000,943.153
3500,942.943
4000,942.943
4500,943.12
5000,943.067
5500,943.037
6000,943.307
6500,942.7
7000,942.734
7500,942.637
8000,942.786
8500,943.006
9000,942.65
9500,942.445
10000,942.13
10500,942.103
11000,942.209
11500,941.989
12000,941.668
12500,941.139
13000,941.062
13500,940.992
14000,941.01
14500,940.96
15000,940.974
15500,940.996
16000,941.064
16500,941.026
17000,941.079
17500,941.131
18000,940.908
18500,941.03
19000,940.895
19500,940.726
20000,940.542
20500,940.494
21000,940.373
21500,940.426
22000,940.518
22500,940.528
23000,940.353
23500,940.309
24000,940.255
24500,940.281
25000,940.341
25500,940.332
26000,940.312
26500,940.32
27000,940.315
27500,940.352
28000,940.424
28500,940.424
29000,940.525
29500,940.579
30000,940.638
