simulations, -2LL
1000,581.724
2000,580.588
3000,580.723
4000,580.898
5000,580.977
6000,580.941
7000,581.018
8000,581.007
9000,580.838
10000,580.83
11000,580.777
12000,580.866
13000,580.945
14000,581.016
15000,581.04
16000,581.131
17000,581.18
18000,581.227
19000,581.263
20000,581.245
21000,581.218
22000,581.256
23000,581.25
24000,581.246
25000,581.242
26000,581.286
27000,581.302
28000,581.249
29000,581.24
30000,581.222
