f_pop,1,0.0076123,0.044,-0.039461,nan,0.0047583,-0.010261,-0.043503,0.03902,nan,-0.054857,0.047729,0.010559
Cl_pop,0.0076123,1,-0.27586,0.31459,nan,0.001487,0.063153,0.26958,-0.30045,nan,0.26985,-0.22459,-0.1754
V1_pop,0.044,-0.27586,1,-0.88996,nan,2.5935e-5,-0.17969,-0.68554,0.78169,nan,-0.78347,0.71351,0.44906
Q_pop,-0.039461,0.31459,-0.88996,1,nan,-0.00073559,0.20464,0.80608,-0.89849,nan,0.85587,-0.73999,-0.5398
V2_pop,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_f,0.0047583,0.001487,2.5935e-5,-0.00073559,nan,1,0.028496,0.055524,-0.026195,nan,-0.013556,-0.01055,-0.0096816
omega_Cl,-0.010261,0.063153,-0.17969,0.20464,nan,0.028496,1,0.19714,-0.20447,nan,0.20385,-0.19547,-0.11348
omega_V1,-0.043503,0.26958,-0.68554,0.80608,nan,0.055524,0.19714,1,-0.91073,nan,0.75921,-0.66136,-0.49766
omega_Q,0.03902,-0.30045,0.78169,-0.89849,nan,-0.026195,-0.20447,-0.91073,1,nan,-0.81873,0.69711,0.52507
omega_V2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
a1,-0.054857,0.26985,-0.78347,0.85587,nan,-0.013556,0.20385,0.75921,-0.81873,nan,1,-0.91098,-0.55182
b1,0.047729,-0.22459,0.71351,-0.73999,nan,-0.01055,-0.19547,-0.66136,0.69711,nan,-0.91098,1,0.42899
b2,0.010559,-0.1754,0.44906,-0.5398,nan,-0.0096816,-0.11348,-0.49766,0.52507,nan,-0.55182,0.42899,1
