standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-2.75204,0.00714286,-3.65009,0.00714286,-2.36031,0.00714286,-2.60055,0.00714286,All
-2.73228,0.0142857,-2.67602,0.0142857,-2.33387,0.0142857,-2.59071,0.0142857,All
-2.69788,0.0214286,-2.29942,0.0214286,-2.21577,0.0214286,-2.55074,0.0214286,All
-2.67747,0.0285714,-2.26478,0.0285714,-2.05893,0.0285714,-2.02208,0.0285714,All
-2.64836,0.0357143,-2.10656,0.0357143,-1.91983,0.0357143,-1.96053,0.0357143,All
-2.58307,0.0428571,-2.04281,0.0428571,-1.62674,0.0428571,-1.87841,0.0428571,All
-2.5767,0.05,-2.02505,0.05,-1.59806,0.05,-1.81435,0.05,All
-2.56298,0.0571429,-2.00796,0.0571429,-1.59128,0.0571429,-1.71079,0.0571429,All
-2.51321,0.0642857,-1.95057,0.0642857,-1.58653,0.0642857,-1.64785,0.0642857,All
-2.50697,0.0714286,-1.87411,0.0714286,-1.55496,0.0714286,-1.61537,0.0714286,All
-1.82341,0.0785714,-1.84305,0.0785714,-1.47077,0.0785714,-1.41528,0.0785714,All
-1.68753,0.0857143,-1.78769,0.0857143,-1.4471,0.0857143,-1.40214,0.0857143,All
-1.67717,0.0928571,-1.66399,0.0928571,-1.41179,0.0928571,-1.2662,0.0928571,All
-1.675,0.1,-1.43977,0.1,-1.38931,0.1,-1.26564,0.1,All
-1.64294,0.107143,-1.42596,0.107143,-1.34859,0.107143,-1.25687,0.107143,All
-1.64239,0.114286,-1.35218,0.114286,-1.30411,0.114286,-1.21723,0.114286,All
-1.56284,0.121429,-1.32614,0.121429,-1.27859,0.121429,-1.15763,0.121429,All
-1.55603,0.128571,-1.31133,0.128571,-1.24355,0.128571,-1.13701,0.128571,All
-1.5524,0.135714,-1.28832,0.135714,-1.21663,0.135714,-1.13399,0.135714,All
-1.51481,0.142857,-1.2377,0.142857,-1.21334,0.142857,-1.1282,0.142857,All
-0.524425,0.15,-1.19646,0.15,-1.20497,0.15,-1.1131,0.15,All
-0.499422,0.157143,-1.07835,0.157143,-1.18916,0.157143,-1.03373,0.157143,All
-0.464997,0.164286,-1.05911,0.164286,-1.15982,0.164286,-1.02611,0.164286,All
-0.453225,0.171429,-1.03402,0.171429,-1.13472,0.171429,-1.00736,0.171429,All
-0.448156,0.178571,-1.01782,0.178571,-1.13427,0.178571,-0.992345,0.178571,All
-0.390776,0.185714,-1.00569,0.185714,-1.11065,0.185714,-0.951371,0.185714,All
-0.364748,0.192857,-1.00406,0.192857,-1.09933,0.192857,-0.94137,0.192857,All
-0.334566,0.2,-0.960911,0.2,-0.968158,0.2,-0.848911,0.2,All
-0.333743,0.207143,-0.952633,0.207143,-0.917516,0.207143,-0.813638,0.207143,All
-0.308377,0.214286,-0.9167,0.214286,-0.901606,0.214286,-0.792322,0.214286,All
-0.304344,0.221429,-0.912317,0.221429,-0.871767,0.221429,-0.786466,0.221429,All
-0.241671,0.228571,-0.89858,0.228571,-0.790889,0.228571,-0.778839,0.228571,All
-0.229527,0.235714,-0.856228,0.235714,-0.766654,0.235714,-0.777432,0.235714,All
-0.224348,0.242857,-0.806661,0.242857,-0.752071,0.242857,-0.719355,0.242857,All
-0.214934,0.25,-0.74241,0.25,-0.734728,0.25,-0.695316,0.25,All
-0.20969,0.257143,-0.714612,0.257143,-0.69934,0.257143,-0.678133,0.257143,All
-0.200113,0.264286,-0.622816,0.264286,-0.667024,0.264286,-0.624909,0.264286,All
-0.185811,0.271429,-0.594738,0.271429,-0.660498,0.271429,-0.607738,0.271429,All
-0.184799,0.278571,-0.50625,0.278571,-0.630317,0.278571,-0.599609,0.278571,All
-0.175606,0.285714,-0.455547,0.285714,-0.622915,0.285714,-0.557864,0.285714,All
-0.171819,0.292857,-0.448343,0.292857,-0.611948,0.292857,-0.530516,0.292857,All
-0.169232,0.3,-0.415752,0.3,-0.536702,0.3,-0.519991,0.3,All
-0.167236,0.307143,-0.390504,0.307143,-0.516002,0.307143,-0.510305,0.307143,All
-0.162911,0.314286,-0.382528,0.314286,-0.507631,0.314286,-0.502366,0.314286,All
-0.146264,0.321429,-0.342774,0.321429,-0.493159,0.321429,-0.453253,0.321429,All
-0.129716,0.328571,-0.332435,0.328571,-0.486333,0.328571,-0.431702,0.328571,All
-0.119849,0.335714,-0.280867,0.335714,-0.466313,0.335714,-0.418225,0.335714,All
-0.11439,0.342857,-0.271018,0.342857,-0.449811,0.342857,-0.405309,0.342857,All
-0.110178,0.35,-0.246264,0.35,-0.426959,0.35,-0.394154,0.35,All
-0.101972,0.357143,-0.228534,0.357143,-0.422483,0.357143,-0.385124,0.357143,All
-0.0808926,0.364286,-0.217781,0.364286,-0.40127,0.364286,-0.371119,0.364286,All
-0.0721991,0.371429,-0.213537,0.371429,-0.401227,0.371429,-0.365445,0.371429,All
-0.0600277,0.378571,-0.210977,0.378571,-0.31781,0.378571,-0.357697,0.378571,All
-0.0542304,0.385714,-0.167473,0.385714,-0.294717,0.385714,-0.329248,0.385714,All
-0.0475079,0.392857,-0.154439,0.392857,-0.281713,0.392857,-0.244295,0.392857,All
-0.030163,0.4,-0.148925,0.4,-0.276446,0.4,-0.237655,0.4,All
-0.022156,0.407143,-0.141186,0.407143,-0.252177,0.407143,-0.235254,0.407143,All
-0.0148958,0.414286,-0.0684515,0.414286,-0.228214,0.414286,-0.214874,0.414286,All
-0.00240534,0.421429,-0.0167971,0.421429,-0.216848,0.421429,-0.183837,0.421429,All
