simulations,OFV
500,989.444
1000,989.538
1500,988.891
2000,987.862
2500,988.912
3000,989.194
3500,988.861
4000,988.946
4500,989.222
5000,989.22
5500,989.038
6000,989.118
6500,988.852
7000,988.949
7500,988.758
8000,988.907
8500,989.153
9000,988.876
9500,988.663
10000,988.524
10500,988.415
11000,988.512
11500,988.535
12000,988.331
12500,988.423
13000,988.302
13500,988.195
14000,988.119
14500,988.068
15000,988.083
15500,988.105
16000,988.127
16500,987.916
17000,987.992
17500,988.008
18000,987.883
18500,987.986
19000,987.852
19500,987.719
20000,987.586
20500,987.502
21000,987.396
21500,987.434
22000,987.514
22500,987.554
23000,987.381
23500,987.283
24000,987.278
24500,987.334
25000,987.377
25500,987.317
26000,987.29
26500,987.268
27000,987.222
27500,987.265
28000,987.33
28500,987.292
29000,987.382
29500,987.408
30000,987.477
