standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.78505,0.191428,-2.35276,0.0200416,-3.13281,0.0279397,-2.10188,0.03951,All
-2.42125,0.0212697,-1.96666,0.0601247,-2.57889,0.0139699,-1.71018,0.07902,All
-2.05744,0,-1.58056,0.100208,-2.02498,0.0977891,-1.31847,0.19755,All
-1.69363,0.0638092,-1.19445,0.160332,-1.47107,0.167638,-0.926772,0.217305,All
-1.32982,0.148888,-0.808351,0.420873,-0.917154,0.139699,-0.535069,0.414855,All
-0.966016,0.0212697,-0.422249,0.340706,-0.363241,0.307337,-0.143365,0.51363,All
-0.602208,0.106349,-0.0361463,0.64133,0.190672,0.628644,0.248338,0.375345,All
-0.2384,0.446664,0.349956,0.460956,0.744585,0.363217,0.640041,0.375345,All
0.125408,0.701901,0.736059,0.300623,1.2985,0.0838192,1.03174,0.217305,All
0.489216,0.510474,1.12216,0.160332,1.85241,0.0698493,1.42345,0.19755,All
0.853023,0.553013,1.50826,0.0801662,2.40632,0.0419096,1.81515,0.11853,All
1.21683,0.212697,1.89437,0.0601247,2.96024,0.0139699,2.20685,0.019755,All
